+--------+------------+--------------------+----------+--------------------+-----------------------+-----------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3   |    VBSWZH C_{2V}=3    |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+-----------------------+-----------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin5   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         |         0 ± 0          |
| Bin6   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0         | 0.0002756 ± 0.0002756  |
| Bin7   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.001124 ± 0.0007949  |         0 ± 0         |         0 ± 0          |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.004428 ± 0.001567  |  0.00075 ± 0.0005304  | 0.0005848 ± 0.0004135  |
| Bin9   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01398 ± 0.002745   | 0.001576 ± 0.0007882  |  0.003649 ± 0.001013   |
| Bin10  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.01936 ± 0.003277   |  0.003801 ± 0.001204  |  0.009162 ± 0.001621   |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.05307 ± 0.005394   |  0.01199 ± 0.002155   |   0.02096 ± 0.002455   |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.09232 ± 0.007152   |  0.01746 ± 0.002606   |   0.04193 ± 0.003473   |
| Bin13  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.1414 ± 0.008828   |  0.03656 ± 0.003755   |   0.06186 ± 0.004213   |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1791 ± 0.009961   |   0.0496 ± 0.004371   |   0.0885 ± 0.005056    |
| Bin15  |   0 ± 0    |  0.06589 ± 0.0471  |  0 ± 0   |  0.06589 ± 0.0471  |   0.2276 ± 0.01124    |  0.07357 ± 0.005342   |   0.1349 ± 0.006249    |
| Bin16  |   0 ± 0    |  0.1526 ± 0.06874  |  0 ± 0   |  0.1526 ± 0.06874  |   0.2567 ± 0.01196    |   0.1081 ± 0.006468   |   0.1622 ± 0.006841    |
| Bin17  |   0 ± 0    | 0.09781 ± 0.05683  |  0 ± 0   | 0.09781 ± 0.05683  |   0.2692 ± 0.01227    |   0.1343 ± 0.007194   |   0.2179 ± 0.007942    |
| Bin18  |   0 ± 0    |  0.1765 ± 0.07207  |  0 ± 0   |  0.1765 ± 0.07207  |   0.2933 ± 0.01283    |    0.1656 ± 0.008     |   0.2202 ± 0.007979    |
| Bin19  |   0 ± 0    |  0.186 ± 0.07633   |  0 ± 0   |  0.186 ± 0.07633   |    0.2703 ± 0.0123    |   0.1646 ± 0.007981   |    0.2537 ± 0.00858    |
| Bin20  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.2611 ± 0.01211    |   0.1684 ± 0.00806    |   0.2744 ± 0.008933    |
| Bin21  |   0 ± 0    |  0.143 ± 0.06397   |  0 ± 0   |  0.143 ± 0.06397   |   0.2738 ± 0.01239    |   0.1917 ± 0.00858    |   0.2818 ± 0.009056    |
| Bin22  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.2377 ± 0.01154    |   0.1722 ± 0.008131   |   0.2604 ± 0.008712    |
| Bin23  |   0 ± 0    |  0.1182 ± 0.05913  |  0 ± 0   |  0.1182 ± 0.05913  |   0.1912 ± 0.01036    |   0.1793 ± 0.008311   |   0.2568 ± 0.008659    |
| Bin24  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.1689 ± 0.009742   |   0.1712 ± 0.008123   |   0.2355 ± 0.008291    |
