+--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3    |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.000543 ± 0.000543   |  0.003847 ± 0.001218   |  0.001476 ± 0.0006603  |
| Bin2   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.02237 ± 0.00354    |   0.05888 ± 0.004764   |   0.07028 ± 0.004531   |
| Bin3   |   0 ± 0    |  0.3651 ± 0.1061   |  0 ± 0   |  0.3651 ± 0.1061   |   0.1141 ± 0.007995    |   0.2312 ± 0.009431    |   0.2887 ± 0.009164    |
| Bin4   |   0 ± 0    |  0.5696 ± 0.1313   |  0 ± 0   |  0.5696 ± 0.1313   |    0.4566 ± 0.01599    |    0.4429 ± 0.01306    |    0.5911 ± 0.01312    |
| Bin5   |   0 ± 0    |  0.2312 ± 0.08178  |  0 ± 0   |  0.2312 ± 0.08178  |    0.7046 ± 0.01984    |    0.5012 ± 0.01389    |    0.7403 ± 0.01468    |
| Bin6   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |    0.6281 ± 0.01876    |    0.4386 ± 0.01301    |    0.5883 ± 0.01309    |
| Bin7   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |    0.4806 ± 0.0164     |    0.3093 ± 0.01092    |    0.4449 ± 0.01138    |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.3749 ± 0.01448    |   0.2161 ± 0.009114    |   0.3388 ± 0.009943    |
| Bin9   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.2489 ± 0.01179    |   0.1472 ± 0.007537    |   0.2294 ± 0.008183    |
| Bin10  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.1942 ± 0.01043    |   0.08963 ± 0.005876   |    0.1556 ± 0.00674    |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1307 ± 0.008553    |   0.06971 ± 0.005171   |   0.1003 ± 0.005412    |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.08289 ± 0.006796   |   0.03745 ± 0.003787   |   0.07818 ± 0.004779   |
| Bin13  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.04878 ± 0.005235   |   0.02476 ± 0.003097   |   0.05229 ± 0.003901   |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.0405 ± 0.004743    |   0.01492 ± 0.002391   |   0.03301 ± 0.003107   |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.02213 ± 0.003546   |  0.007704 ± 0.001724   |   0.02033 ± 0.002432   |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01834 ± 0.003195   |  0.005364 ± 0.001434   |   0.01694 ± 0.002226   |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01114 ± 0.002493   |  0.004946 ± 0.001372   |   0.01075 ± 0.001768   |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.008963 ± 0.002243   |  0.002687 ± 0.001017   |   0.00551 ± 0.001266   |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.003385 ± 0.001384   |  0.001544 ± 0.0007726  |  0.004364 ± 0.001128   |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001171 ± 0.0008282  |  0.001573 ± 0.0007877  |  0.005255 ± 0.001239   |
| Bin21  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.00392 ± 0.001483   | 0.0007585 ± 0.0005371  |  0.001439 ± 0.0006439  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001177 ± 0.0008324  | 0.0003871 ± 0.0003871  |  0.001713 ± 0.0007004  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001185 ± 0.0008378  |         0 ± 0          |  0.001173 ± 0.0005868  |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001076 ± 0.0007616  |  0.000372 ± 0.000372   |  0.001411 ± 0.0006315  |
