+--------+------------+--------------------+----------+--------------------+---------------------+---------------------+---------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3  |   VBSWZH C_{2V}=3   |   VBSZZH C_{2V}=3   |
|--------+------------+--------------------+----------+--------------------+---------------------+---------------------+---------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin5   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin6   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin7   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0        |        0 ± 0        |
| Bin9   |   0 ± 0    |  0.6924 ± 0.1451   |  0 ± 0   |  0.6924 ± 0.1451   |  0.3571 ± 0.01414   |  0.2472 ± 0.009756  |  0.3413 ± 0.009973  |
| Bin10  |   0 ± 0    |  0.2689 ± 0.09005  |  0 ± 0   |  0.2689 ± 0.09005  |  0.3962 ± 0.01489   |   0.292 ± 0.0106    |   0.404 ± 0.01085   |
| Bin11  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |  0.3637 ± 0.01426   |  0.2679 ± 0.01016   |  0.4034 ± 0.01084   |
| Bin12  |   0 ± 0    |  0.1182 ± 0.05913  |  0 ± 0   |  0.1182 ± 0.05913  |  0.3451 ± 0.01389   |  0.2429 ± 0.009677  |  0.3873 ± 0.01062   |
| Bin13  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.3308 ± 0.01361   |  0.2428 ± 0.009666  |  0.3279 ± 0.00977   |
| Bin14  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |  0.2776 ± 0.01247   |  0.2158 ± 0.00912   |  0.3053 ± 0.009433  |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.254 ± 0.01193   |  0.1811 ± 0.008351  |  0.2552 ± 0.008622  |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.2131 ± 0.01093   |  0.1539 ± 0.007701  |  0.2254 ± 0.00811   |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1878 ± 0.01026   |  0.1332 ± 0.007168  |  0.2102 ± 0.007828  |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1372 ± 0.008752  |  0.1118 ± 0.006558  |  0.1661 ± 0.006958  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1377 ± 0.008789  |  0.1022 ± 0.006296  |  0.1422 ± 0.006436  |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1043 ± 0.007638  | 0.08013 ± 0.005547  |  0.1202 ± 0.005913  |
| Bin21  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.09069 ± 0.007131  | 0.06104 ± 0.004845  | 0.09765 ± 0.005339  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.08901 ± 0.007042  | 0.05333 ± 0.004526  | 0.07839 ± 0.004783  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.05621 ± 0.005597  | 0.03846 ± 0.003849  | 0.05608 ± 0.004041  |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.05013 ± 0.00529  | 0.03917 ± 0.003881  | 0.04863 ± 0.003766  |
| Bin25  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.04872 ± 0.005198  |  0.02926 ± 0.00336  |  0.04367 ± 0.00358  |
