+--------+------------+--------------------+----------+--------------------+---------------------+-----------------------+----------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3  |    VBSWZH C_{2V}=3    |   VBSZZH C_{2V}=3    |
|--------+------------+--------------------+----------+--------------------+---------------------+-----------------------+----------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.003381 ± 0.00138  | 0.001921 ± 0.0008595  | 0.004395 ± 0.001136  |
| Bin5   |   0 ± 0    | 0.08649 ± 0.04996  |  0 ± 0   | 0.08649 ± 0.04996  | 0.03043 ± 0.004107  |   0.01342 ± 0.00227   |  0.02254 ± 0.002571  |
| Bin6   |   0 ± 0    |  0.1261 ± 0.06347  |  0 ± 0   |  0.1261 ± 0.06347  | 0.05662 ± 0.005612  |   0.0406 ± 0.003965   |  0.0577 ± 0.004083   |
| Bin7   |   0 ± 0    | 0.05631 ± 0.03982  |  0 ± 0   | 0.05631 ± 0.03982  | 0.09454 ± 0.007279  |  0.06749 ± 0.005106   |   0.1012 ± 0.00542   |
| Bin8   |   0 ± 0    | 0.08649 ± 0.04996  |  0 ± 0   | 0.08649 ± 0.04996  |  0.1264 ± 0.008393  |  0.08077 ± 0.005579   |  0.1205 ± 0.005928   |
| Bin9   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1362 ± 0.008708  |   0.1124 ± 0.006584   |  0.1719 ± 0.007076   |
| Bin10  |   0 ± 0    |  0.1447 ± 0.06475  |  0 ± 0   |  0.1447 ± 0.06475  |  0.156 ± 0.009348   |   0.1043 ± 0.00633    |  0.1781 ± 0.007201   |
| Bin11  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |  0.1811 ± 0.01008   |   0.1152 ± 0.006643   |  0.1947 ± 0.007533   |
| Bin12  |   0 ± 0    |  0.1261 ± 0.06347  |  0 ± 0   |  0.1261 ± 0.06347  |  0.1813 ± 0.01007   |   0.1379 ± 0.007303   |  0.2004 ± 0.007642   |
| Bin13  |   0 ± 0    | 0.06608 ± 0.04722  |  0 ± 0   | 0.06608 ± 0.04722  |  0.2075 ± 0.01078   |   0.1282 ± 0.007032   |   0.2023 ± 0.00767   |
| Bin14  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |  0.2153 ± 0.01097   |   0.1478 ± 0.007548   |   0.2042 ± 0.00772   |
| Bin15  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1962 ± 0.01048   |   0.1364 ± 0.007243   |  0.2095 ± 0.007812   |
| Bin16  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.1875 ± 0.01024   |   0.1525 ± 0.007662   |   0.208 ± 0.00779    |
| Bin17  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |  0.2014 ± 0.01061   |   0.1216 ± 0.006846   |  0.1931 ± 0.007501   |
| Bin18  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1726 ± 0.009811  |   0.1292 ± 0.007054   |  0.1747 ± 0.007138   |
| Bin19  |   0 ± 0    | 0.03783 ± 0.03783  |  0 ± 0   | 0.03783 ± 0.03783  |  0.1664 ± 0.00968   |   0.1169 ± 0.00671    |   0.1644 ± 0.00693   |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1536 ± 0.009273  |   0.1069 ± 0.006416   |  0.1559 ± 0.006738   |
| Bin21  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1392 ± 0.008828  |   0.1105 ± 0.006516   |  0.1487 ± 0.006588   |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1283 ± 0.008471  |  0.09755 ± 0.006138   |   0.1329 ± 0.00622   |
| Bin23  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.1078 ± 0.007768  |  0.08545 ± 0.005739   |   0.1211 ± 0.00594   |
