+--------+------------+--------------------+----------+--------------------+-----------------------+------------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3   |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+-----------------------+------------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0         |         0 ± 0          |         0 ± 0          |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1332 ± 0.008623   |   0.2415 ± 0.009653    |   0.3222 ± 0.009684    |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1927 ± 0.01039    |    0.9325 ± 0.01896    |    1.506 ± 0.02095     |
| Bin3   |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |   0.1665 ± 0.009656   |    0.6425 ± 0.01573    |     1.04 ± 0.01741     |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1183 ± 0.00815    |    0.288 ± 0.01053     |    0.4817 ± 0.01184    |
| Bin5   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.09215 ± 0.00718   |   0.1137 ± 0.006604    |   0.2032 ± 0.007693    |
| Bin6   |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |  0.09616 ± 0.007319   |   0.04837 ± 0.004313   |   0.08602 ± 0.005012   |
| Bin7   |   0 ± 0    |  0.1146 ± 0.0573   |  0 ± 0   |  0.1146 ± 0.0573   |  0.08076 ± 0.006713   |   0.02229 ± 0.002929   |   0.05081 ± 0.003856   |
| Bin8   |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |  0.09356 ± 0.007246   |   0.02214 ± 0.002909   |   0.02874 ± 0.002905   |
| Bin9   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.1242 ± 0.008345   |   0.02315 ± 0.002991   |   0.01767 ± 0.002265   |
| Bin10  |   0 ± 0    |  0.1226 ± 0.06185  |  0 ± 0   |  0.1226 ± 0.06185  |   0.1256 ± 0.008382   |   0.02049 ± 0.002817   |  0.007585 ± 0.001489   |
| Bin11  |   0 ± 0    | 0.06782 ± 0.04828  |  0 ± 0   | 0.06782 ± 0.04828  |   0.1413 ± 0.008894   |   0.02257 ± 0.002941   |  0.009332 ± 0.001652   |
| Bin12  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.1653 ± 0.009602   |   0.01885 ± 0.002696   |  0.005267 ± 0.001242   |
| Bin13  |   0 ± 0    | 0.05998 ± 0.04241  |  0 ± 0   | 0.05998 ± 0.04241  |     0.2 ± 0.01057     |   0.0231 ± 0.002985    |  0.004093 ± 0.001095   |
| Bin14  |   0 ± 0    | 0.06608 ± 0.04722  |  0 ± 0   | 0.06608 ± 0.04722  |    0.2238 ± 0.0112    |   0.02309 ± 0.002983   |  0.002964 ± 0.0009379  |
| Bin15  |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |   0.2464 ± 0.01176    |   0.02888 ± 0.003338   |  0.003772 ± 0.001048   |
| Bin16  |   0 ± 0    | 0.05998 ± 0.04241  |  0 ± 0   | 0.05998 ± 0.04241  |    0.2809 ± 0.0125    |    0.02981 ± 0.0034    |  0.002651 ± 0.0008841  |
| Bin17  |   0 ± 0    | 0.06608 ± 0.04722  |  0 ± 0   | 0.06608 ± 0.04722  |   0.2908 ± 0.01278    |   0.02967 ± 0.003384   |   0.00211 ± 0.000798   |
| Bin18  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |    0.2578 ± 0.012     |   0.0211 ± 0.002846    |  0.002603 ± 0.0008682  |
| Bin19  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |   0.2293 ± 0.01135    |   0.02333 ± 0.00299    |  0.001735 ± 0.0007086  |
| Bin20  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.1363 ± 0.008721   |   0.01505 ± 0.002412   |  0.001478 ± 0.0006617  |
| Bin21  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.08035 ± 0.006704   |  0.009143 ± 0.001867   | 0.0005846 ± 0.0004135  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.05003 ± 0.005309   |  0.005397 ± 0.001443   |  0.001162 ± 0.0005816  |
