+--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3    |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |   0 ± 0    | 0.09607 ± 0.05593  |  0 ± 0   | 0.09607 ± 0.05593  |    0.5824 ± 0.01802    |     1.01 ± 0.01973     |     1.53 ± 0.02111     |
| Bin2   |   0 ± 0    |   0.113 ± 0.0565   |  0 ± 0   |   0.113 ± 0.0565   |    0.4488 ± 0.01587    |    0.838 ± 0.01797     |    1.309 ± 0.01953     |
| Bin3   |   0 ± 0    |  0.1241 ± 0.06258  |  0 ± 0   |  0.1241 ± 0.06258  |    0.3818 ± 0.01464    |    0.3624 ± 0.01181    |    0.5726 ± 0.01292    |
| Bin4   |   0 ± 0    | 0.08475 ± 0.04893  |  0 ± 0   | 0.08475 ± 0.04893  |    0.3353 ± 0.01369    |   0.1368 ± 0.007254    |   0.2198 ± 0.007989    |
| Bin5   |   0 ± 0    |  0.173 ± 0.07065   |  0 ± 0   |  0.173 ± 0.07065   |    0.2721 ± 0.01235    |   0.07333 ± 0.005311   |   0.07436 ± 0.004661   |
| Bin6   |   0 ± 0    |   0.12 ± 0.05998   |  0 ± 0   |   0.12 ± 0.05998   |    0.2391 ± 0.01155    |   0.03511 ± 0.003684   |   0.03268 ± 0.003091   |
| Bin7   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |    0.2128 ± 0.01091    |   0.02815 ± 0.003297   |   0.02001 ± 0.002429   |
| Bin8   |   0 ± 0    |  0.1261 ± 0.06347  |  0 ± 0   |  0.1261 ± 0.06347  |    0.1987 ± 0.01056    |   0.0236 ± 0.003024    |   0.01079 ± 0.001775   |
| Bin9   |   0 ± 0    |  0.1543 ± 0.06947  |  0 ± 0   |  0.1543 ± 0.06947  |    0.175 ± 0.009871    |   0.01916 ± 0.002712   |   0.0026 ± 0.0008671   |
| Bin10  |   0 ± 0    |  0.1147 ± 0.05739  |  0 ± 0   |  0.1147 ± 0.05739  |   0.1618 ± 0.009496    |   0.02301 ± 0.002972   |  0.003148 ± 0.0009498  |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.126 ± 0.008405    |   0.01339 ± 0.002266   |  0.001768 ± 0.0007225  |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.09587 ± 0.007316   |    0.01 ± 0.001963     |  0.001752 ± 0.0007154  |
| Bin13  |   0 ± 0    | 0.05998 ± 0.04241  |  0 ± 0   | 0.05998 ± 0.04241  |   0.08798 ± 0.007007   |  0.007976 ± 0.001742   | 0.0005852 ± 0.0004138  |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.06933 ± 0.006233   |  0.008806 ± 0.001838   | 0.0009058 ± 0.0005234  |
| Bin15  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.05833 ± 0.005726   |  0.007209 ± 0.001656   | 0.0005865 ± 0.0004147  |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.04354 ± 0.004935   |  0.003876 ± 0.001227   |  0.000872 ± 0.0005039  |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.03583 ± 0.004482   |  0.001889 ± 0.0008452  | 0.0002929 ± 0.0002929  |
| Bin18  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.02224 ± 0.003519   |  0.004201 ± 0.001267   | 0.0002817 ± 0.0002817  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.02132 ± 0.003462   |  0.001944 ± 0.0008707  |         0 ± 0          |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01333 ± 0.002723   |  0.0007848 ± 0.000555  | 0.0002758 ± 0.0002758  |
| Bin21  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.009657 ± 0.002345   | 0.0007987 ± 0.0005648  |         0 ± 0          |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.005116 ± 0.001708   |  0.001122 ± 0.0006479  |         0 ± 0          |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.002751 ± 0.001231   | 0.0007576 ± 0.0005365  |         0 ± 0          |
