+--------+------------+--------------------+----------+--------------------+----------------------+---------------------+---------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3   |   VBSWZH C_{2V}=3   |   VBSZZH C_{2V}=3   |
|--------+------------+--------------------+----------+--------------------+----------------------+---------------------+---------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0         |        0 ± 0        |        0 ± 0        |
| Bin1   |   0 ± 0    |  0.4025 ± 0.1076   |  0 ± 0   |  0.4025 ± 0.1076   |   0.6538 ± 0.01912   |  0.5655 ± 0.01474   |  0.4345 ± 0.01127   |
| Bin2   |   0 ± 0    | 0.02806 ± 0.02806  |  0 ± 0   | 0.02806 ± 0.02806  |  0.1203 ± 0.008176   |  0.104 ± 0.006331   | 0.09349 ± 0.005214  |
| Bin3   |   0 ± 0    |   0.12 ± 0.05998   |  0 ± 0   |   0.12 ± 0.05998   |  0.06563 ± 0.006073  | 0.07717 ± 0.005461  | 0.06313 ± 0.004289  |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.05838 ± 0.005702  |  0.04909 ± 0.00436  | 0.03721 ± 0.003291  |
| Bin5   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.04185 ± 0.004838  | 0.04503 ± 0.004166  | 0.03157 ± 0.003026  |
| Bin6   |   0 ± 0    | 0.06608 ± 0.04722  |  0 ± 0   | 0.06608 ± 0.04722  |  0.03235 ± 0.004253  | 0.03656 ± 0.003754  |  0.02347 ± 0.00261  |
| Bin7   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.02976 ± 0.004091  |  0.03009 ± 0.00341  | 0.02651 ± 0.002781  |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.0228 ± 0.003565   | 0.02409 ± 0.003037  | 0.02294 ± 0.002583  |
| Bin9   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.02457 ± 0.003707  |  0.0273 ± 0.003243  | 0.02216 ± 0.002544  |
| Bin10  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.02439 ± 0.00368   |  0.0226 ± 0.00297   |  0.01644 ± 0.00218  |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.018 ± 0.003184   |  0.017 ± 0.002566   | 0.02274 ± 0.002577  |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.02305 ± 0.003603  | 0.02024 ± 0.002782  | 0.01395 ± 0.002015  |
| Bin13  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01797 ± 0.00318   | 0.02799 ± 0.003278  | 0.01832 ± 0.002291  |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01512 ± 0.002913  | 0.01824 ± 0.002662  |  0.01623 ± 0.00217  |
| Bin15  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.01404 ± 0.002812  | 0.01581 ± 0.002472  | 0.01951 ± 0.002386  |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.015 ± 0.002889   | 0.01766 ± 0.002606  | 0.01341 ± 0.001978  |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01619 ± 0.003008  | 0.01526 ± 0.002414  | 0.01672 ± 0.002198  |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01065 ± 0.002445  |  0.01822 ± 0.00266  |  0.01258 ± 0.00192  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01509 ± 0.002907  | 0.01694 ± 0.002557  |  0.01528 ± 0.0021   |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01179 ± 0.002574  |  0.0158 ± 0.00247   | 0.01488 ± 0.002085  |
| Bin21  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.01168 ± 0.002551  | 0.02037 ± 0.002799  | 0.01451 ± 0.002053  |
| Bin22  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.01291 ± 0.002695  | 0.01348 ± 0.002279  | 0.02069 ± 0.002458  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.009548 ± 0.002317  |  0.0174 ± 0.002595  | 0.01814 ± 0.002305  |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.008968 ± 0.002244  | 0.01876 ± 0.002682  | 0.01937 ± 0.002369  |
