+--------+------------+--------------------+----------+--------------------+---------------------+----------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3  |   VBSWZH C_{2V}=3    |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+---------------------+----------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0         |         0 ± 0          |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.03657 ± 0.004507  |  0.03245 ± 0.003543  |   0.03247 ± 0.00307    |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1022 ± 0.007565  |  0.08848 ± 0.005853  |   0.09623 ± 0.005278   |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.153 ± 0.009267   |  0.1408 ± 0.007377   |   0.1174 ± 0.005843    |
| Bin4   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1181 ± 0.008121  |   0.0981 ± 0.00616   |   0.1125 ± 0.005718    |
| Bin5   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |  0.0964 ± 0.007357  |  0.07878 ± 0.005493  |   0.07926 ± 0.004809   |
| Bin6   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  | 0.07308 ± 0.006391  |  0.07559 ± 0.005389  |   0.09067 ± 0.005137   |
| Bin7   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.08668 ± 0.006969  |   1.614 ± 0.02493    |    2.945 ± 0.02929     |
| Bin8   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  | 0.05419 ± 0.005508  |  0.1841 ± 0.008411   |   0.2711 ± 0.008899    |
| Bin9   |   0 ± 0    | 0.08456 ± 0.04882  |  0 ± 0   | 0.08456 ± 0.04882  |  0.04903 ± 0.00523  | 0.006522 ± 0.001583  |  0.003756 ± 0.001042   |
| Bin10  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.05574 ± 0.005551  |  0.01293 ± 0.002219  |  0.006348 ± 0.001355   |
| Bin11  |   0 ± 0    | 0.06782 ± 0.04828  |  0 ± 0   | 0.06782 ± 0.04828  | 0.05085 ± 0.005336  | 0.005018 ± 0.001393  |  0.001449 ± 0.0006492  |
| Bin12  |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |  0.05288 ± 0.00543  | 0.007698 ± 0.001723  | 0.0005646 ± 0.0003993  |
| Bin13  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.05617 ± 0.005595  | 0.009922 ± 0.001947  | 0.0009056 ± 0.0005233  |
| Bin14  |   0 ± 0    |  0.1226 ± 0.06185  |  0 ± 0   |  0.1226 ± 0.06185  | 0.05819 ± 0.005711  | 0.006149 ± 0.001538  |  0.001451 ± 0.0006488  |
| Bin15  |   0 ± 0    |  0.1243 ± 0.06266  |  0 ± 0   |  0.1243 ± 0.06266  | 0.06136 ± 0.005856  | 0.006259 ± 0.001566  | 0.0005786 ± 0.0004094  |
| Bin16  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.0635 ± 0.00598   | 0.006881 ± 0.001623  | 0.0003102 ± 0.0003102  |
| Bin17  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  | 0.06458 ± 0.006002  | 0.007342 ± 0.001685  |  0.001745 ± 0.0007133  |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.06638 ± 0.006091  |  0.006552 ± 0.00159  | 0.0008714 ± 0.0005033  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.05492 ± 0.005553  | 0.006818 ± 0.001608  |  0.001187 ± 0.0005938  |
| Bin20  |   0 ± 0    | 0.09433 ± 0.05502  |  0 ± 0   | 0.09433 ± 0.05502  |  0.0635 ± 0.005952  | 0.006679 ± 0.001622  | 0.0005788 ± 0.0004096  |
| Bin21  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  | 0.05936 ± 0.005771  | 0.008468 ± 0.001807  | 0.0005707 ± 0.0004038  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.05869 ± 0.005732  | 0.006597 ± 0.001602  | 0.0005856 ± 0.0004141  |
