+--------+------------+--------------------+----------+--------------------+------------------------+------------------------+-----------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3    |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3    |
|--------+------------+--------------------+----------+--------------------+------------------------+------------------------+-----------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin5   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin6   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin7   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01516 ± 0.00292    |   0.01682 ± 0.002538   |  0.02106 ± 0.002485   |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.02211 ± 0.0035    |   0.02114 ± 0.002854   |  0.02461 ± 0.002688   |
| Bin9   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.02619 ± 0.003824   |   0.03075 ± 0.003441   |   0.02982 ± 0.00294   |
| Bin10  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.05926 ± 0.005734   |   0.06448 ± 0.004994   |  0.04904 ± 0.003787   |
| Bin11  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |    0.1341 ± 0.00868    |   0.1584 ± 0.007801    |   0.0997 ± 0.005387   |
| Bin12  |   0 ± 0    |  0.1445 ± 0.06467  |  0 ± 0   |  0.1445 ± 0.06467  |    0.3619 ± 0.01425    |    0.4116 ± 0.01258    |   0.1979 ± 0.007583   |
| Bin13  |   0 ± 0    |  0.1712 ± 0.06993  |  0 ± 0   |  0.1712 ± 0.06993  |    0.4599 ± 0.01603    |    0.5407 ± 0.01445    |   0.3917 ± 0.01068    |
| Bin14  |   0 ± 0    |  0.1482 ± 0.0663   |  0 ± 0   |  0.1482 ± 0.0663   |    0.3243 ± 0.01346    |    0.3548 ± 0.0117     |   0.6298 ± 0.01355    |
| Bin15  |   0 ± 0    | 0.08649 ± 0.04996  |  0 ± 0   | 0.08649 ± 0.04996  |    0.2112 ± 0.01084    |   0.1954 ± 0.008685    |   0.5613 ± 0.01279    |
| Bin16  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |    0.2011 ± 0.01062    |   0.1275 ± 0.007025    |   0.3029 ± 0.00939    |
| Bin17  |   0 ± 0    | 0.09607 ± 0.05593  |  0 ± 0   | 0.09607 ± 0.05593  |    0.3085 ± 0.01314    |   0.1074 ± 0.006425    |   0.2674 ± 0.008834   |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.399 ± 0.01496     |   0.1376 ± 0.007266    |   0.2938 ± 0.009252   |
| Bin19  |   0 ± 0    | 0.06782 ± 0.04828  |  0 ± 0   | 0.06782 ± 0.04828  |    0.4257 ± 0.01543    |   0.1656 ± 0.007981    |   0.3363 ± 0.009903   |
| Bin20  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |    0.3484 ± 0.01396    |   0.1179 ± 0.006735    |   0.2653 ± 0.008789   |
| Bin21  |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |    0.185 ± 0.01019     |   0.0688 ± 0.005132    |   0.149 ± 0.006588    |
| Bin22  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.07459 ± 0.006474   |   0.03288 ± 0.003548   |  0.06088 ± 0.004205   |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01844 ± 0.003213   |   0.01011 ± 0.001985   |  0.01919 ± 0.002364   |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.004804 ± 0.001603   |   0.00343 ± 0.001144   |  0.007808 ± 0.001504  |
