+--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3    |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3     |
|--------+------------+--------------------+----------+--------------------+------------------------+------------------------+------------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |   0 ± 0    |  0.1182 ± 0.05913  |  0 ± 0   |  0.1182 ± 0.05913  |   0.1296 ± 0.008514    |   0.02687 ± 0.003215   |   0.01721 ± 0.002243   |
| Bin2   |   0 ± 0    |  0.2391 ± 0.08497  |  0 ± 0   |  0.2391 ± 0.08497  |    0.4557 ± 0.01598    |   0.1515 ± 0.007639    |   0.1407 ± 0.006405    |
| Bin3   |   0 ± 0    |  0.3367 ± 0.1022   |  0 ± 0   |  0.3367 ± 0.1022   |    0.5928 ± 0.01822    |   0.2067 ± 0.008927    |   0.2123 ± 0.007871    |
| Bin4   |   0 ± 0    |  0.3777 ± 0.1048   |  0 ± 0   |  0.3777 ± 0.1048   |    0.5595 ± 0.01769    |   0.2283 ± 0.009376    |   0.2848 ± 0.009096    |
| Bin5   |   0 ± 0    |   0.1826 ± 0.075   |  0 ± 0   |   0.1826 ± 0.075   |    0.4861 ± 0.01649    |   0.2493 ± 0.009809    |   0.3344 ± 0.009864    |
| Bin6   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.3786 ± 0.01457    |    0.2661 ± 0.01012    |    0.4036 ± 0.01084    |
| Bin7   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |    0.2968 ± 0.01287    |   0.2601 ± 0.009998    |    0.4314 ± 0.01121    |
| Bin8   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |    0.2073 ± 0.01076    |    0.246 ± 0.009745    |    0.392 ± 0.01068     |
| Bin9   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1632 ± 0.009562    |   0.2104 ± 0.009001    |   0.3259 ± 0.009747    |
| Bin10  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.09312 ± 0.007212   |   0.1821 ± 0.008378    |   0.2823 ± 0.009075    |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.07964 ± 0.006666   |   0.1379 ± 0.007295    |   0.2223 ± 0.008055    |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.05452 ± 0.005514   |   0.1095 ± 0.006501    |   0.1787 ± 0.007216    |
| Bin13  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.03096 ± 0.004141   |   0.08055 ± 0.005563   |   0.1369 ± 0.006309    |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.0231 ± 0.003612    |   0.0632 ± 0.004924    |   0.1124 ± 0.005723    |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.0128 ± 0.002673    |   0.04261 ± 0.004048   |   0.08204 ± 0.00489    |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.009632 ± 0.002338   |   0.03768 ± 0.003809   |   0.06085 ± 0.004223   |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.008448 ± 0.002183   |   0.03382 ± 0.003609   |   0.04587 ± 0.003663   |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.003882 ± 0.001468   |   0.02858 ± 0.003303   |   0.03527 ± 0.003209   |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.003391 ± 0.001385   |   0.01299 ± 0.00223    |   0.02057 ± 0.00246    |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.002778 ± 0.001243   |  0.006879 ± 0.001622   |   0.01621 ± 0.002168   |
| Bin21  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.003379 ± 0.00138   |  0.006858 ± 0.001618   |   0.01571 ± 0.00214    |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.002754 ± 0.001233   |  0.006942 ± 0.001638   |  0.009872 ± 0.001694   |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001099 ± 0.0007772  |  0.003494 ± 0.001165   |  0.007628 ± 0.001498   |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.001134 ± 0.0008022  |  0.004212 ± 0.001271   |  0.004668 ± 0.001167   |
