+--------+------------+--------------------+----------+--------------------+----------------------+----------------------+---------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3   |   VBSWZH C_{2V}=3    |   VBSZZH C_{2V}=3   |
|--------+------------+--------------------+----------+--------------------+----------------------+----------------------+---------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0        |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0        |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0        |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0        |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.02624 ± 0.003833  | 0.009034 ± 0.001885  | 0.01397 ± 0.002018  |
| Bin5   |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |  0.09039 ± 0.007131  |   0.026 ± 0.003155   | 0.05281 ± 0.003929  |
| Bin6   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.1684 ± 0.009732   |  0.04731 ± 0.004269  |  0.0999 ± 0.005391  |
| Bin7   |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |   0.2532 ± 0.01191   |  0.08726 ± 0.005783  |  0.1723 ± 0.007089  |
| Bin8   |   0 ± 0    |  0.1243 ± 0.06266  |  0 ± 0   |  0.1243 ± 0.06266  |   0.3223 ± 0.01343   |  0.1467 ± 0.007524   |  0.2634 ± 0.008756  |
| Bin9   |   0 ± 0    |  0.2708 ± 0.09067  |  0 ± 0   |  0.2708 ± 0.09067  |   0.3783 ± 0.01455   |  0.1895 ± 0.008543   |  0.3028 ± 0.009388  |
| Bin10  |   0 ± 0    |  0.173 ± 0.07065   |  0 ± 0   |  0.173 ± 0.07065   |   0.3533 ± 0.01404   |  0.2219 ± 0.009237   |  0.3465 ± 0.01005   |
| Bin11  |   0 ± 0    |  0.1763 ± 0.07199  |  0 ± 0   |  0.1763 ± 0.07199  |   0.3231 ± 0.01344   |  0.2295 ± 0.009402   |  0.3369 ± 0.009903  |
| Bin12  |   0 ± 0    |  0.2256 ± 0.08578  |  0 ± 0   |  0.2256 ± 0.08578  |   0.2737 ± 0.01239   |   0.2183 ± 0.00919   |  0.3048 ± 0.009427  |
| Bin13  |   0 ± 0    | 0.05998 ± 0.04241  |  0 ± 0   | 0.05998 ± 0.04241  |   0.2313 ± 0.01138   |  0.2269 ± 0.009341   |  0.3121 ± 0.009539  |
| Bin14  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.2164 ± 0.01102   |  0.1896 ± 0.008529   |  0.2572 ± 0.008654  |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.169 ± 0.009736   |   0.1494 ± 0.00759   |  0.2336 ± 0.008251  |
| Bin16  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |   0.136 ± 0.008695   |  0.1333 ± 0.007164   |  0.1904 ± 0.007444  |
| Bin17  |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |  0.1112 ± 0.007891   |  0.1185 ± 0.006755   |  0.1598 ± 0.006821  |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.1012 ± 0.00751   |  0.1013 ± 0.006254   |  0.1301 ± 0.006154  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.0883 ± 0.007032   |  0.09315 ± 0.005993  |  0.1063 ± 0.005566  |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.07139 ± 0.006292  |  0.07956 ± 0.005548  | 0.09461 ± 0.005252  |
| Bin21  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.06141 ± 0.00586   |  0.05818 ± 0.004739  | 0.07732 ± 0.004754  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.04109 ± 0.004781  |  0.05525 ± 0.004607  | 0.06617 ± 0.004395  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.03486 ± 0.004433  |  0.03627 ± 0.003744  | 0.06072 ± 0.004214  |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.02686 ± 0.00388   |  0.04421 ± 0.004125  | 0.04278 ± 0.003531  |
