+--------+------------+--------------------+----------+--------------------+---------------------+----------------------+---------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3  |   VBSWZH C_{2V}=3    |   VBSZZH C_{2V}=3   |
|--------+------------+--------------------+----------+--------------------+---------------------+----------------------+---------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0        |
| Bin1   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.05277 ± 0.00542  |   0.3464 ± 0.01154   |  0.4693 ± 0.01168   |
| Bin2   |   0 ± 0    |  0.0565 ± 0.03995  |  0 ± 0   |  0.0565 ± 0.03995  |  0.1227 ± 0.008265  |   0.5549 ± 0.01463   |  0.7679 ± 0.01497   |
| Bin3   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.1715 ± 0.009798  |   0.3748 ± 0.01201   |   0.5358 ± 0.0125   |
| Bin4   |   0 ± 0    |  0.1639 ± 0.07389  |  0 ± 0   |  0.1639 ± 0.07389  |   0.1818 ± 0.0101   |  0.2329 ± 0.009468   |  0.3129 ± 0.009553  |
| Bin5   |   0 ± 0    |  0.1543 ± 0.06947  |  0 ± 0   |  0.1543 ± 0.06947  |  0.1837 ± 0.01013   |  0.1436 ± 0.007442   |  0.2081 ± 0.007796  |
| Bin6   |   0 ± 0    |  0.1447 ± 0.06475  |  0 ± 0   |  0.1447 ± 0.06475  |   0.2084 ± 0.0108   |  0.09445 ± 0.006039  |  0.1505 ± 0.006616  |
| Bin7   |   0 ± 0    |  0.1278 ± 0.06426  |  0 ± 0   |  0.1278 ± 0.06426  |  0.2211 ± 0.01112   |  0.09497 ± 0.006047  |  0.125 ± 0.006027   |
| Bin8   |   0 ± 0    |  0.173 ± 0.07065   |  0 ± 0   |  0.173 ± 0.07065   |  0.2145 ± 0.01095   |  0.07308 ± 0.005307  |  0.1029 ± 0.005488  |
| Bin9   |   0 ± 0    |  0.2045 ± 0.07734  |  0 ± 0   |  0.2045 ± 0.07734  |  0.2008 ± 0.01061   |  0.07627 ± 0.005425  | 0.09848 ± 0.005353  |
| Bin10  |   0 ± 0    |  0.143 ± 0.06397   |  0 ± 0   |  0.143 ± 0.06397   |  0.2212 ± 0.01113   |  0.05908 ± 0.004765  |  0.07865 ± 0.00479  |
| Bin11  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.1972 ± 0.01052   |  0.06398 ± 0.004955  | 0.07791 ± 0.004772  |
| Bin12  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.178 ± 0.009976   |  0.04984 ± 0.004375  | 0.07951 ± 0.004799  |
| Bin13  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1838 ± 0.01013   |  0.05246 ± 0.004502  | 0.06626 ± 0.004382  |
| Bin14  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1624 ± 0.009529  |  0.04294 ± 0.00406   | 0.06592 ± 0.004379  |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1481 ± 0.009122  |  0.03731 ± 0.003791  | 0.05663 ± 0.004059  |
| Bin16  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1191 ± 0.00815   |  0.03591 ± 0.003706  | 0.05907 ± 0.004149  |
| Bin17  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.1103 ± 0.007867  |  0.03199 ± 0.003515  | 0.06012 ± 0.004183  |
| Bin18  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.08668 ± 0.006969  |  0.02541 ± 0.00313   | 0.04398 ± 0.003582  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.09286 ± 0.007215  |  0.02116 ± 0.002855  | 0.04549 ± 0.003644  |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.07193 ± 0.006339  |  0.01999 ± 0.002774  | 0.03659 ± 0.003249  |
| Bin21  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.06466 ± 0.006009  |  0.02125 ± 0.002868  | 0.03326 ± 0.003118  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.05408 ± 0.005524  |  0.01655 ± 0.002526  |  0.03354 ± 0.00313  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.04846 ± 0.005199  |  0.01699 ± 0.002564  |  0.0285 ± 0.002881  |
