+--------+------------+--------------------+----------+--------------------+------------------------+------------------------+-----------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |   VBSOSWWH C_{2V}=3    |    VBSWZH C_{2V}=3     |    VBSZZH C_{2V}=3    |
|--------+------------+--------------------+----------+--------------------+------------------------+------------------------+-----------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin1   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin2   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin3   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin4   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin5   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin6   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |         0 ± 0          |         0 ± 0          |         0 ± 0         |
| Bin7   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.02187 ± 0.003505   |   0.03863 ± 0.003847   |  0.05563 ± 0.004018   |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.0287 ± 0.003984    |   0.04673 ± 0.004235   |  0.05839 ± 0.004132   |
| Bin9   |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.03591 ± 0.004458   |   0.06158 ± 0.004873   |  0.07795 ± 0.004756   |
| Bin10  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.07176 ± 0.006324   |    0.121 ± 0.006846    |   0.1099 ± 0.005659   |
| Bin11  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |   0.1609 ± 0.009504    |   0.2589 ± 0.009972    |   0.1766 ± 0.007173   |
| Bin12  |   0 ± 0    |  0.1745 ± 0.07128  |  0 ± 0   |  0.1745 ± 0.07128  |    0.4332 ± 0.01559    |    0.5948 ± 0.01513    |   0.3289 ± 0.009783   |
| Bin13  |   0 ± 0    |  0.2012 ± 0.07609  |  0 ± 0   |  0.2012 ± 0.07609  |    0.5487 ± 0.01751    |    0.7932 ± 0.01749    |   0.5899 ± 0.01311    |
| Bin14  |   0 ± 0    |  0.2647 ± 0.08826  |  0 ± 0   |  0.2647 ± 0.08826  |    0.3937 ± 0.01483    |    0.553 ± 0.01461     |   0.9093 ± 0.01627    |
| Bin15  |   0 ± 0    |  0.1165 ± 0.05827  |  0 ± 0   |  0.1165 ± 0.05827  |    0.2234 ± 0.01115    |    0.3093 ± 0.01092    |    0.843 ± 0.01567    |
| Bin16  |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |    0.2094 ± 0.01084    |   0.2286 ± 0.009393    |   0.5102 ± 0.01219    |
| Bin17  |   0 ± 0    |  0.1243 ± 0.06266  |  0 ± 0   |  0.1243 ± 0.06266  |    0.3091 ± 0.01316    |   0.1974 ± 0.008712    |   0.4209 ± 0.01108    |
| Bin18  |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |    0.399 ± 0.01496     |   0.2329 ± 0.009459    |   0.4388 ± 0.01131    |
| Bin19  |   0 ± 0    | 0.09781 ± 0.05683  |  0 ± 0   | 0.09781 ± 0.05683  |    0.4313 ± 0.01553    |   0.2553 ± 0.009916    |    0.4936 ± 0.012     |
| Bin20  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |    0.3495 ± 0.01398    |   0.1952 ± 0.008678    |   0.3845 ± 0.01058    |
| Bin21  |   0 ± 0    | 0.08823 ± 0.05096  |  0 ± 0   | 0.08823 ± 0.05096  |    0.1866 ± 0.01024    |    0.1135 ± 0.0066     |   0.2093 ± 0.007808   |
| Bin22  |   0 ± 0    |  0.05824 ± 0.0412  |  0 ± 0   |  0.05824 ± 0.0412  |   0.07571 ± 0.006522   |   0.05197 ± 0.004459   |  0.09346 ± 0.005213   |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |   0.01958 ± 0.003313   |    0.014 ± 0.002337    |  0.02647 ± 0.002777   |
| Bin24  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.004804 ± 0.001603   |  0.004158 ± 0.001254   |   0.01043 ± 0.00174   |
