+--------+------------+--------------------+----------+--------------------+---------------------+-----------------------+---------------------+
| Bin#   | DYJETSbkg  |      ttdilep       | WWdilep  |       Total        |  VBSOSWWH C_{2V}=3  |    VBSWZH C_{2V}=3    |   VBSZZH C_{2V}=3   |
|--------+------------+--------------------+----------+--------------------+---------------------+-----------------------+---------------------+
| Bin0   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0        |
| Bin1   |   0 ± 0    |  0.1543 ± 0.06947  |  0 ± 0   |  0.1543 ± 0.06947  |   1.462 ± 0.02864   |   0.2414 ± 0.009617   |  0.8031 ± 0.01531   |
| Bin2   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |   0.14 ± 0.008845   |  0.02382 ± 0.003027   | 0.09699 ± 0.005311  |
| Bin3   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.068 ± 0.006164   |  0.01471 ± 0.002389   |  0.06067 ± 0.00421  |
| Bin4   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.04827 ± 0.005181  |  0.01008 ± 0.001979   | 0.04547 ± 0.003632  |
| Bin5   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  | 0.04234 ± 0.004861  |  0.006884 ± 0.001624  | 0.03684 ± 0.003285  |
| Bin6   |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  |  0.0305 ± 0.004116  |  0.01021 ± 0.001966   | 0.03291 ± 0.003099  |
| Bin7   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.03223 ± 0.004235  |  0.006155 ± 0.00154   | 0.02679 ± 0.002795  |
| Bin8   |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.02807 ± 0.003935  |  0.006556 ± 0.001591  | 0.02924 ± 0.002927  |
| Bin9   |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.02225 ± 0.003522  |  0.003536 ± 0.00118   | 0.01956 ± 0.002374  |
| Bin10  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01701 ± 0.003058  |  0.006154 ± 0.001541  |  0.0257 ± 0.002742  |
| Bin11  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01681 ± 0.003072  |  0.005336 ± 0.001427  | 0.01614 ± 0.002158  |
| Bin12  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.02063 ± 0.003395  |  0.005765 ± 0.001489  | 0.02257 ± 0.002559  |
| Bin13  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  |  0.01409 ± 0.00282  |  0.004225 ± 0.001275  | 0.01796 ± 0.002283  |
| Bin14  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.01446 ± 0.002838  |  0.005343 ± 0.001429  |  0.0185 ± 0.002314  |
| Bin15  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01342 ± 0.002742  |  0.004651 ± 0.001344  | 0.01939 ± 0.002371  |
| Bin16  |   0 ± 0    | 0.06782 ± 0.04828  |  0 ± 0   | 0.06782 ± 0.04828  | 0.01111 ± 0.002487  |  0.008629 ± 0.001842  | 0.02552 ± 0.002722  |
| Bin17  |   0 ± 0    | 0.03783 ± 0.03783  |  0 ± 0   | 0.03783 ± 0.03783  | 0.01118 ± 0.002502  | 0.002635 ± 0.0009963  | 0.01892 ± 0.002348  |
| Bin18  |   0 ± 0    | 0.02825 ± 0.02825  |  0 ± 0   | 0.02825 ± 0.02825  | 0.01504 ± 0.002898  |  0.005406 ± 0.001446  | 0.01865 ± 0.002333  |
| Bin19  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01837 ± 0.003201  |  0.006236 ± 0.00156   | 0.02134 ± 0.002483  |
| Bin20  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        |  0.01432 ± 0.00281  |  0.004198 ± 0.001267  | 0.02138 ± 0.002488  |
| Bin21  |   0 ± 0    | 0.02999 ± 0.02999  |  0 ± 0   | 0.02999 ± 0.02999  | 0.01117 ± 0.002501  |  0.007293 ± 0.001675  | 0.02673 ± 0.002789  |
| Bin22  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01208 ± 0.002579  |  0.01085 ± 0.002053   | 0.02759 ± 0.002832  |
| Bin23  |   0 ± 0    |       0 ± 0        |  0 ± 0   |       0 ± 0        | 0.01499 ± 0.002888  |  0.01016 ± 0.001994   | 0.02452 ± 0.002678  |
