+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin3   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1112 ± 0.02972     |
| Bin4   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |     1.017 ± 0.08985     |
| Bin5   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.03597 ± 0.02077     |     1.938 ± 0.1241      |
| Bin6   |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.04796 ± 0.02398     |     1.938 ± 0.1241      |
| Bin7   |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.07195 ± 0.02937     |     1.898 ± 0.1228      |
| Bin8   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.03597 ± 0.02077     |     1.652 ± 0.1145      |
| Bin9   |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |      1.39 ± 0.1051      |
| Bin10  |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.03597 ± 0.02077     |     0.9054 ± 0.0848     |
| Bin11  | 27.9 ± 27.9  |  1.351 ± 0.6757  |   29.25 ± 27.9   |     0.01199 ± 0.01199     |    0.7783 ± 0.07862     |
| Bin12  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.5798 ± 0.06786     |
| Bin13  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |    0.3574 ± 0.05328     |
| Bin14  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.2939 ± 0.04831     |
| Bin15  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.1747 ± 0.03725     |
| Bin16  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.1747 ± 0.03725     |
| Bin17  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.1588 ± 0.03552     |
| Bin18  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |     0.135 ± 0.03275     |
| Bin19  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |     0.135 ± 0.03275     |
| Bin20  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin21  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin22  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin23  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin24  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin25  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin26  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin27  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin28  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |          0 ± 0          |
| Bin31  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.02383 ± 0.01376    |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
