+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin2   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.5083 ± 0.06354     |
| Bin3   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.8339 ± 0.08138     |
| Bin4   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.04796 ± 0.02398     |     1.104 ± 0.09363     |
| Bin5   |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.01199 ± 0.01199     |     1.056 ± 0.09159     |
| Bin6   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.9292 ± 0.08591     |
| Bin7   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.8339 ± 0.08138     |
| Bin8   |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.04796 ± 0.02398     |    0.6512 ± 0.07192     |
| Bin9   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.2859 ± 0.04765     |
| Bin10  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.01199 ± 0.01199     |    0.2462 ± 0.04422     |
| Bin11  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin12  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin13  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin14  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin15  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin16  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin17  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin18  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin19  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin20  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin21  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.2621 ± 0.04562     |
| Bin22  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.02398 ± 0.01696     |    0.3494 ± 0.05268     |
| Bin23  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.4765 ± 0.06152     |
| Bin24  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.03597 ± 0.02077     |    0.9689 ± 0.08772     |
| Bin25  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |     1.136 ± 0.09497     |
| Bin26  | 27.9 ± 27.9  | 0.6757 ± 0.4778  |   28.57 ± 27.9   |           0 ± 0           |     1.12 ± 0.09431      |
| Bin27  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     1.152 ± 0.09563     |
| Bin28  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.8816 ± 0.08367     |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.6433 ± 0.07148     |
| Bin30  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1112 ± 0.02972     |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
