+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   | 27.9 ± 27.9  |  13.85 ± 2.163   |  41.75 ± 27.98   |     0.2398 ± 0.05363      |     8.935 ± 0.2664      |
| Bin2   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |     1.215 ± 0.09824     |
| Bin3   |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.02398 ± 0.01696     |    0.5242 ± 0.06452     |
| Bin4   |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.4765 ± 0.06152     |
| Bin5   |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |     0.278 ± 0.04699     |
| Bin6   |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.2859 ± 0.04765     |
| Bin7   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.2462 ± 0.04422     |
| Bin8   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1668 ± 0.03639     |
| Bin9   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1271 ± 0.03177     |
| Bin10  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1191 ± 0.03076     |
| Bin11  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.1747 ± 0.03725     |
| Bin12  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin13  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin14  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.0953 ± 0.02751     |
| Bin15  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin16  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin17  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin18  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.135 ± 0.03275     |
| Bin19  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin20  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin21  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1271 ± 0.03177     |
| Bin22  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin23  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin24  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin25  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.03597 ± 0.02077     |    0.3177 ± 0.05023     |
| Bin26  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.01199 ± 0.01199     |    0.3812 ± 0.05502     |
| Bin27  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |    0.4289 ± 0.05836     |
| Bin28  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.03597 ± 0.02077     |    0.6592 ± 0.07235     |
| Bin29  | 27.9 ± 27.9  |  4.392 ± 1.218   |  32.29 ± 27.92   |     0.03597 ± 0.02077     |     1.152 ± 0.09563     |
| Bin30  |    0 ± 0     |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.2278 ± 0.05227      |     11.39 ± 0.3007      |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
