+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.01199 ± 0.01199     |     2.962 ± 0.1534      |
| Bin2   |    0 ± 0     |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.01199 ± 0.01199     |     1.549 ± 0.1109      |
| Bin3   |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.02398 ± 0.01696     |     1.16 ± 0.09596      |
| Bin4   |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.03597 ± 0.02077     |    0.7863 ± 0.07902     |
| Bin5   |    0 ± 0     |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.01199 ± 0.01199     |    0.8816 ± 0.08367     |
| Bin6   |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.02398 ± 0.01696     |     0.683 ± 0.07365     |
| Bin7   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.5956 ± 0.06878     |
| Bin8   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.7068 ± 0.07492     |
| Bin9   |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |           0 ± 0           |    0.7227 ± 0.07576     |
| Bin10  | 27.9 ± 27.9  |  2.703 ± 0.9556  |   30.6 ± 27.91   |     0.02398 ± 0.01696     |    0.6751 ± 0.07322     |
| Bin11  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.5401 ± 0.06549     |
| Bin12  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.02398 ± 0.01696     |     0.405 ± 0.05672     |
| Bin13  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.01199 ± 0.01199     |    0.6512 ± 0.07192     |
| Bin14  | 27.9 ± 27.9  | 0.6757 ± 0.4778  |   28.57 ± 27.9   |           0 ± 0           |    0.5401 ± 0.06549     |
| Bin15  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.6036 ± 0.06924     |
| Bin16  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.6354 ± 0.07104     |
| Bin17  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |    0.5718 ± 0.06739     |
| Bin18  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.5559 ± 0.06645     |
| Bin19  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |           0 ± 0           |    0.5956 ± 0.06878     |
| Bin20  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.5956 ± 0.06878     |
| Bin21  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.7545 ± 0.07741     |
| Bin22  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.7148 ± 0.07534     |
| Bin23  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.6989 ± 0.0745     |
| Bin24  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.7624 ± 0.07782     |
| Bin25  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.9372 ± 0.08627     |
| Bin26  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.03597 ± 0.02077     |      1.04 ± 0.0909      |
| Bin27  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     1.302 ± 0.1017      |
| Bin28  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |     1.191 ± 0.09727     |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |     1.676 ± 0.1154      |
| Bin30  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.1439 ± 0.04154      |     2.422 ± 0.1387      |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
