+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin4   |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |          0 ± 0          |
| Bin5   |  697.4 ± 269   |  287.2 ± 9.884   |  984.6 ± 269.2   |     0.07195 ± 0.02937     |    0.04765 ± 0.01945    |
| Bin6   |  2036 ± 364.8  |  567.6 ± 13.86   |    2604 ± 365    |     0.3358 ± 0.06345      |    0.4765 ± 0.06152     |
| Bin7   |  1813 ± 331.2  |  409.8 ± 11.81   |   2223 ± 331.5   |     0.5636 ± 0.08221      |     1.16 ± 0.09596      |
| Bin8   | 836.9 ± 267.6  |  260.8 ± 9.411   |   1098 ± 267.7   |      0.9353 ± 0.1059      |     2.049 ± 0.1276      |
| Bin9   | 725.3 ± 197.3  |  160.1 ± 7.386   |  885.4 ± 197.4   |      0.9473 ± 0.1066      |     2.669 ± 0.1456      |
| Bin10  | 362.6 ± 155.3  |  111.2 ± 6.146   |  473.8 ± 155.4   |     0.8274 ± 0.09961      |      3.185 ± 0.159      |
| Bin11  | 306.9 ± 127.8  |   61.83 ± 4.57   |  368.7 ± 127.9   |     0.8274 ± 0.09961      |     3.383 ± 0.1639      |
| Bin12  | 223.2 ± 118.4  |  42.91 ± 3.807   |  266.1 ± 118.4   |     0.5996 ± 0.08479      |     3.487 ± 0.1664      |
| Bin13  | 55.79 ± 96.63  |  24.66 ± 2.926   |  80.45 ± 96.68   |     0.7435 ± 0.09442      |      3.32 ± 0.1624      |
| Bin14  | -83.69 ± 73.8  |   17.91 ± 2.46   |  -65.78 ± 73.85  |     0.6595 ± 0.08893      |     2.915 ± 0.1521      |
| Bin15  | 83.69 ± 62.38  |  8.108 ± 1.655   |   91.79 ± 62.4   |     0.5516 ± 0.08133      |     2.843 ± 0.1503      |
| Bin16  |  -27.9 ± 27.9  |  7.433 ± 1.585   |  -20.46 ± 27.94  |     0.4437 ± 0.07294      |     3.018 ± 0.1548      |
| Bin17  |   0 ± 55.79    |  2.703 ± 0.9556  |   2.703 ± 55.8   |     0.3358 ± 0.06345      |     2.478 ± 0.1403      |
| Bin18  |   0 ± 39.45    |  4.392 ± 1.218   |  4.392 ± 39.47   |     0.3238 ± 0.06231      |     2.406 ± 0.1382      |
| Bin19  |  27.9 ± 27.9   |  2.027 ± 0.8275  |  29.92 ± 27.91   |     0.2398 ± 0.05363      |     2.001 ± 0.1261      |
| Bin20  |   0 ± 39.45    |  1.014 ± 0.5852  |  1.014 ± 39.45   |     0.2038 ± 0.04944      |     1.858 ± 0.1215      |
| Bin21  |  -27.9 ± 27.9  | 0.3378 ± 0.3378  |  -27.56 ± 27.9   |     0.2398 ± 0.05363      |     1.573 ± 0.1118      |
| Bin22  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1199 ± 0.03792      |     1.461 ± 0.1077      |
| Bin23  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1439 ± 0.04154      |     1.048 ± 0.09125     |
| Bin24  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |    0.9769 ± 0.08808     |
| Bin25  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.7148 ± 0.07534     |
| Bin26  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.05996 ± 0.02681     |    0.5639 ± 0.06692     |
| Bin27  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.08394 ± 0.03173     |    0.6195 ± 0.07014     |
| Bin28  |  27.9 ± 27.9   |      0 ± 0       |   27.9 ± 27.9    |     0.04796 ± 0.02398     |    0.5321 ± 0.06501     |
| Bin29  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |     0.4368 ± 0.0589     |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.3256 ± 0.05085     |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |      1.636 ± 0.114      |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
