+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |  5440 ± 615.6  |  847.6 ± 16.98   |   6287 ± 615.8   |       3.537 ± 0.206       |     13.56 ± 0.3282      |
| Bin2   | 781.1 ± 233.4  |  362.2 ± 11.06   |   1143 ± 233.7   |     0.3477 ± 0.06457      |     0.9054 ± 0.0848     |
| Bin3   |  306.9 ± 165   |  225.7 ± 8.758   |  532.5 ± 165.3   |     0.2398 ± 0.05363      |    0.8816 ± 0.08367     |
| Bin4   | 195.3 ± 127.8  |  156.8 ± 7.293   |    352 ± 128     |     0.2998 ± 0.05996      |     0.9054 ± 0.0848     |
| Bin5   | 55.79 ± 88.21  |  102.4 ± 5.881   |  158.2 ± 88.41   |     0.2998 ± 0.05996      |     1.152 ± 0.09563     |
| Bin6   | 167.4 ± 96.63  |  73.65 ± 4.988   |   241 ± 96.76    |     0.2398 ± 0.05363      |      1.31 ± 0.102       |
| Bin7   |  -27.9 ± 27.9  |   52.7 ± 4.22    |  24.81 ± 28.21   |     0.1799 ± 0.04644      |      1.35 ± 0.1036      |
| Bin8   | 55.79 ± 68.33  |  41.22 ± 3.762   |  97.01 ± 68.43   |     0.3358 ± 0.06345      |     1.692 ± 0.1159      |
| Bin9   | -27.9 ± 48.32  |  25.68 ± 2.945   |  -2.22 ± 48.41   |     0.3118 ± 0.06114      |     1.588 ± 0.1123      |
| Bin10  | 55.79 ± 55.79  |   17.23 ± 2.46   |  73.02 ± 55.85   |     0.2518 ± 0.05495      |     1.668 ± 0.1151      |
| Bin11  | 55.79 ± 39.45  |  14.19 ± 2.189   |  69.98 ± 39.51   |     0.3837 ± 0.06783      |     1.604 ± 0.1129      |
| Bin12  |   0 ± 39.45    |   10.81 ± 1.97   |   10.81 ± 39.5   |     0.2158 ± 0.05087      |     1.588 ± 0.1123      |
| Bin13  |     0 ± 0      |  10.81 ± 1.911   |  10.81 ± 1.911   |     0.2518 ± 0.05495      |     1.628 ± 0.1137      |
| Bin14  |     0 ± 0      |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.2878 ± 0.05874      |     1.604 ± 0.1129      |
| Bin15  |     0 ± 0      |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.2518 ± 0.05495      |     1.588 ± 0.1123      |
| Bin16  |     0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.2758 ± 0.05751      |     1.453 ± 0.1074      |
| Bin17  |     0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.1679 ± 0.04487      |     1.279 ± 0.1008      |
| Bin18  |     0 ± 0      |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.1679 ± 0.04487      |     1.239 ± 0.0992      |
| Bin19  |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.2998 ± 0.05996      |     1.199 ± 0.09759     |
| Bin20  |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.1079 ± 0.03597      |      1.04 ± 0.0909      |
| Bin21  |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.09593 ± 0.03392     |     1.025 ± 0.0902      |
| Bin22  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.08394 ± 0.03173     |    0.9848 ± 0.08844     |
| Bin23  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.04796 ± 0.02398     |     0.7465 ± 0.077      |
| Bin24  |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.03597 ± 0.02077     |    0.7942 ± 0.07942     |
| Bin25  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.08394 ± 0.03173     |    0.6115 ± 0.06969     |
| Bin26  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |     0.405 ± 0.05672     |
| Bin27  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.6036 ± 0.06924     |
| Bin28  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1319 ± 0.03977      |    0.3415 ± 0.05208     |
| Bin29  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |    0.3574 ± 0.05328     |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.278 ± 0.04699     |
| Bin31  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.3597 ± 0.06568      |     1.795 ± 0.1194      |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
