+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin2   |  55.79 ± 39.45  | 1.689 ± 0.7554  |  57.48 ± 39.46  |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin3   |  306.9 ± 150.2  |  23.65 ± 2.867  |  330.5 ± 150.2  |     0.1319 ± 0.03977      |    0.5401 ± 0.06549     |
| Bin4   |  669.5 ± 276.2  |  133.8 ± 6.74   |  803.3 ± 276.2  |     0.6715 ± 0.08973      |     4.082 ± 0.1801      |
| Bin5   |  1674 ± 350.6   |  263.9 ± 9.49   |  1938 ± 350.8   |      1.487 ± 0.1335       |     7.354 ± 0.2417      |
| Bin6   |  1451 ± 295.2   |  274.7 ± 9.657  |  1725 ± 295.4   |      1.643 ± 0.1404       |     7.473 ± 0.2436      |
| Bin7   |  976.3 ± 221.4  |  232.1 ± 8.855  |  1208 ± 221.6   |      1.259 ± 0.1229       |     6.036 ± 0.2189      |
| Bin8   |  446.3 ± 197.3  |  197.3 ± 8.206  |  643.6 ± 197.4  |      1.019 ± 0.1106       |     5.146 ± 0.2022      |
| Bin9   |  251.1 ± 150.2  |  162.5 ± 7.425  |  413.6 ± 150.4  |     0.6835 ± 0.09053      |     4.154 ± 0.1816      |
| Bin10  | -55.79 ± 130.8  |  144.9 ± 7.014  |   89.14 ± 131   |     0.5876 ± 0.08394      |      2.78 ± 0.1486      |
| Bin11  |   306.9 ± 108   |  115.5 ± 6.248  |  422.4 ± 108.2  |     0.4557 ± 0.07392      |     2.359 ± 0.1369      |
| Bin12  |  167.4 ± 104.4  |  92.57 ± 5.592  |  259.9 ± 104.5  |     0.3118 ± 0.06114      |     1.644 ± 0.1143      |
| Bin13  |  139.5 ± 100.6  |  73.99 ± 5.045  |  213.5 ± 100.7  |     0.3238 ± 0.06231      |     1.247 ± 0.09951     |
| Bin14  |  223.2 ± 104.4  |  51.69 ± 4.179  |  274.9 ± 104.5  |     0.1079 ± 0.03597      |    0.9292 ± 0.08591     |
| Bin15  |  83.69 ± 83.69  |  44.26 ± 3.867  |  127.9 ± 83.78  |     0.2038 ± 0.04944      |    0.6592 ± 0.07235     |
| Bin16  |  27.9 ± 62.38   |  35.14 ± 3.445  |  63.03 ± 62.47  |     0.07195 ± 0.02937     |    0.5162 ± 0.06403     |
| Bin17  |  139.5 ± 62.38  |  27.03 ± 3.022  |  166.5 ± 62.45  |     0.1319 ± 0.03977      |    0.4606 ± 0.06048     |
| Bin18  |   27.9 ± 27.9   |  18.58 ± 2.506  |  46.48 ± 28.01  |     0.04796 ± 0.02398     |    0.3812 ± 0.05502     |
| Bin19  |  -27.9 ± 48.32  |  14.19 ± 2.189  | -13.71 ± 48.37  |     0.04796 ± 0.02398     |    0.2541 ± 0.04493     |
| Bin20  |  83.69 ± 48.32  |  11.82 ± 1.999  |  95.51 ± 48.36  |     0.02398 ± 0.01696     |    0.1509 ± 0.03462     |
| Bin21  |  55.79 ± 39.45  |  11.82 ± 1.999  |  67.62 ± 39.5   |     0.03597 ± 0.02077     |    0.1588 ± 0.03552     |
| Bin22  |      0 ± 0      |  4.392 ± 1.218  |  4.392 ± 1.218  |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin23  |   27.9 ± 27.9   |  8.108 ± 1.655  |   36 ± 27.94    |     0.01199 ± 0.01199     |    0.1112 ± 0.02972     |
| Bin24  |      0 ± 0      | 2.365 ± 0.8938  | 2.365 ± 0.8938  |     0.02398 ± 0.01696     |    0.1112 ± 0.02972     |
| Bin25  |    0 ± 39.45    |  5.743 ± 1.393  |  5.743 ± 39.47  |     0.03597 ± 0.02077     |    0.07942 ± 0.02511    |
| Bin26  |      0 ± 0      |  3.378 ± 1.068  |  3.378 ± 1.068  |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin27  |   27.9 ± 27.9   | 2.027 ± 0.8275  |  29.92 ± 27.91  |     0.02398 ± 0.01696     |    0.03971 ± 0.01776    |
| Bin28  |      0 ± 0      |  3.041 ± 1.014  |  3.041 ± 1.014  |     0.01199 ± 0.01199     |    0.03971 ± 0.01776    |
| Bin29  |      0 ± 0      | 1.689 ± 0.7554  | 1.689 ± 0.7554  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin30  |      0 ± 0      | 1.014 ± 0.5852  | 1.014 ± 0.5852  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |    0 ± 39.45    |  11.15 ± 1.941  |  11.15 ± 39.5   |     0.08394 ± 0.03173     |     0.278 ± 0.04699     |
+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
