+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.1032 ± 0.02864     |
| Bin2   | 111.6 ± 55.79  |  2.703 ± 0.9556  |   114.3 ± 55.8   |     0.1079 ± 0.03597      |    0.8101 ± 0.08021     |
| Bin3   |  27.9 ± 62.38  |  8.108 ± 1.655   |    36 ± 62.4     |     0.2158 ± 0.05087      |      1.723 ± 0.117      |
| Bin4   | 195.3 ± 92.52  |   15.2 ± 2.266   |  210.5 ± 92.55   |     0.3597 ± 0.06568      |     2.589 ± 0.1434      |
| Bin5   | 139.5 ± 92.52  |  20.27 ± 2.617   |  159.7 ± 92.56   |     0.6595 ± 0.08893      |     3.574 ± 0.1685      |
| Bin6   |   27.9 ± 108   |  23.99 ± 2.887   |  51.88 ± 108.1   |     0.7435 ± 0.09442      |     3.375 ± 0.1637      |
| Bin7   | 167.4 ± 130.8  |  39.19 ± 3.639   |  206.6 ± 130.9   |     0.6835 ± 0.09053      |     3.502 ± 0.1668      |
| Bin8   |  279 ± 147.6   |  58.78 ± 4.507   |  337.7 ± 147.7   |     0.4437 ± 0.07294      |     3.002 ± 0.1544      |
| Bin9   | 223.2 ± 136.7  |  61.49 ± 4.583   |  284.7 ± 136.7   |     0.3717 ± 0.06676      |     1.803 ± 0.1197      |
| Bin10  | 306.9 ± 150.2  |  92.91 ± 5.623   |  399.8 ± 150.3   |     0.4437 ± 0.07294      |     1.12 ± 0.09431      |
| Bin11  | 334.7 ± 167.4  |  117.2 ± 6.293   |   452 ± 167.5    |     0.2038 ± 0.04944      |    0.8577 ± 0.08254     |
| Bin12  | 362.6 ± 155.3  |   127 ± 6.603    |  489.7 ± 155.5   |     0.1319 ± 0.03977      |    0.6592 ± 0.07235     |
| Bin13  | 502.1 ± 157.8  |  148.7 ± 7.087   |   650.8 ± 158    |     0.1319 ± 0.03977      |    0.5242 ± 0.06452     |
| Bin14  | 306.9 ± 191.2  |   142.6 ± 6.94   |  449.4 ± 191.4   |     0.1679 ± 0.04487      |    0.3574 ± 0.05328     |
| Bin15  | 613.7 ± 180.8  |  139.2 ± 6.874   |  752.9 ± 180.9   |     0.1799 ± 0.04644      |     0.405 ± 0.05672     |
| Bin16  | 418.4 ± 155.3  |  133.8 ± 6.723   |  552.2 ± 155.5   |     0.1319 ± 0.03977      |     0.3097 ± 0.0496     |
| Bin17  |  279 ± 152.8   |  139.2 ± 6.874   |  418.1 ± 152.9   |     0.09593 ± 0.03392     |    0.3892 ± 0.05559     |
| Bin18  | 390.5 ± 176.4  |  139.9 ± 6.891   |  530.4 ± 176.6   |     0.1559 ± 0.04323      |    0.4209 ± 0.05782     |
| Bin19  |  279 ± 162.7   |   121.6 ± 6.41   |  400.6 ± 162.8   |     0.2758 ± 0.05751      |    0.6195 ± 0.07014     |
| Bin20  |  251.1 ± 165   |   123 ± 6.446    |   374 ± 165.2    |     0.2278 ± 0.05227      |    0.8974 ± 0.08442     |
| Bin21  | 446.3 ± 157.8  |  89.87 ± 5.531   |  536.2 ± 157.9   |     0.2398 ± 0.05363      |     1.366 ± 0.1042      |
| Bin22  | 223.2 ± 118.4  |  61.49 ± 4.558   |  284.7 ± 118.4   |     0.5276 ± 0.07954      |     1.835 ± 0.1207      |
| Bin23  | 390.5 ± 136.7  |  61.15 ± 4.595   |  451.7 ± 136.7   |     0.5276 ± 0.07954      |      2.573 ± 0.143      |
| Bin24  | 251.1 ± 144.9  |  41.22 ± 3.732   |   292.3 ± 145    |     0.4916 ± 0.07678      |     3.002 ± 0.1544      |
| Bin25  | 167.4 ± 111.6  |  27.03 ± 3.022   |  194.4 ± 111.6   |     0.5996 ± 0.08479      |      3.05 ± 0.1556      |
| Bin26  |  139.5 ± 115   |  14.87 ± 2.291   |   154.3 ± 115    |     0.5396 ± 0.08044      |      3.264 ± 0.161      |
| Bin27  | 167.4 ± 68.33  |   10.14 ± 1.85   |  177.5 ± 68.35   |     0.4557 ± 0.07392      |     2.486 ± 0.1405      |
| Bin28  |   0 ± 55.79    |   7.77 ± 1.62    |   7.77 ± 55.81   |     0.2158 ± 0.05087      |     1.565 ± 0.1115      |
| Bin29  | 55.79 ± 39.45  |  4.392 ± 1.218   |  60.18 ± 39.47   |     0.1679 ± 0.04487      |     0.9054 ± 0.0848     |
| Bin30  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.0953 ± 0.02751     |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
