+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |           0 ± 0           |          0 ± 0          |
| Bin1   | 1.258e+04 ± 948.9  |   2561 ± 29.48   | 1.514e+04 ± 949.3  |      12.66 ± 0.3897       |      46.4 ± 0.6071      |
| Bin2   |    530 ± 182.9     |  160.5 ± 7.379   |   690.5 ± 183.1    |      1.235 ± 0.1217       |     5.432 ± 0.2077      |
| Bin3   |   306.9 ± 121.6    |   97.3 ± 5.753   |   404.1 ± 121.7    |     0.5996 ± 0.08479      |     2.931 ± 0.1526      |
| Bin4   |    83.69 ± 108     |  78.38 ± 5.146   |   162.1 ± 108.2    |     0.4197 ± 0.07094      |      1.89 ± 0.1225      |
| Bin5   |   83.69 ± 92.52    |  61.83 ± 4.595   |   145.5 ± 92.63    |     0.3238 ± 0.06231      |     1.588 ± 0.1123      |
| Bin6   |    27.9 ± 62.38    |   57.1 ± 4.444   |   84.99 ± 62.53    |     0.2638 ± 0.05624      |     1.279 ± 0.1008      |
| Bin7   |    55.79 ± 78.9    |  43.92 ± 3.852   |   99.71 ± 78.99    |     0.2998 ± 0.05996      |     1.032 ± 0.09055     |
| Bin8   |   -27.9 ± 62.38    |  52.37 ± 4.206   |   24.47 ± 62.52    |     0.1919 ± 0.04796      |    0.7863 ± 0.07902     |
| Bin9   |    27.9 ± 62.38    |  42.57 ± 3.792   |   70.46 ± 62.49    |     0.2398 ± 0.05363      |     0.8736 ± 0.0833     |
| Bin10  |   83.69 ± 62.38    |  44.93 ± 3.925   |    128.6 ± 62.5    |     0.1439 ± 0.04154      |    0.7227 ± 0.07576     |
| Bin11  |    27.9 ± 27.9     |  41.55 ± 3.747   |   69.45 ± 28.15    |     0.2158 ± 0.05087      |     0.818 ± 0.0806      |
| Bin12  |   111.6 ± 55.79    |  41.55 ± 3.747   |   153.1 ± 55.92    |     0.1319 ± 0.03977      |    0.5718 ± 0.06739     |
| Bin13  |   -27.9 ± 48.32    |  38.18 ± 3.591   |   10.28 ± 48.45    |     0.1079 ± 0.03597      |    0.5956 ± 0.06878     |
| Bin14  |   83.69 ± 62.38    |  39.87 ± 3.701   |   123.6 ± 62.49    |     0.1319 ± 0.03977      |    0.6115 ± 0.06969     |
| Bin15  |    27.9 ± 62.38    |  40.54 ± 3.701   |   68.44 ± 62.49    |     0.1319 ± 0.03977      |    0.5321 ± 0.06501     |
| Bin16  |     0 ± 39.45      |   37.5 ± 3.591   |    37.5 ± 39.61    |     0.03597 ± 0.02077     |    0.4527 ± 0.05996     |
| Bin17  |   55.79 ± 55.79    |   34.8 ± 3.429   |    90.59 ± 55.9    |     0.09593 ± 0.03392     |    0.5242 ± 0.06452     |
| Bin18  |     0 ± 55.79      |  40.54 ± 3.732   |   40.54 ± 55.92    |     0.1799 ± 0.04644      |    0.5877 ± 0.06832     |
| Bin19  |    27.9 ± 27.9     |  31.08 ± 3.275   |   58.98 ± 28.09    |     0.07195 ± 0.02937     |     0.548 ± 0.06597     |
| Bin20  |    -27.9 ± 27.9    |  35.14 ± 3.478   |    7.24 ± 28.11    |     0.1199 ± 0.03792      |    0.3653 ± 0.05387     |
| Bin21  |    27.9 ± 27.9     |  36.15 ± 3.495   |   64.04 ± 28.11    |     0.1559 ± 0.04323      |    0.6354 ± 0.07104     |
| Bin22  |    27.9 ± 27.9     |  40.88 ± 3.716   |   68.77 ± 28.14    |     0.07195 ± 0.02937     |    0.5718 ± 0.06739     |
| Bin23  |       0 ± 0        |  39.53 ± 3.654   |   39.53 ± 3.654    |     0.1199 ± 0.03792      |    0.5956 ± 0.06878     |
| Bin24  |       0 ± 0        |  34.12 ± 3.395   |   34.12 ± 3.395    |     0.07195 ± 0.02937     |    0.7068 ± 0.07492     |
| Bin25  |     0 ± 39.45      |  40.88 ± 3.716   |   40.88 ± 39.62    |     0.07195 ± 0.02937     |    0.5559 ± 0.06645     |
| Bin26  |     0 ± 39.45      |  44.26 ± 3.867   |   44.26 ± 39.64    |     0.02398 ± 0.01696     |    0.6671 ± 0.07279     |
| Bin27  |    27.9 ± 27.9     |  33.45 ± 3.395   |    61.34 ± 28.1    |     0.05996 ± 0.02681     |     0.818 ± 0.0806      |
| Bin28  |     0 ± 39.45      |  43.24 ± 3.822   |   43.24 ± 39.64    |     0.1199 ± 0.03792      |     1.16 ± 0.09596      |
| Bin29  |    27.9 ± 27.9     |  53.04 ± 4.233   |   80.94 ± 28.21    |     0.09593 ± 0.03392     |     1.946 ± 0.1243      |
| Bin30  |   83.69 ± 48.32    |  73.31 ± 4.977   |    157 ± 48.57     |      1.067 ± 0.1131       |     19.38 ± 0.3923      |
| Bin31  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
