+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |  11.49 ± 1.97  |  11.49 ± 1.97   |     0.6475 ± 0.08812      |    0.2859 ± 0.04765     |
| Bin2   |      0 ± 0      | 42.57 ± 3.792  |  42.57 ± 3.792  |      1.007 ± 0.1099       |    0.8101 ± 0.08021     |
| Bin3   |      0 ± 0      | 68.24 ± 4.802  |  68.24 ± 4.802  |      1.319 ± 0.1258       |     1.191 ± 0.09727     |
| Bin4   |      0 ± 0      |  97.3 ± 5.733  |  97.3 ± 5.733   |      1.967 ± 0.1536       |     1.684 ± 0.1156      |
| Bin5   |  55.79 ± 68.33  |  102 ± 5.871   |  157.8 ± 68.58  |      1.679 ± 0.1419       |     1.684 ± 0.1156      |
| Bin6   |  55.79 ± 39.45  | 119.6 ± 6.356  |  175.4 ± 39.96  |      1.487 ± 0.1335       |     1.207 ± 0.09792     |
| Bin7   | -111.6 ± 111.6  | 141.2 ± 6.907  |  29.64 ± 111.8  |      1.079 ± 0.1138       |     1.175 ± 0.09662     |
| Bin8   | -111.6 ± 111.6  | 171.6 ± 7.615  |  60.04 ± 111.8  |      1.031 ± 0.1112       |     1.16 ± 0.09596      |
| Bin9   |  111.6 ± 124.8  |  177 ± 7.734   |   288.6 ± 125   |     0.6955 ± 0.09132      |     1.223 ± 0.09856     |
| Bin10  |  1004 ± 243.2   |  195.3 ± 8.15  |  1200 ± 243.3   |     0.4317 ± 0.07195      |     2.621 ± 0.1443      |
| Bin11  |  7364 ± 701.3   |  211.5 ± 8.48  |  7576 ± 701.3   |      1.343 ± 0.1269       |     54.78 ± 0.6596      |
| Bin12  |  4463 ± 582.5   | 217.6 ± 8.573  |  4681 ± 582.5   |      0.8394 ± 0.1003      |     24.87 ± 0.4445      |
| Bin13  |  613.7 ± 180.8  | 228.4 ± 8.784  |   842.1 ± 181   |     0.1439 ± 0.04154      |    0.1906 ± 0.03891     |
| Bin14  |  334.7 ± 96.63  |  198 ± 8.178   |  532.7 ± 96.98  |     0.2158 ± 0.05087      |    0.04765 ± 0.01945    |
| Bin15  | -111.6 ± 55.79  | 192.6 ± 8.066  |  80.99 ± 56.37  |     0.1199 ± 0.03792      |     0.2065 ± 0.0405     |
| Bin16  |  55.79 ± 68.33  | 172.3 ± 7.689  |  228.1 ± 68.76  |     0.3358 ± 0.06345      |    0.1271 ± 0.03177     |
| Bin17  |  55.79 ± 68.33  | 151.4 ± 7.183  |  207.1 ± 68.71  |     0.1919 ± 0.04796      |    0.03177 ± 0.01588    |
| Bin18  |  111.6 ± 55.79  | 131.8 ± 6.672  |  243.3 ± 56.19  |     0.1199 ± 0.03792      |          0 ± 0          |
| Bin19  |  55.79 ± 39.45  | 129.1 ± 6.603  |   184.8 ± 40    |     0.09593 ± 0.03392     |          0 ± 0          |
| Bin20  |  111.6 ± 55.79  | 126.4 ± 6.534  |  237.9 ± 56.17  |     0.09593 ± 0.03392     |    0.01588 ± 0.01123    |
| Bin21  | -55.79 ± 39.45  | 112.8 ± 6.211  |  57.05 ± 39.94  |     0.1199 ± 0.03792      |          0 ± 0          |
| Bin22  |  55.79 ± 68.33  | 102.7 ± 5.929  |  158.5 ± 68.59  |     0.07195 ± 0.02937     |    0.06354 ± 0.02246    |
| Bin23  |      0 ± 0      | 76.35 ± 5.079  |  76.35 ± 5.079  |     0.07195 ± 0.02937     |    0.01588 ± 0.01123    |
| Bin24  |      0 ± 0      | 68.92 ± 4.825  |  68.92 ± 4.825  |     0.09593 ± 0.03392     |    0.03177 ± 0.01588    |
| Bin25  |      0 ± 0      |  64.87 ± 4.73  |  64.87 ± 4.73   |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin26  |      0 ± 0      | 57.43 ± 4.405  |  57.43 ± 4.405  |     0.09593 ± 0.03392     |    0.03177 ± 0.01588    |
| Bin27  |      0 ± 0      | 42.57 ± 3.911  |  42.57 ± 3.911  |     0.09593 ± 0.03392     |    0.01588 ± 0.01123    |
| Bin28  | -55.79 ± 39.45  | 45.27 ± 3.911  | -10.52 ± 39.64  |     0.1439 ± 0.04154      |    0.01588 ± 0.01123    |
| Bin29  |      0 ± 0      | 47.97 ± 4.026  |  47.97 ± 4.026  |     0.1679 ± 0.04487      |    0.04765 ± 0.01945    |
| Bin30  |      0 ± 0      | 33.78 ± 3.445  |  33.78 ± 3.445  |     0.07195 ± 0.02937     |    0.01588 ± 0.01123    |
| Bin31  |  111.6 ± 96.63  | 410.1 ± 11.85  |  521.7 ± 97.36  |      3.214 ± 0.1963       |    0.7783 ± 0.07862     |
+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
