+--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   | 557.9 ± 219.6  |  134.1 ± 6.748  |   692 ± 219.8   |     0.1679 ± 0.04487      |    0.7942 ± 0.07942     |
| Bin5   | 697.4 ± 214.3  |   128 ± 6.577   |  825.4 ± 214.4  |     0.08394 ± 0.03173     |    0.7783 ± 0.07862     |
| Bin6   | 697.4 ± 182.9  |  128.4 ± 6.603  |   825.8 ± 183   |     0.1559 ± 0.04323      |    0.6195 ± 0.07014     |
| Bin7   | 362.6 ± 195.3  |  132.8 ± 6.714  |  495.4 ± 195.4  |     0.1199 ± 0.03792      |    0.7863 ± 0.07902     |
| Bin8   | 585.8 ± 199.2  |   148 ± 7.071   |  733.8 ± 199.3  |     0.2038 ± 0.04944      |    0.7545 ± 0.07741     |
| Bin9   | 725.3 ± 212.4  |  147.3 ± 7.087  |  872.6 ± 212.6  |     0.3597 ± 0.06568      |    0.9372 ± 0.08627     |
| Bin10  | 334.7 ± 180.8  |  163.5 ± 7.448  |  498.3 ± 180.9  |     0.3837 ± 0.06783      |     1.247 ± 0.09951     |
| Bin11  | 390.5 ± 176.4  |  147.3 ± 7.087  |  537.8 ± 176.6  |     0.6115 ± 0.08563      |     2.232 ± 0.1331      |
| Bin12  | 557.9 ± 197.3  |  144.6 ± 6.989  |  702.5 ± 197.4  |      1.847 ± 0.1488       |     3.693 ± 0.1713      |
| Bin13  | 418.4 ± 169.7  |  131.8 ± 6.689  |  550.2 ± 169.8  |      2.038 ± 0.1563       |     4.678 ± 0.1927      |
| Bin14  | 139.5 ± 144.9  |  110.5 ± 6.109  |   250 ± 145.1   |      1.403 ± 0.1297       |     3.955 ± 0.1772      |
| Bin15  | 474.2 ± 144.9  |  95.61 ± 5.703  |  569.8 ± 145.1  |     0.4677 ± 0.07488      |     2.978 ± 0.1538      |
| Bin16  | 223.2 ± 136.7  |  66.22 ± 4.73   |  289.4 ± 136.7  |     0.2878 ± 0.05874      |     3.232 ± 0.1602      |
| Bin17  |  139.5 ± 108   |  58.78 ± 4.456  |  198.3 ± 108.1  |     0.2038 ± 0.04944      |     3.923 ± 0.1765      |
| Bin18  | 111.6 ± 118.4  |  42.23 ± 3.837  |  153.8 ± 118.4  |     0.2998 ± 0.05996      |     4.344 ± 0.1857      |
| Bin19  |  27.9 ± 73.8   |  41.89 ± 3.762  |  69.79 ± 73.9   |     0.2758 ± 0.05751      |     4.567 ± 0.1904      |
| Bin20  |  167.4 ± 78.9  |  30.07 ± 3.187  |  197.4 ± 78.96  |     0.2278 ± 0.05227      |     3.788 ± 0.1735      |
| Bin21  | 83.69 ± 92.52  |  28.72 ± 3.115  |  112.4 ± 92.57  |     0.1319 ± 0.03977      |     1.985 ± 0.1256      |
| Bin22  | 167.4 ± 68.33  |  19.59 ± 2.617  |   187 ± 68.38   |     0.05996 ± 0.02681     |    0.8895 ± 0.08405     |
| Bin23  |  27.9 ± 73.8   |  13.85 ± 2.163  |  41.75 ± 73.84  |     0.01199 ± 0.01199     |    0.2939 ± 0.04831     |
| Bin24  |     0 ± 0      |  11.49 ± 1.97   |  11.49 ± 1.97   |     0.02398 ± 0.01696     |    0.1588 ± 0.03552     |
| Bin25  |  -27.9 ± 27.9  |  10.14 ± 1.911  | -17.76 ± 27.96  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin26  |  27.9 ± 27.9   |  6.419 ± 1.473  |  34.31 ± 27.93  |     0.02398 ± 0.01696     |    0.04765 ± 0.01945    |
| Bin27  | 83.69 ± 48.32  |  4.73 ± 1.264   |  88.42 ± 48.33  |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin28  |  27.9 ± 27.9   |  4.054 ± 1.264  |  31.95 ± 27.92  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin29  |  27.9 ± 27.9   |  4.73 ± 1.264   |  32.63 ± 27.92  |     0.02398 ± 0.01696     |   0.007942 ± 0.007942   |
| Bin30  |  27.9 ± 27.9   | 1.014 ± 0.5852  |  28.91 ± 27.9   |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin31  |   0 ± 55.79    |  18.24 ± 2.483  |  18.24 ± 55.85  |     0.07195 ± 0.02937     |     0.27 ± 0.04631      |
+--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
