+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   | 251.1 ± 121.6  |  126.7 ± 6.542   |  377.8 ± 121.8   |     0.04796 ± 0.02398     |    0.03971 ± 0.01776    |
| Bin3   |  1506 ± 348.4  |   577 ± 13.97    |   2083 ± 348.7   |     0.3118 ± 0.06114      |    0.6592 ± 0.07235     |
| Bin4   |  1841 ± 332.4  |  460.1 ± 12.51   |   2301 ± 332.6   |      0.9113 ± 0.1045      |     1.946 ± 0.1243      |
| Bin5   |  1506 ± 295.2  |    301 ± 10.1    |   1807 ± 295.4   |      1.295 ± 0.1246       |     3.312 ± 0.1622      |
| Bin6   | 697.4 ± 238.3  |  184.8 ± 7.959   |  882.2 ± 238.5   |      1.415 ± 0.1303       |     4.281 ± 0.1844      |
| Bin7   | 474.2 ± 203.1  |   122 ± 6.472    |  596.2 ± 203.2   |      1.127 ± 0.1163       |     4.257 ± 0.1839      |
| Bin8   | 167.4 ± 142.2  |    73.31 ± 5     |  240.7 ± 142.3   |     0.7195 ± 0.09288      |     4.225 ± 0.1832      |
| Bin9   | 167.4 ± 130.8  |   47.3 ± 3.997   |  214.7 ± 130.9   |      0.6355 ± 0.0873      |     4.114 ± 0.1808      |
| Bin10  | 83.69 ± 92.52  |  30.07 ± 3.187   |  113.8 ± 92.57   |     0.5876 ± 0.08394      |     3.788 ± 0.1735      |
| Bin11  | 167.4 ± 88.21  |  15.54 ± 2.291   |  182.9 ± 88.24   |     0.5756 ± 0.08308      |     3.518 ± 0.1672      |
| Bin12  | 111.6 ± 88.21  |  14.87 ± 2.241   |  126.4 ± 88.24   |     0.3837 ± 0.06783      |     2.764 ± 0.1482      |
| Bin13  | -27.9 ± 48.32  |   7.77 ± 1.62    |  -20.13 ± 48.34  |     0.3238 ± 0.06231      |     2.557 ± 0.1425      |
| Bin14  | 83.69 ± 48.32  |   4.73 ± 1.264   |  88.42 ± 48.33   |     0.2158 ± 0.05087      |     2.081 ± 0.1286      |
| Bin15  |  27.9 ± 48.32  |  1.351 ± 0.6757  |  29.25 ± 48.32   |     0.2278 ± 0.05227      |     1.708 ± 0.1165      |
| Bin16  |  -27.9 ± 73.8  |  2.027 ± 0.8275  |  -25.87 ± 73.81  |     0.1439 ± 0.04154      |      1.39 ± 0.1051      |
| Bin17  |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.1319 ± 0.03977      |     1.12 ± 0.09431      |
| Bin18  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.09593 ± 0.03392     |     1.064 ± 0.09193     |
| Bin19  |  27.9 ± 27.9   | 0.6757 ± 0.4778  |   28.57 ± 27.9   |     0.08394 ± 0.03173     |    0.8577 ± 0.08254     |
| Bin20  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.7307 ± 0.07618     |
| Bin21  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.5401 ± 0.06549     |
| Bin22  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.3971 ± 0.05616     |
| Bin23  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.3892 ± 0.05559     |
| Bin24  |  -27.9 ± 27.9  | 0.3378 ± 0.3378  |  -27.56 ± 27.9   |     0.05996 ± 0.02681     |    0.3177 ± 0.05023     |
| Bin25  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |    0.2541 ± 0.04493     |
| Bin26  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.2224 ± 0.04202     |
| Bin27  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1906 ± 0.03891     |
| Bin28  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.0953 ± 0.02751     |
| Bin29  |  27.9 ± 27.9   |      0 ± 0       |   27.9 ± 27.9    |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |    0.03177 ± 0.01588    |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.2462 ± 0.04422     |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
