+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |          0 ± 0          |
| Bin4   |  2455 ± 423.1  |    853.1 ± 17    |   3308 ± 423.4   |     0.8154 ± 0.09888      |     2.788 ± 0.1488      |
| Bin5   |  1897 ± 380.4  |  507.8 ± 13.12   |   2405 ± 380.7   |      1.043 ± 0.1118       |     4.146 ± 0.1815      |
| Bin6   |  1088 ± 257.2  |  258.8 ± 9.423   |   1347 ± 257.4   |      0.9233 ± 0.1052      |     4.924 ± 0.1978      |
| Bin7   | 753.2 ± 221.4  |  138.5 ± 6.857   |  891.7 ± 221.5   |      1.091 ± 0.1144       |     5.194 ± 0.2031      |
| Bin8   | 390.5 ± 167.4  |  74.66 ± 5.045   |  465.2 ± 167.4   |     0.8154 ± 0.09888      |     4.019 ± 0.1787      |
| Bin9   |  251.1 ± 108   |  40.88 ± 3.716   |  291.9 ± 108.1   |     0.7075 ± 0.09211      |     4.082 ± 0.1801      |
| Bin10  | 223.2 ± 104.4  |  29.05 ± 3.169   |  252.2 ± 104.4   |     0.6115 ± 0.08563      |     3.622 ± 0.1696      |
| Bin11  |   0 ± 55.79    |  23.31 ± 2.806   |  23.31 ± 55.86   |     0.5996 ± 0.08479      |     3.137 ± 0.1578      |
| Bin12  | -27.9 ± 62.38  |  14.53 ± 2.215   |  -13.37 ± 62.42  |     0.4437 ± 0.07294      |     2.565 ± 0.1427      |
| Bin13  |   0 ± 55.79    |  8.108 ± 1.655   |  8.108 ± 55.82   |     0.5156 ± 0.07863      |     2.263 ± 0.1341      |
| Bin14  |   0 ± 39.45    |   7.77 ± 1.62    |   7.77 ± 39.48   |     0.3238 ± 0.06231      |     1.811 ± 0.1199      |
| Bin15  | -27.9 ± 48.32  |  3.378 ± 1.068   |  -24.52 ± 48.33  |     0.2998 ± 0.05996      |     1.453 ± 0.1074      |
| Bin16  |   0 ± 39.45    |  5.068 ± 1.308   |  5.068 ± 39.47   |     0.2758 ± 0.05751      |      1.31 ± 0.102       |
| Bin17  |  27.9 ± 27.9   |  2.365 ± 0.8938  |  30.26 ± 27.91   |     0.2038 ± 0.04944      |     0.961 ± 0.08736     |
| Bin18  | 55.79 ± 39.45  |  1.014 ± 0.5852  |   56.8 ± 39.45   |     0.1439 ± 0.04154      |     0.9054 ± 0.0848     |
| Bin19  |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.08394 ± 0.03173     |    0.7386 ± 0.07659     |
| Bin20  |  -27.9 ± 27.9  |  1.014 ± 0.5852  |  -26.88 ± 27.9   |     0.09593 ± 0.03392     |    0.7148 ± 0.07534     |
| Bin21  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.08394 ± 0.03173     |    0.4209 ± 0.05782     |
| Bin22  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.09593 ± 0.03392     |    0.3892 ± 0.05559     |
| Bin23  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |    0.3018 ± 0.04896     |
| Bin24  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.3653 ± 0.05387     |
| Bin25  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.1747 ± 0.03725     |
| Bin26  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.04796 ± 0.02398     |     0.2383 ± 0.0435     |
| Bin27  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.03597 ± 0.02077     |     0.143 ± 0.03369     |
| Bin28  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.0953 ± 0.02751     |
| Bin29  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin31  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.2144 ± 0.04127     |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
