+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |  3738 ± 556.5   |   1176 ± 19.96   |  4914 ± 556.9   |      3.214 ± 0.1963       |     7.227 ± 0.2396      |
| Bin3   |  6081 ± 609.9   |   1462 ± 22.33   |  7543 ± 610.3   |       4.605 ± 0.235       |     12.75 ± 0.3183      |
| Bin4   |  1841 ± 392.5   |  691.2 ± 15.31   |  2532 ± 392.8   |      2.638 ± 0.1779       |     10.29 ± 0.2859      |
| Bin5   |  1116 ± 261.7   |  325.7 ± 10.49   |  1442 ± 261.9   |      2.062 ± 0.1573       |     8.609 ± 0.2615      |
| Bin6   |  725.3 ± 197.3  |   148 ± 7.071    |  873.3 ± 197.4  |      1.535 ± 0.1357       |     8.101 ± 0.2536      |
| Bin7   |  223.2 ± 136.7  |  56.76 ± 4.379   |  279.9 ± 136.7  |      1.031 ± 0.1112       |     6.465 ± 0.2266      |
| Bin8   |    0 ± 147.6    |  35.14 ± 3.445   |  35.14 ± 147.6  |     0.6715 ± 0.08973      |     5.385 ± 0.2068      |
| Bin9   |  111.6 ± 96.63  |  18.92 ± 2.528   |  130.5 ± 96.67  |     0.7195 ± 0.09288      |      5.289 ± 0.205      |
| Bin10  |   279 ± 88.21   |  16.22 ± 2.341   |  295.2 ± 88.24  |     0.3358 ± 0.06345      |     4.575 ± 0.1906      |
| Bin11  |  55.79 ± 68.33  |  6.081 ± 1.433   |  61.87 ± 68.34  |     0.4557 ± 0.07392      |      3.145 ± 0.158      |
| Bin12  |    0 ± 55.79    |  8.108 ± 1.655   |  8.108 ± 55.82  |     0.2638 ± 0.05624      |     2.827 ± 0.1498      |
| Bin13  |    0 ± 55.79    |  1.351 ± 0.6757  |  1.351 ± 55.8   |     0.2638 ± 0.05624      |     2.176 ± 0.1315      |
| Bin14  |    0 ± 55.79    | 0.6757 ± 0.4778  | 0.6757 ± 55.79  |     0.2158 ± 0.05087      |     2.669 ± 0.1456      |
| Bin15  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.1679 ± 0.04487      |     2.319 ± 0.1357      |
| Bin16  |      0 ± 0      |  2.027 ± 0.8275  | 2.027 ± 0.8275  |     0.1439 ± 0.04154      |     2.176 ± 0.1315      |
| Bin17  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.09593 ± 0.03392     |     1.493 ± 0.1089      |
| Bin18  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.1439 ± 0.04154      |     1.064 ± 0.09193     |
| Bin19  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.09593 ± 0.03392     |     1.16 ± 0.09596      |
| Bin20  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.07195 ± 0.02937     |     1.032 ± 0.09055     |
| Bin21  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.04796 ± 0.02398     |    0.8101 ± 0.08021     |
| Bin22  |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |     0.826 ± 0.08099     |
| Bin23  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.04796 ± 0.02398     |    0.5718 ± 0.06739     |
| Bin24  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.07195 ± 0.02937     |    0.5559 ± 0.06645     |
| Bin25  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.02398 ± 0.01696     |    0.4924 ± 0.06254     |
| Bin26  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.04796 ± 0.02398     |     0.27 ± 0.04631      |
| Bin27  | -55.79 ± 39.45  |      0 ± 0       | -55.79 ± 39.45  |           0 ± 0           |    0.2541 ± 0.04493     |
| Bin28  |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |     0.2065 ± 0.0405     |
| Bin29  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.02398 ± 0.01696     |    0.2224 ± 0.04202     |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.02398 ± 0.01696     |    0.1747 ± 0.03725     |
| Bin31  |      0 ± 0      |      0 ± 0       |      0 ± 0      |     0.02398 ± 0.01696     |     1.223 ± 0.09856     |
+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
