+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |  418.4 ± 195.3  |  45.95 ± 3.969  |  464.4 ± 195.3  |     0.2038 ± 0.04944      |    0.9213 ± 0.08554     |
| Bin3   |  2678 ± 435.7   |  283.8 ± 9.815  |  2962 ± 435.9   |      1.595 ± 0.1383       |     7.481 ± 0.2438      |
| Bin4   |   1562 ± 303    |  272.6 ± 9.597  |  1835 ± 303.2   |      1.583 ± 0.1378       |     8.268 ± 0.2562      |
| Bin5   |  725.3 ± 233.4  |  241.2 ± 9.04   |  966.5 ± 233.6  |      1.199 ± 0.1199       |     6.997 ± 0.2357      |
| Bin6   |  362.6 ± 191.2  |  217.6 ± 8.613  |  580.2 ± 191.4  |      1.151 ± 0.1175       |     5.266 ± 0.2045      |
| Bin7   |  83.69 ± 144.9  |  168.6 ± 7.562  |  252.3 ± 145.1  |      0.9353 ± 0.1059      |     3.931 ± 0.1767      |
| Bin8   |  111.6 ± 130.8  |  136.2 ± 6.799  |   247.7 ± 131   |     0.7554 ± 0.09518      |      2.97 ± 0.1536      |
| Bin9   |  195.3 ± 92.52  |  118.6 ± 6.347  |  313.9 ± 92.74  |     0.2998 ± 0.05996      |     2.351 ± 0.1366      |
| Bin10  |   251.1 ± 108   |  80.07 ± 5.223  |  331.1 ± 108.2  |     0.4677 ± 0.07488      |     2.136 ± 0.1303      |
| Bin11  |  55.79 ± 78.9   |  72.3 ± 4.965   |  128.1 ± 79.06  |     0.1439 ± 0.04154      |     1.239 ± 0.0992      |
| Bin12  |  55.79 ± 55.79  |   52.7 ± 4.22   |  108.5 ± 55.95  |     0.1919 ± 0.04796      |    0.9769 ± 0.08808     |
| Bin13  | -55.79 ± 55.79  |  43.92 ± 3.852  | -11.87 ± 55.92  |     0.1799 ± 0.04644      |    0.6354 ± 0.07104     |
| Bin14  |  83.69 ± 62.38  |  39.53 ± 3.685  |  123.2 ± 62.49  |     0.1439 ± 0.04154      |    0.5877 ± 0.06832     |
| Bin15  |  27.9 ± 48.32   |  34.46 ± 3.412  |  62.36 ± 48.44  |     0.03597 ± 0.02077     |    0.4765 ± 0.06152     |
| Bin16  |  111.6 ± 55.79  |  21.28 ± 2.682  |  132.9 ± 55.86  |     0.08394 ± 0.03173     |    0.4448 ± 0.05943     |
| Bin17  |   27.9 ± 27.9   |  24.32 ± 2.867  |  52.22 ± 28.04  |     0.05996 ± 0.02681     |    0.3494 ± 0.05268     |
| Bin18  |  111.6 ± 55.79  |  20.95 ± 2.66   |  132.5 ± 55.85  |     0.05996 ± 0.02681     |     0.27 ± 0.04631      |
| Bin19  | -55.79 ± 55.79  |  12.5 ± 2.055   | -43.29 ± 55.83  |     0.05996 ± 0.02681     |    0.2541 ± 0.04493     |
| Bin20  |   27.9 ± 27.9   |   12.5 ± 2.11   |  40.4 ± 27.98   |     0.04796 ± 0.02398     |    0.1509 ± 0.03462     |
| Bin21  |  55.79 ± 39.45  |  10.81 ± 1.911  |   66.6 ± 39.5   |           0 ± 0           |     0.135 ± 0.03275     |
| Bin22  |   27.9 ± 27.9   |  7.095 ± 1.548  |  34.99 ± 27.94  |     0.05996 ± 0.02681     |    0.1747 ± 0.03725     |
| Bin23  |   27.9 ± 27.9   |  7.095 ± 1.548  |  34.99 ± 27.94  |     0.04796 ± 0.02398     |    0.1509 ± 0.03462     |
| Bin24  |   27.9 ± 27.9   |  5.068 ± 1.393  |  32.96 ± 27.93  |           0 ± 0           |    0.1191 ± 0.03076     |
| Bin25  |   27.9 ± 27.9   |  6.757 ± 1.511  |  34.65 ± 27.94  |     0.04796 ± 0.02398     |    0.0953 ± 0.02751     |
| Bin26  |      0 ± 0      |  4.73 ± 1.264   |  4.73 ± 1.264   |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin27  |   27.9 ± 27.9   |  4.054 ± 1.17   |  31.95 ± 27.92  |     0.01199 ± 0.01199     |    0.04765 ± 0.01945    |
| Bin28  |      0 ± 0      |  5.743 ± 1.393  |  5.743 ± 1.393  |     0.03597 ± 0.02077     |    0.06354 ± 0.02246    |
| Bin29  |      0 ± 0      |  3.378 ± 1.068  |  3.378 ± 1.068  |     0.03597 ± 0.02077     |    0.05559 ± 0.02101    |
| Bin30  |    0 ± 39.45    | 2.027 ± 0.8275  |  2.027 ± 39.46  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin31  |  83.69 ± 48.32  |  18.24 ± 2.483  |  101.9 ± 48.38  |     0.08394 ± 0.03173     |    0.4924 ± 0.06254     |
+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
