+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   | 948.4 ± 270.5  |   251.4 ± 9.24   |   1200 ± 270.6   |      0.8754 ± 0.1025      |      5.821 ± 0.215      |
| Bin3   |  3236 ± 483.2  |  663.9 ± 15.01   |   3900 ± 483.4   |      3.693 ± 0.2104       |     18.09 ± 0.3791      |
| Bin4   |  1311 ± 280.3  |  332.4 ± 10.62   |   1644 ± 280.5   |      1.847 ± 0.1488       |     9.427 ± 0.2736      |
| Bin5   | 557.9 ± 201.2  |  206.1 ± 8.358   |   764 ± 201.3    |      1.019 ± 0.1106       |      5.345 ± 0.206      |
| Bin6   |  279 ± 167.4   |  135.8 ± 6.791   |  414.8 ± 167.5   |     0.7075 ± 0.09211      |     2.899 ± 0.1517      |
| Bin7   |  139.5 ± 108   |  94.26 ± 5.683   |  233.7 ± 108.2   |     0.3597 ± 0.06568      |      1.874 ± 0.122      |
| Bin8   | -27.9 ± 92.52  |   67.91 ± 4.79   |  40.01 ± 92.64   |     0.3597 ± 0.06568      |     1.064 ± 0.09193     |
| Bin9   | 111.6 ± 55.79  |  54.73 ± 4.326   |  166.3 ± 55.96   |     0.1199 ± 0.03792      |    0.6433 ± 0.07148     |
| Bin10  | 139.5 ± 83.69  |  36.49 ± 3.511   |   176 ± 83.76    |     0.08394 ± 0.03173     |    0.5162 ± 0.06403     |
| Bin11  | 55.79 ± 55.79  |  27.03 ± 3.022   |  82.82 ± 55.87   |     0.07195 ± 0.02937     |    0.3494 ± 0.05268     |
| Bin12  | -27.9 ± 48.32  |  18.58 ± 2.506   |  -9.314 ± 48.38  |     0.07195 ± 0.02937     |     0.2383 ± 0.0435     |
| Bin13  | -27.9 ± 48.32  |  13.51 ± 2.137   |  -14.38 ± 48.36  |     0.09593 ± 0.03392     |    0.1668 ± 0.03639     |
| Bin14  | 83.69 ± 48.32  |  12.84 ± 2.137   |  96.52 ± 48.36   |     0.03597 ± 0.02077     |    0.1032 ± 0.02864     |
| Bin15  |  -27.9 ± 27.9  |  13.85 ± 2.163   |  -14.04 ± 27.98  |     0.03597 ± 0.02077     |     0.143 ± 0.03369     |
| Bin16  |  27.9 ± 27.9   |  5.743 ± 1.393   |  33.64 ± 27.93   |     0.01199 ± 0.01199     |    0.08736 ± 0.02634    |
| Bin17  | 55.79 ± 39.45  |  7.095 ± 1.548   |  62.89 ± 39.48   |     0.01199 ± 0.01199     |    0.07148 ± 0.02383    |
| Bin18  | 55.79 ± 39.45  |  6.081 ± 1.433   |  61.87 ± 39.48   |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin19  | -27.9 ± 48.32  |   3.716 ± 1.12   |  -24.18 ± 48.33  |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin20  |  27.9 ± 27.9   |  3.716 ± 1.218   |  31.61 ± 27.92   |     0.01199 ± 0.01199     |    0.03971 ± 0.01776    |
| Bin21  |  27.9 ± 27.9   |  3.041 ± 1.014   |  30.94 ± 27.91   |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin22  |     0 ± 0      |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin23  |  27.9 ± 27.9   |  2.027 ± 0.8275  |  29.92 ± 27.91   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin24  |  27.9 ± 27.9   |  1.689 ± 0.7554  |  29.58 ± 27.91   |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin25  |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin26  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin27  |  27.9 ± 27.9   | 0.6757 ± 0.4778  |   28.57 ± 27.9   |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin28  |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |          0 ± 0          |
| Bin29  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |   0.007942 ± 0.007942   |
| Bin30  |   0 ± 39.45    | 0.6757 ± 0.4778  |  0.6757 ± 39.45  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  | 55.79 ± 39.45  |   3.716 ± 1.12   |  59.51 ± 39.47   |     0.02398 ± 0.01696     |    0.07148 ± 0.02383    |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
