+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   |  2092 ± 379.4   |  252 ± 9.289   |  2344 ± 379.5   |      1.355 ± 0.1275       |     7.235 ± 0.2397      |
| Bin5   |  1283 ± 322.9   | 211.2 ± 8.446  |   1494 ± 323    |      1.247 ± 0.1223       |      6.147 ± 0.221      |
| Bin6   |  976.3 ± 247.9  | 185.1 ± 7.937  |  1161 ± 248.1   |      1.079 ± 0.1138       |     5.536 ± 0.2097      |
| Bin7   |  418.4 ± 203.1  | 155.4 ± 7.246  |  573.8 ± 203.2  |      0.8754 ± 0.1025      |      4.4 ± 0.1869       |
| Bin8   |   418.4 ± 165   | 139.5 ± 6.866  |   558 ± 165.2   |      0.6355 ± 0.0873      |     3.788 ± 0.1735      |
| Bin9   |  446.3 ± 157.8  | 109.1 ± 6.128  |  555.5 ± 157.9  |     0.6115 ± 0.08563      |     3.169 ± 0.1586      |
| Bin10  |   195.3 ± 115   | 115.9 ± 6.275  |  311.1 ± 115.2  |     0.6835 ± 0.09053      |     2.279 ± 0.1345      |
| Bin11  |   83.69 ± 108   | 96.62 ± 5.713  |  180.3 ± 108.2  |     0.4916 ± 0.07678      |     2.144 ± 0.1305      |
| Bin12  | -111.6 ± 118.4  |  83.78 ± 5.32  |  -27.8 ± 118.5  |     0.3597 ± 0.06568      |     1.763 ± 0.1183      |
| Bin13  |  55.79 ± 96.63  | 78.72 ± 5.179  |  134.5 ± 96.77  |     0.3957 ± 0.06888      |     1.358 ± 0.1039      |
| Bin14  |  195.3 ± 83.69  | 75.34 ± 5.045  |  270.6 ± 83.84  |     0.1559 ± 0.04323      |     1.16 ± 0.09596      |
| Bin15  |  139.5 ± 73.8   | 56.08 ± 4.405  |  195.6 ± 73.94  |     0.1679 ± 0.04487      |     1.104 ± 0.09363     |
| Bin16  |  167.4 ± 78.9   | 42.23 ± 3.777  |  209.6 ± 78.99  |     0.2038 ± 0.04944      |    0.9769 ± 0.08808     |
| Bin17  |  83.69 ± 62.38  |  40.2 ± 3.716  |  123.9 ± 62.49  |     0.1559 ± 0.04323      |     0.961 ± 0.08736     |
| Bin18  |  55.79 ± 68.33  |  37.5 ± 3.559  |  93.29 ± 68.42  |     0.09593 ± 0.03392     |    0.5559 ± 0.06645     |
| Bin19  |    0 ± 39.45    | 33.11 ± 3.344  |  33.11 ± 39.59  |     0.1439 ± 0.04154      |    0.5559 ± 0.06645     |
| Bin20  |   27.9 ± 27.9   | 28.38 ± 3.096  |  56.27 ± 28.07  |     0.02398 ± 0.01696     |    0.3574 ± 0.05328     |
| Bin21  | -83.69 ± 48.32  | 21.96 ± 2.724  | -61.73 ± 48.39  |     0.02398 ± 0.01696     |    0.3177 ± 0.05023     |
| Bin22  |  55.79 ± 55.79  | 23.65 ± 2.827  |  79.44 ± 55.86  |     0.05996 ± 0.02681     |    0.2939 ± 0.04831     |
| Bin23  |   27.9 ± 27.9   | 16.55 ± 2.365  |   44.45 ± 28    |     0.1079 ± 0.03597      |     0.2383 ± 0.0435     |
| Bin24  |  55.79 ± 55.79  | 21.62 ± 2.703  |  77.41 ± 55.86  |     0.04796 ± 0.02398     |    0.2303 ± 0.04277     |
| Bin25  |  -27.9 ± 27.9   | 13.85 ± 2.163  | -14.04 ± 27.98  |     0.01199 ± 0.01199     |     0.278 ± 0.04699     |
| Bin26  |      0 ± 0      |  13.18 ± 2.11  |  13.18 ± 2.11   |     0.01199 ± 0.01199     |     0.2065 ± 0.0405     |
| Bin27  |  111.6 ± 55.79  | 8.784 ± 1.723  |  120.4 ± 55.82  |     0.02398 ± 0.01696     |    0.2144 ± 0.04127     |
| Bin28  |   27.9 ± 27.9   | 9.122 ± 1.755  |  37.02 ± 27.95  |     0.03597 ± 0.02077     |    0.1271 ± 0.03177     |
| Bin29  |      0 ± 0      | 12.84 ± 2.083  |  12.84 ± 2.083  |     0.02398 ± 0.01696     |    0.1112 ± 0.02972     |
| Bin30  |  83.69 ± 48.32  | 9.122 ± 1.755  |  92.81 ± 48.35  |     0.02398 ± 0.01696     |    0.07942 ± 0.02511    |
| Bin31  |   279 ± 104.4   | 83.11 ± 5.299  |  362.1 ± 104.5  |     0.4677 ± 0.07488      |     1.596 ± 0.1126      |
+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
