+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |  4938 ± 591.1  |  735.1 ± 15.81   |   5673 ± 591.3   |      3.417 ± 0.2024       |     13.17 ± 0.3234      |
| Bin2   | 55.79 ± 104.4  |  69.26 ± 4.861   |   125 ± 104.5    |     0.1199 ± 0.03792      |    0.1827 ± 0.03809     |
| Bin3   | 223.2 ± 111.6  |  72.97 ± 4.988   |  296.1 ± 111.7   |     0.09593 ± 0.03392     |    0.2621 ± 0.04562     |
| Bin4   | 167.4 ± 104.4  |  90.54 ± 5.531   |  257.9 ± 104.5   |     0.08394 ± 0.03173     |    0.2462 ± 0.04422     |
| Bin5   | 223.2 ± 118.4  |  94.93 ± 5.663   |  318.1 ± 118.5   |     0.07195 ± 0.02937     |    0.1985 ± 0.03971     |
| Bin6   | 139.5 ± 100.6  |  99.66 ± 5.803   |  239.1 ± 100.7   |     0.05996 ± 0.02681     |    0.2859 ± 0.04765     |
| Bin7   | 55.79 ± 118.4  |  91.56 ± 5.582   |  147.3 ± 118.5   |     0.08394 ± 0.03173     |    0.3415 ± 0.05208     |
| Bin8   | 390.5 ± 111.6  |  93.58 ± 5.623   |  484.1 ± 111.7   |     0.03597 ± 0.02077     |    0.3653 ± 0.05387     |
| Bin9   | 111.6 ± 111.6  |   89.19 ± 5.51   |  200.8 ± 111.7   |     0.1079 ± 0.03597      |    0.3574 ± 0.05328     |
| Bin10  |  139.5 ± 108   |   79.73 ± 5.19   |  219.2 ± 108.2   |     0.1199 ± 0.03792      |    0.4527 ± 0.05996     |
| Bin11  | 223.2 ± 96.63  |   89.53 ± 5.52   |  312.7 ± 96.79   |     0.2278 ± 0.05227      |    0.5956 ± 0.06878     |
| Bin12  | 167.4 ± 111.6  |  68.58 ± 4.837   |   236 ± 111.7    |     0.2278 ± 0.05227      |    0.7307 ± 0.07618     |
| Bin13  |  139.5 ± 73.8  |  65.88 ± 4.742   |  205.4 ± 73.96   |     0.2398 ± 0.05363      |    0.8816 ± 0.08367     |
| Bin14  | 55.79 ± 55.79  |   60.47 ± 4.52   |  116.3 ± 55.97   |     0.2518 ± 0.05495      |      1.35 ± 0.1036      |
| Bin15  | -27.9 ± 62.38  |  41.55 ± 3.747   |  13.66 ± 62.49   |     0.3477 ± 0.06457      |     1.557 ± 0.1112      |
| Bin16  |  55.79 ± 78.9  |  40.88 ± 3.716   |  96.67 ± 78.99   |     0.3118 ± 0.06114      |     2.041 ± 0.1273      |
| Bin17  | -27.9 ± 62.38  |  26.01 ± 2.965   |  -1.882 ± 62.45  |     0.3957 ± 0.06888      |     2.669 ± 0.1456      |
| Bin18  |  27.9 ± 27.9   |   22.3 ± 2.786   |  50.19 ± 28.03   |     0.4557 ± 0.07392      |     2.923 ± 0.1524      |
| Bin19  |   0 ± 39.45    |  14.19 ± 2.189   |  14.19 ± 39.51   |     0.5156 ± 0.07863      |      3.51 ± 0.167       |
| Bin20  |  27.9 ± 48.32  |  8.784 ± 1.723   |  36.68 ± 48.35   |     0.6235 ± 0.08647      |     2.978 ± 0.1538      |
| Bin21  |     0 ± 0      |  8.446 ± 1.689   |  8.446 ± 1.689   |     0.4916 ± 0.07678      |     3.288 ± 0.1616      |
| Bin22  |  -27.9 ± 27.9  |  5.743 ± 1.393   |  -22.15 ± 27.93  |     0.3118 ± 0.06114      |     2.764 ± 0.1482      |
| Bin23  |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.4077 ± 0.06992      |     2.351 ± 0.1366      |
| Bin24  |     0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.2278 ± 0.05227      |     1.779 ± 0.1189      |
| Bin25  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1319 ± 0.03977      |     1.025 ± 0.0902      |
| Bin26  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1079 ± 0.03597      |    0.5798 ± 0.06786     |
| Bin27  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.03597 ± 0.02077     |    0.2541 ± 0.04493     |
| Bin28  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.03971 ± 0.01776    |
| Bin29  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
