+--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |     ttbar      |     Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   |  1813 ± 375.3  | 439.9 ± 12.23  |  2253 ± 375.5  |     0.7554 ± 0.09518      |     2.414 ± 0.1385      |
| Bin5   |  2176 ± 357.2  | 368.2 ± 11.17  |  2544 ± 357.4  |     0.5876 ± 0.08394      |     1.985 ± 0.1256      |
| Bin6   |  1534 ± 293.9  | 324.7 ± 10.49  |  1859 ± 294.1  |     0.5876 ± 0.08394      |      1.85 ± 0.1212      |
| Bin7   |  1088 ± 301.7  | 303.4 ± 10.14  |  1391 ± 301.9  |     0.5876 ± 0.08394      |     1.914 ± 0.1233      |
| Bin8   |  1004 ± 276.2  | 288.2 ± 9.867  |  1292 ± 276.3  |     0.4916 ± 0.07678      |     2.017 ± 0.1266      |
| Bin9   | 976.3 ± 285.8  | 285.5 ± 9.855  |   1262 ± 286   |     0.6115 ± 0.08563      |     2.446 ± 0.1394      |
| Bin10  | 725.3 ± 252.6  |  275 ± 9.663   |  1000 ± 252.8  |      0.9233 ± 0.1052      |     3.479 ± 0.1662      |
| Bin11  | 669.5 ± 226.6  | 266.9 ± 9.544  | 936.4 ± 226.8  |      1.463 ± 0.1324       |     6.751 ± 0.2315      |
| Bin12  |  1004 ± 249.5  | 254.4 ± 9.295  |  1259 ± 249.7  |      3.477 ± 0.2042       |     12.01 ± 0.3088      |
| Bin13  | 585.8 ± 224.9  |  216.6 ± 8.58  | 802.4 ± 225.1  |      4.077 ± 0.2211       |     14.55 ± 0.3399      |
| Bin14  | 306.9 ± 174.2  | 187.2 ± 7.952  |  494 ± 174.4   |       2.53 ± 0.1742       |      10.6 ± 0.2902      |
| Bin15  |  781.1 ± 185   | 156.4 ± 7.285  | 937.5 ± 185.2  |      0.9233 ± 0.1052      |     5.798 ± 0.2146      |
| Bin16  | 223.2 ± 152.8  | 106.1 ± 5.987  | 329.2 ± 152.9  |     0.4437 ± 0.07294      |     4.718 ± 0.1936      |
| Bin17  | 139.5 ± 133.8  | 94.93 ± 5.683  | 234.4 ± 133.9  |     0.3118 ± 0.06114      |      4.71 ± 0.1934      |
| Bin18  | 83.69 ± 144.9  | 68.58 ± 4.861  |  152.3 ± 145   |     0.3957 ± 0.06888      |     5.027 ± 0.1998      |
| Bin19  | 55.79 ± 96.63  | 71.62 ± 4.919  | 127.4 ± 96.76  |     0.3597 ± 0.06568      |     5.361 ± 0.2063      |
| Bin20  | 167.4 ± 88.21  | 51.01 ± 4.151  | 218.4 ± 88.31  |     0.2878 ± 0.05874      |     4.503 ± 0.1891      |
| Bin21  | 139.5 ± 100.6  | 48.65 ± 4.054  | 188.1 ± 100.7  |     0.1919 ± 0.04796      |      2.398 ± 0.138      |
| Bin22  | 195.3 ± 83.69  | 32.77 ± 3.361  |  228 ± 83.75   |     0.09593 ± 0.03392     |     1.104 ± 0.09363     |
| Bin23  | 111.6 ± 88.21  | 26.01 ± 2.965  | 137.6 ± 88.26  |     0.04796 ± 0.02398     |    0.4209 ± 0.05782     |
| Bin24  |  27.9 ± 73.8   | 21.62 ± 2.703  | 49.52 ± 73.85  |     0.02398 ± 0.01696     |    0.2144 ± 0.04127     |
| Bin25  |   0 ± 39.45    | 21.28 ± 2.724  | 21.28 ± 39.54  |     0.03597 ± 0.02077     |    0.1827 ± 0.03809     |
| Bin26  | 111.6 ± 55.79  |  15.2 ± 2.316  | 126.8 ± 55.84  |     0.03597 ± 0.02077     |    0.1509 ± 0.03462     |
| Bin27  | 139.5 ± 62.38  | 16.55 ± 2.365  |  156 ± 62.42   |     0.01199 ± 0.01199     |    0.08736 ± 0.02634    |
| Bin28  | 55.79 ± 39.45  | 11.15 ± 1.999  |  66.94 ± 39.5  |           0 ± 0           |    0.1191 ± 0.03076     |
| Bin29  |  27.9 ± 27.9   |  11.49 ± 1.97  | 39.38 ± 27.97  |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin30  | 83.69 ± 48.32  | 5.743 ± 1.393  | 89.43 ± 48.34  |     0.03597 ± 0.02077     |    0.05559 ± 0.02101    |
| Bin31  |   0 ± 68.33    | 50.68 ± 4.138  | 50.68 ± 68.46  |     0.1319 ± 0.03977      |    0.6751 ± 0.07322     |
+--------+----------------+----------------+----------------+---------------------------+-------------------------+
