+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |          0 ± 0          |
| Bin1   |  669.5 ± 230   |   278 ± 9.716    |  947.5 ± 230.2   |     0.3118 ± 0.06114      |      5.766 ± 0.214      |
| Bin2   |  1534 ± 316.8  |  388.9 ± 11.48   |    1923 ± 317    |     0.2998 ± 0.05996      |      3.82 ± 0.1742      |
| Bin3   | 697.4 ± 283.1  |   351 ± 10.93    |   1048 ± 283.3   |     0.3837 ± 0.06783      |     3.169 ± 0.1586      |
| Bin4   |  1339 ± 258.7  |  317.2 ± 10.36   |   1656 ± 258.9   |     0.4677 ± 0.07488      |      2.51 ± 0.1412      |
| Bin5   |  1032 ± 241.6  |  267.2 ± 9.597   |   1299 ± 241.8   |     0.4437 ± 0.07294      |     2.676 ± 0.1458      |
| Bin6   |  530 ± 257.2   |  247.3 ± 9.153   |  777.3 ± 257.3   |     0.4557 ± 0.07392      |     2.589 ± 0.1434      |
| Bin7   | 864.8 ± 241.6  |   234.5 ± 8.9    |   1099 ± 241.7   |     0.4916 ± 0.07678      |     2.168 ± 0.1312      |
| Bin8   |  446.3 ± 230   |   199 ± 8.227    |  645.3 ± 230.2   |     0.4197 ± 0.07094      |      2.295 ± 0.135      |
| Bin9   | 892.7 ± 219.6  |   170.9 ± 7.63   |   1064 ± 219.8   |     0.4197 ± 0.07094      |     2.263 ± 0.1341      |
| Bin10  | 864.8 ± 221.4  |   171.6 ± 7.63   |   1036 ± 221.5   |     0.4677 ± 0.07488      |      2.24 ± 0.1334      |
| Bin11  | 418.4 ± 182.9  |  150.7 ± 7.135   |  569.1 ± 183.1   |     0.5276 ± 0.07954      |     2.057 ± 0.1278      |
| Bin12  | 641.6 ± 195.3  |  132.4 ± 6.706   |   774 ± 195.4    |     0.4077 ± 0.06992      |     1.882 ± 0.1223      |
| Bin13  | 474.2 ± 191.2  |  125.3 ± 6.525   |  599.6 ± 191.4   |     0.5036 ± 0.07771      |      2.295 ± 0.135      |
| Bin14  | 669.5 ± 176.4  |   125 ± 6.499    |  794.5 ± 176.5   |     0.4796 ± 0.07584      |     2.327 ± 0.1359      |
| Bin15  |  390.5 ± 172   |  114.5 ± 6.239   |  505.1 ± 172.1   |     0.6715 ± 0.08973      |     2.319 ± 0.1357      |
| Bin16  | 306.9 ± 169.7  |  110.5 ± 6.128   |  417.3 ± 169.8   |     0.3957 ± 0.06888      |     2.367 ± 0.1371      |
| Bin17  |  306.9 ± 165   |  84.12 ± 5.331   |   391 ± 165.1    |     0.3717 ± 0.06676      |     2.422 ± 0.1387      |
| Bin18  | 223.2 ± 162.7  |  87.84 ± 5.448   |   311 ± 162.7    |     0.5036 ± 0.07771      |     2.406 ± 0.1382      |
| Bin19  | 362.6 ± 155.3  |  72.64 ± 4.977   |  435.3 ± 155.4   |     0.5036 ± 0.07771      |     2.256 ± 0.1338      |
| Bin20  | 55.79 ± 136.7  |  65.88 ± 4.718   |  121.7 ± 136.7   |     0.4317 ± 0.07195      |     2.676 ± 0.1458      |
| Bin21  | 418.4 ± 121.6  |  61.49 ± 4.583   |  479.9 ± 121.7   |     0.6835 ± 0.09053      |     3.042 ± 0.1554      |
| Bin22  | 251.1 ± 121.6  |  55.07 ± 4.313   |  306.1 ± 121.7   |     0.6955 ± 0.09132      |     3.002 ± 0.1544      |
| Bin23  | 195.3 ± 139.5  |  47.64 ± 4.012   |  242.9 ± 139.5   |     0.7075 ± 0.09211      |     3.113 ± 0.1572      |
| Bin24  | 223.2 ± 111.6  |  41.55 ± 3.777   |  264.7 ± 111.6   |     0.7435 ± 0.09442      |     3.447 ± 0.1655      |
| Bin25  | 251.1 ± 100.6  |  40.88 ± 3.716   |  291.9 ± 100.6   |     0.6595 ± 0.08893      |      3.637 ± 0.17       |
| Bin26  |  -27.9 ± 108   |  28.38 ± 3.096   |  0.4832 ± 108.1  |      0.9473 ± 0.1066      |     3.717 ± 0.1718      |
| Bin27  | 139.5 ± 83.69  |  23.31 ± 2.806   |  162.8 ± 83.73   |      1.127 ± 0.1163       |     4.678 ± 0.1927      |
| Bin28  | 83.69 ± 62.38  |  15.88 ± 2.316   |  99.57 ± 62.42   |      1.271 ± 0.1235       |     5.003 ± 0.1993      |
| Bin29  |   0 ± 39.45    |  9.122 ± 1.755   |  9.122 ± 39.49   |      1.631 ± 0.1398       |     5.964 ± 0.2176      |
| Bin30  |  -27.9 ± 27.9  |  1.351 ± 0.6757  |  -26.54 ± 27.9   |      2.038 ± 0.1563       |     7.473 ± 0.2436      |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
