+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |  2232 ± 419.4   |  407.8 ± 11.77   |   2639 ± 419.5   |      2.842 ± 0.1846       |     11.74 ± 0.3053      |
| Bin2   |  362.6 ± 169.7  |  171.3 ± 7.607   |  533.9 ± 169.9   |     0.2878 ± 0.05874      |    0.6671 ± 0.07279     |
| Bin3   |  55.79 ± 104.4  |  105.7 ± 5.996   |  161.5 ± 104.5   |     0.1679 ± 0.04487      |     0.691 ± 0.07408     |
| Bin4   |  167.4 ± 96.63  |  71.28 ± 4.907   |  238.7 ± 96.76   |     0.2278 ± 0.05227      |    0.7863 ± 0.07902     |
| Bin5   |  55.79 ± 55.79  |  46.96 ± 3.983   |  102.8 ± 55.93   |     0.2158 ± 0.05087      |      0.953 ± 0.087      |
| Bin6   |  111.6 ± 68.33  |   34.8 ± 3.429   |  146.4 ± 68.42   |     0.1799 ± 0.04644      |     1.128 ± 0.09464     |
| Bin7   |  -27.9 ± 27.9   |  23.99 ± 2.847   |  -3.909 ± 28.04  |     0.1199 ± 0.03792      |     1.223 ± 0.09856     |
| Bin8   |    0 ± 55.79    |  21.28 ± 2.724   |  21.28 ± 55.86   |     0.2758 ± 0.05751      |     1.509 ± 0.1095      |
| Bin9   | -55.79 ± 39.45  |  11.82 ± 1.999   |  -43.97 ± 39.5   |     0.2398 ± 0.05363      |     1.366 ± 0.1042      |
| Bin10  |    0 ± 55.79    |  7.433 ± 1.585   |  7.433 ± 55.81   |     0.2278 ± 0.05227      |     1.509 ± 0.1095      |
| Bin11  |   27.9 ± 27.9   |  9.797 ± 1.819   |  37.69 ± 27.95   |     0.2638 ± 0.05624      |     1.422 ± 0.1063      |
| Bin12  |      0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.1919 ± 0.04796      |     1.453 ± 0.1074      |
| Bin13  |      0 ± 0      |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.2398 ± 0.05363      |     1.453 ± 0.1074      |
| Bin14  |      0 ± 0      |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.2638 ± 0.05624      |     1.422 ± 0.1063      |
| Bin15  |      0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.2638 ± 0.05624      |     1.437 ± 0.1068      |
| Bin16  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.2398 ± 0.05363      |     1.318 ± 0.1023      |
| Bin17  |      0 ± 0      |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.1439 ± 0.04154      |     1.152 ± 0.09563     |
| Bin18  |      0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.1079 ± 0.03597      |     1.128 ± 0.09464     |
| Bin19  |      0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.2638 ± 0.05624      |     1.048 ± 0.09125     |
| Bin20  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1079 ± 0.03597      |    0.9927 ± 0.08879     |
| Bin21  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.09593 ± 0.03392     |    0.9372 ± 0.08627     |
| Bin22  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.08394 ± 0.03173     |    0.9133 ± 0.08517     |
| Bin23  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.04796 ± 0.02398     |    0.6592 ± 0.07235     |
| Bin24  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |     0.7465 ± 0.077      |
| Bin25  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.08394 ± 0.03173     |    0.5321 ± 0.06501     |
| Bin26  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |    0.3892 ± 0.05559     |
| Bin27  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.08394 ± 0.03173     |    0.5321 ± 0.06501     |
| Bin28  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.1199 ± 0.03792      |    0.3256 ± 0.05085     |
| Bin29  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.3415 ± 0.05208     |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.2383 ± 0.0435     |
| Bin31  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.3238 ± 0.06231      |     1.596 ± 0.1126      |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
