+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin2   |  55.79 ± 39.45  | 0.6757 ± 0.4778  |  56.47 ± 39.45  |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin3   |    0 ± 96.63    |  8.108 ± 1.723   |  8.108 ± 96.65  |     0.09593 ± 0.03392     |     0.4686 ± 0.061      |
| Bin4   |   279 ± 197.3   |  64.87 ± 4.681   |  343.8 ± 197.3  |     0.5516 ± 0.08133      |     3.606 ± 0.1692      |
| Bin5   |   809 ± 241.6   |  118.2 ± 6.338   |  927.2 ± 241.7  |      1.271 ± 0.1235       |     6.385 ± 0.2252      |
| Bin6   |  446.3 ± 201.2  |  121.3 ± 6.419   |  567.6 ± 201.3  |      1.223 ± 0.1211       |     6.528 ± 0.2277      |
| Bin7   |  474.2 ± 155.3  |  111.5 ± 6.137   |  585.7 ± 155.4  |      1.115 ± 0.1156       |     5.202 ± 0.2033      |
| Bin8   |  223.2 ± 136.7  |  98.65 ± 5.793   |  321.8 ± 136.8  |     0.8154 ± 0.09888      |      4.59 ± 0.1909      |
| Bin9   |  83.69 ± 73.8   |  71.96 ± 4.931   |  155.6 ± 73.97  |     0.6235 ± 0.08647      |     3.685 ± 0.1711      |
| Bin10  | -83.69 ± 100.6  |  72.97 ± 4.988   | -10.71 ± 100.7  |     0.4437 ± 0.07294      |     2.359 ± 0.1369      |
| Bin11  |  167.4 ± 88.21  |  50.34 ± 4.124   |  217.7 ± 88.31  |     0.2998 ± 0.05996      |     2.057 ± 0.1278      |
| Bin12  |  111.6 ± 78.9   |  45.61 ± 3.925   |   157.2 ± 79    |     0.2638 ± 0.05624      |     1.461 ± 0.1077      |
| Bin13  |      0 ± 0      |   34.8 ± 3.429   |  34.8 ± 3.429   |     0.2758 ± 0.05751      |     1.088 ± 0.09296     |
| Bin14  |  167.4 ± 68.33  |   27.7 ± 3.059   |  195.1 ± 68.4   |     0.07195 ± 0.02937     |    0.8021 ± 0.07982     |
| Bin15  |  55.79 ± 55.79  |  19.26 ± 2.551   |  75.05 ± 55.85  |     0.1559 ± 0.04323      |    0.6036 ± 0.06924     |
| Bin16  |    0 ± 39.45    |   17.91 ± 2.46   |  17.91 ± 39.53  |     0.07195 ± 0.02937     |     0.4686 ± 0.061      |
| Bin17  |  83.69 ± 62.38  |   12.5 ± 2.055   |  96.19 ± 62.41  |     0.1199 ± 0.03792      |     0.405 ± 0.05672     |
| Bin18  |  -27.9 ± 27.9   |  9.797 ± 1.819   |  -18.1 ± 27.95  |     0.07195 ± 0.02937     |    0.3653 ± 0.05387     |
| Bin19  |   27.9 ± 27.9   |  8.446 ± 1.689   |  36.34 ± 27.95  |     0.04796 ± 0.02398     |     0.278 ± 0.04699     |
| Bin20  |   27.9 ± 27.9   |  5.743 ± 1.393   |  33.64 ± 27.93  |     0.02398 ± 0.01696     |    0.1668 ± 0.03639     |
| Bin21  |      0 ± 0      |  7.433 ± 1.585   |  7.433 ± 1.585  |     0.03597 ± 0.02077     |     0.143 ± 0.03369     |
| Bin22  |      0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068  |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin23  |   27.9 ± 27.9   |   4.054 ± 1.17   |  31.95 ± 27.92  |     0.02398 ± 0.01696     |    0.1271 ± 0.03177     |
| Bin24  |   27.9 ± 27.9   |  2.027 ± 0.8275  |  29.92 ± 27.91  |     0.03597 ± 0.02077     |    0.1112 ± 0.02972     |
| Bin25  | -55.79 ± 39.45  |  3.378 ± 1.068   | -52.41 ± 39.46  |     0.02398 ± 0.01696     |    0.1032 ± 0.02864     |
| Bin26  |   27.9 ± 27.9   |  2.027 ± 0.8275  |  29.92 ± 27.91  |     0.02398 ± 0.01696     |    0.06354 ± 0.02246    |
| Bin27  |      0 ± 0      |  2.365 ± 0.8938  | 2.365 ± 0.8938  |     0.02398 ± 0.01696     |    0.03177 ± 0.01588    |
| Bin28  |      0 ± 0      |  2.703 ± 0.9556  | 2.703 ± 0.9556  |     0.01199 ± 0.01199     |    0.07148 ± 0.02383    |
| Bin29  |      0 ± 0      |  1.351 ± 0.6757  | 1.351 ± 0.6757  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin30  |      0 ± 0      |  1.689 ± 0.7554  | 1.689 ± 0.7554  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |    0 ± 39.45    |  6.081 ± 1.433   |  6.081 ± 39.48  |     0.1079 ± 0.03597      |    0.2621 ± 0.04562     |
+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
