+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |  16.22 ± 2.341   |  16.22 ± 2.341   |      2.446 ± 0.1713       |     6.052 ± 0.2192      |
| Bin2   | -111.6 ± 111.6  |   32.43 ± 3.31   |  -79.15 ± 111.6  |      3.046 ± 0.1911       |     26.67 ± 0.4602      |
| Bin3   |  334.7 ± 147.6  |  57.43 ± 4.405   |  392.2 ± 147.7   |       2.71 ± 0.1803       |     20.79 ± 0.4064      |
| Bin4   |  55.79 ± 197.3  |  66.89 ± 4.754   |  122.7 ± 197.3   |      1.511 ± 0.1346       |      11.8 ± 0.3062      |
| Bin5   |  557.9 ± 167.4  |   79.73 ± 5.19   |  637.6 ± 167.5   |      0.9353 ± 0.1059      |     6.878 ± 0.2337      |
| Bin6   |   1395 ± 240    |  95.95 ± 5.693   |    1491 ± 240    |     0.5996 ± 0.08479      |      3.812 ± 0.174      |
| Bin7   |  167.4 ± 219.6  |  117.6 ± 6.302   |  284.9 ± 219.7   |     0.4557 ± 0.07392      |     2.224 ± 0.1329      |
| Bin8   |   502.1 ± 205   |  116.9 ± 6.284   |   619 ± 205.1    |     0.4557 ± 0.07392      |     1.366 ± 0.1042      |
| Bin9   |  557.9 ± 157.8  |  108.1 ± 6.044   |   666 ± 157.9    |     0.2638 ± 0.05624      |     1.017 ± 0.08985     |
| Bin10  |  725.3 ± 189.2  |  104.7 ± 5.948   |   830 ± 189.3    |     0.1439 ± 0.04154      |     0.6989 ± 0.0745     |
| Bin11  | -446.3 ± 176.4  |  101.4 ± 5.852   |   -345 ± 176.5   |     0.1439 ± 0.04154      |    0.3971 ± 0.05616     |
| Bin12  |  334.7 ± 147.6  |  108.1 ± 6.044   |  442.9 ± 147.7   |     0.2158 ± 0.05087      |     0.27 ± 0.04631      |
| Bin13  |   279 ± 180.8   |   125 ± 6.499    |   404 ± 180.9    |     0.4077 ± 0.06992      |    0.1747 ± 0.03725     |
| Bin14  |  390.5 ± 130.8  |  91.89 ± 5.653   |   482.4 ± 131    |     0.07195 ± 0.02937     |     0.27 ± 0.04631      |
| Bin15  |  111.6 ± 124.8  |  110.8 ± 6.119   |  222.4 ± 124.9   |     0.2398 ± 0.05363      |    0.1271 ± 0.03177     |
| Bin16  |  334.7 ± 111.6  |  110.8 ± 6.119   |  445.6 ± 111.7   |     0.2878 ± 0.05874      |    0.1588 ± 0.03552     |
| Bin17  |  223.2 ± 96.63  |  105.4 ± 5.967   |  328.6 ± 96.82   |     0.3118 ± 0.06114      |    0.07942 ± 0.02511    |
| Bin18  |  390.5 ± 118.4  |   97.3 ± 5.773   |  487.8 ± 118.5   |     0.2878 ± 0.05874      |    0.1112 ± 0.02972     |
| Bin19  |  55.79 ± 130.8  |  83.78 ± 5.363   |   139.6 ± 131    |     0.2638 ± 0.05624      |    0.1271 ± 0.03177     |
| Bin20  |    0 ± 55.79    |  56.76 ± 4.379   |  56.76 ± 55.96   |     0.2638 ± 0.05624      |    0.06354 ± 0.02246    |
| Bin21  |      0 ± 0      |  31.76 ± 3.275   |  31.76 ± 3.275   |     0.2398 ± 0.05363      |    0.04765 ± 0.01945    |
| Bin22  |      0 ± 0      |  19.59 ± 2.573   |  19.59 ± 2.573   |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin23  |      0 ± 0      |  13.51 ± 2.137   |  13.51 ± 2.137   |     0.1679 ± 0.04487      |    0.01588 ± 0.01123    |
| Bin24  |      0 ± 0      |  8.784 ± 1.723   |  8.784 ± 1.723   |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin25  |      0 ± 0      |  5.405 ± 1.511   |  5.405 ± 1.511   |     0.02398 ± 0.01696     |    0.03177 ± 0.01588    |
| Bin26  |      0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.07195 ± 0.02937     |          0 ± 0          |
| Bin27  |      0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin28  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin29  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |          0 ± 0          |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
