+--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |  -27.9 ± 27.9  |      0 ± 0      |  -27.9 ± 27.9   |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin2   | 111.6 ± 55.79  | 1.014 ± 0.5852  |  112.6 ± 55.79  |     0.07195 ± 0.02937     |     0.6989 ± 0.0745     |
| Bin3   |   0 ± 55.79    |  3.378 ± 1.068  |  3.378 ± 55.8   |     0.1799 ± 0.04644      |     1.485 ± 0.1086      |
| Bin4   | 83.69 ± 62.38  |  6.081 ± 1.433  |  89.77 ± 62.39  |     0.2998 ± 0.05996      |     2.287 ± 0.1348      |
| Bin5   |   0 ± 68.33    |  7.095 ± 1.548  |  7.095 ± 68.35  |     0.5996 ± 0.08479      |     3.209 ± 0.1596      |
| Bin6   |   0 ± 88.21    |  9.797 ± 1.819  |  9.797 ± 88.23  |     0.6835 ± 0.09053      |     3.034 ± 0.1552      |
| Bin7   |  27.9 ± 92.52  |  20.27 ± 2.617  |  48.17 ± 92.56  |     0.5636 ± 0.08221      |      3.105 ± 0.157      |
| Bin8   | 251.1 ± 92.52  |  25.68 ± 2.984  |  276.7 ± 92.57  |     0.3837 ± 0.06783      |     2.629 ± 0.1445      |
| Bin9   |  27.9 ± 92.52  |  30.41 ± 3.205  |  58.3 ± 92.57   |     0.2878 ± 0.05874      |     1.644 ± 0.1143      |
| Bin10  | 139.5 ± 100.6  |  43.92 ± 3.852  |  183.4 ± 100.7  |     0.4077 ± 0.06992      |     1.064 ± 0.09193     |
| Bin11  |  195.3 ± 115   |  56.08 ± 4.353  |  251.4 ± 115.1  |     0.1559 ± 0.04323      |    0.8021 ± 0.07982     |
| Bin12  |  139.5 ± 115   |  59.12 ± 4.495  |  198.6 ± 115.1  |     0.1079 ± 0.03597      |    0.5718 ± 0.06739     |
| Bin13  |  279 ± 124.8   |  65.54 ± 4.706  |  344.5 ± 124.8  |     0.1199 ± 0.03792      |    0.3812 ± 0.05502     |
| Bin14  | 195.3 ± 139.5  |  69.26 ± 4.837  |  264.5 ± 139.6  |     0.1079 ± 0.03597      |    0.2144 ± 0.04127     |
| Bin15  |  279 ± 124.8   |  68.58 ± 4.837  |  347.5 ± 124.8  |     0.07195 ± 0.02937     |    0.2303 ± 0.04277     |
| Bin16  | 111.6 ± 111.6  |  61.83 ± 4.57   |  173.4 ± 111.7  |     0.09593 ± 0.03392     |    0.2144 ± 0.04127     |
| Bin17  |  83.69 ± 108   |  67.23 ± 4.766  |  150.9 ± 108.1  |     0.08394 ± 0.03173     |    0.3018 ± 0.04896     |
| Bin18  |  139.5 ± 108   |  64.19 ± 4.681  |  203.7 ± 108.1  |     0.1319 ± 0.03977      |    0.3177 ± 0.05023     |
| Bin19  | 55.79 ± 104.4  |  59.8 ± 4.495   |  115.6 ± 104.5  |     0.2278 ± 0.05227      |    0.4845 ± 0.06203     |
| Bin20  |  139.5 ± 108   |  57.77 ± 4.418  |  197.2 ± 108.1  |     0.1799 ± 0.04644      |    0.7545 ± 0.07741     |
| Bin21  | 223.2 ± 104.4  |  43.24 ± 3.822  |  266.4 ± 104.4  |     0.2398 ± 0.05363      |     1.271 ± 0.1005      |
| Bin22  |  55.79 ± 78.9  |  31.76 ± 3.275  |  87.55 ± 78.97  |     0.4437 ± 0.07294      |     1.708 ± 0.1165      |
| Bin23  | 139.5 ± 92.52  |  30.07 ± 3.187  |  169.5 ± 92.57  |     0.3957 ± 0.06888      |     2.287 ± 0.1348      |
| Bin24  |  27.9 ± 83.69  |  21.62 ± 2.703  |  49.52 ± 83.73  |     0.4197 ± 0.07094      |      2.684 ± 0.146      |
| Bin25  |  27.9 ± 62.38  |  13.18 ± 2.11   |  41.07 ± 62.41  |     0.4677 ± 0.07488      |      2.78 ± 0.1486      |
| Bin26  |  111.6 ± 78.9  |  7.433 ± 1.655  |   119 ± 78.92   |     0.4557 ± 0.07392      |     2.875 ± 0.1511      |
| Bin27  | 83.69 ± 48.32  |  6.757 ± 1.511  |  90.44 ± 48.34  |     0.3957 ± 0.06888      |     2.192 ± 0.1319      |
| Bin28  |  27.9 ± 48.32  |  3.041 ± 1.014  |  30.94 ± 48.33  |     0.1679 ± 0.04487      |     1.406 ± 0.1057      |
| Bin29  |     0 ± 0      | 2.703 ± 0.9556  | 2.703 ± 0.9556  |     0.1199 ± 0.03792      |    0.8021 ± 0.07982     |
| Bin30  |     0 ± 0      |      0 ± 0      |      0 ± 0      |     0.01199 ± 0.01199     |    0.0953 ± 0.02751     |
| Bin31  |     0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+-----------------+-----------------+---------------------------+-------------------------+
