+--------+----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |  4686 ± 639.8  |  1126 ± 19.54  |  5812 ± 640.1   |      10.17 ± 0.3492       |      39.34 ± 0.559      |
| Bin2   | 418.4 ± 150.2  | 74.33 ± 5.011  |  492.8 ± 150.3  |      1.067 ± 0.1131       |     4.821 ± 0.1957      |
| Bin3   |  111.6 ± 78.9  | 43.24 ± 3.852  |  154.8 ± 78.99  |     0.5636 ± 0.08221      |     2.629 ± 0.1445      |
| Bin4   |  83.69 ± 73.8  | 38.85 ± 3.623  |  122.5 ± 73.89  |     0.3597 ± 0.06568      |     1.628 ± 0.1137      |
| Bin5   |  55.79 ± 78.9  | 27.03 ± 3.022  |  82.82 ± 78.96  |     0.2878 ± 0.05874      |      1.43 ± 0.1066      |
| Bin6   |     0 ± 0      |   25 ± 2.906   |   25 ± 2.906    |     0.2518 ± 0.05495      |     1.128 ± 0.09464     |
| Bin7   |  27.9 ± 62.38  | 20.27 ± 2.617  |  48.17 ± 62.43  |     0.2758 ± 0.05751      |    0.8816 ± 0.08367     |
| Bin8   |   0 ± 55.79    | 22.64 ± 2.765  |  22.64 ± 55.86  |     0.1799 ± 0.04644      |    0.7227 ± 0.07576     |
| Bin9   | 83.69 ± 48.32  |  17.91 ± 2.46  |  101.6 ± 48.38  |     0.2038 ± 0.04944      |     0.7465 ± 0.077      |
| Bin10  |   0 ± 39.45    | 18.58 ± 2.506  |  18.58 ± 39.53  |     0.1319 ± 0.03977      |    0.6671 ± 0.07279     |
| Bin11  |  27.9 ± 27.9   | 23.65 ± 2.827  |  51.54 ± 28.04  |     0.1919 ± 0.04796      |    0.7227 ± 0.07576     |
| Bin12  | 83.69 ± 48.32  | 18.24 ± 2.483  |  101.9 ± 48.38  |     0.1199 ± 0.03792      |    0.5162 ± 0.06403     |
| Bin13  |   0 ± 39.45    | 21.28 ± 2.682  |  21.28 ± 39.54  |     0.09593 ± 0.03392     |    0.5242 ± 0.06452     |
| Bin14  | 83.69 ± 48.32  | 21.96 ± 2.765  |  105.6 ± 48.4   |     0.1319 ± 0.03977      |    0.5162 ± 0.06403     |
| Bin15  | 55.79 ± 55.79  | 19.26 ± 2.551  |  75.05 ± 55.85  |     0.09593 ± 0.03392     |    0.4527 ± 0.05996     |
| Bin16  |   0 ± 39.45    | 22.64 ± 2.806  |  22.64 ± 39.55  |     0.03597 ± 0.02077     |     0.405 ± 0.05672     |
| Bin17  |  27.9 ± 48.32  | 21.62 ± 2.703  |  49.52 ± 48.39  |     0.09593 ± 0.03392     |     0.4686 ± 0.061      |
| Bin18  | -27.9 ± 48.32  | 24.32 ± 2.867  |  -3.571 ± 48.4  |     0.1559 ± 0.04323      |    0.5559 ± 0.06645     |
| Bin19  |     0 ± 0      | 21.28 ± 2.724  |  21.28 ± 2.724  |     0.05996 ± 0.02681     |    0.4924 ± 0.06254     |
| Bin20  |     0 ± 0      | 18.92 ± 2.528  |  18.92 ± 2.528  |     0.09593 ± 0.03392     |     0.3097 ± 0.0496     |
| Bin21  |  27.9 ± 27.9   | 21.96 ± 2.724  |  49.86 ± 28.03  |     0.1439 ± 0.04154      |     0.548 ± 0.06597     |
| Bin22  |     0 ± 0      | 26.01 ± 2.965  |  26.01 ± 2.965  |     0.07195 ± 0.02937     |    0.5321 ± 0.06501     |
| Bin23  |     0 ± 0      | 23.65 ± 2.827  |  23.65 ± 2.827  |     0.1079 ± 0.03597      |     0.548 ± 0.06597     |
| Bin24  |  -27.9 ± 27.9  | 21.62 ± 2.703  | -6.274 ± 28.03  |     0.05996 ± 0.02681     |    0.6354 ± 0.07104     |
| Bin25  |     0 ± 0      | 25.68 ± 2.945  |  25.68 ± 2.945  |     0.04796 ± 0.02398     |    0.5242 ± 0.06452     |
| Bin26  |   0 ± 39.45    | 26.69 ± 3.003  |  26.69 ± 39.56  |     0.02398 ± 0.01696     |    0.6274 ± 0.07059     |
| Bin27  |  27.9 ± 27.9   | 22.97 ± 2.786  |  50.87 ± 28.03  |     0.05996 ± 0.02681     |    0.7307 ± 0.07618     |
| Bin28  |   0 ± 39.45    | 27.37 ± 3.041  |  27.37 ± 39.57  |     0.08394 ± 0.03173     |     1.017 ± 0.08985     |
| Bin29  |  27.9 ± 27.9   | 28.72 ± 3.115  |  56.61 ± 28.07  |     0.09593 ± 0.03392     |     1.811 ± 0.1199      |
| Bin30  | 83.69 ± 48.32  |  44.6 ± 3.882  |  128.3 ± 48.47  |     0.7554 ± 0.09518      |     18.02 ± 0.3783      |
| Bin31  |     0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+-----------------+---------------------------+-------------------------+
