+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |  1841 ± 413.8   | 293.2 ± 9.976  |  2134 ± 413.9   |      3.094 ± 0.1926       |     7.688 ± 0.2471      |
| Bin2   |  418.4 ± 139.5  | 45.27 ± 3.911  |  463.7 ± 139.5  |     0.7195 ± 0.09288      |     1.898 ± 0.1228      |
| Bin3   |  111.6 ± 78.9   | 24.32 ± 2.906  |  135.9 ± 78.95  |     0.3957 ± 0.06888      |      1.31 ± 0.102       |
| Bin4   |  55.79 ± 68.33  | 27.03 ± 3.022  |  82.82 ± 68.4   |     0.2518 ± 0.05495      |     0.691 ± 0.07408     |
| Bin5   |  55.79 ± 78.9   | 20.61 ± 2.639  |  76.4 ± 78.94   |     0.1799 ± 0.04644      |    0.7386 ± 0.07659     |
| Bin6   |      0 ± 0      | 18.92 ± 2.528  |  18.92 ± 2.528  |     0.1919 ± 0.04796      |    0.6036 ± 0.06924     |
| Bin7   |  27.9 ± 62.38   | 15.88 ± 2.316  |  43.77 ± 62.42  |     0.2398 ± 0.05363      |    0.4289 ± 0.05836     |
| Bin8   | -55.79 ± 39.45  | 18.24 ± 2.483  | -37.55 ± 39.53  |     0.1679 ± 0.04487      |    0.3892 ± 0.05559     |
| Bin9   |  83.69 ± 48.32  | 14.87 ± 2.241  |  98.55 ± 48.37  |     0.1799 ± 0.04644      |    0.4606 ± 0.06048     |
| Bin10  |    0 ± 39.45    | 16.22 ± 2.341  |  16.22 ± 39.52  |     0.1199 ± 0.03792      |    0.4209 ± 0.05782     |
| Bin11  |   27.9 ± 27.9   |  17.91 ± 2.46  |    45.8 ± 28    |     0.1439 ± 0.04154      |    0.3574 ± 0.05328     |
| Bin12  |  83.69 ± 48.32  | 14.19 ± 2.189  |  97.88 ± 48.37  |     0.1079 ± 0.03597      |    0.3336 ± 0.05147     |
| Bin13  |    0 ± 39.45    | 17.23 ± 2.413  |  17.23 ± 39.52  |     0.05996 ± 0.02681     |    0.3494 ± 0.05268     |
| Bin14  |  83.69 ± 48.32  | 18.92 ± 2.528  |  102.6 ± 48.38  |     0.1319 ± 0.03977      |    0.2939 ± 0.04831     |
| Bin15  |  55.79 ± 55.79  | 17.23 ± 2.413  |  73.02 ± 55.84  |     0.07195 ± 0.02937     |    0.3336 ± 0.05147     |
| Bin16  |    0 ± 39.45    | 18.92 ± 2.573  |  18.92 ± 39.53  |     0.03597 ± 0.02077     |     0.278 ± 0.04699     |
| Bin17  |  27.9 ± 48.32   | 18.92 ± 2.528  |  46.81 ± 48.38  |     0.08394 ± 0.03173     |     0.27 ± 0.04631      |
| Bin18  |  -27.9 ± 48.32  | 21.96 ± 2.724  | -5.936 ± 48.39  |     0.1559 ± 0.04323      |    0.3971 ± 0.05616     |
| Bin19  |      0 ± 0      | 19.26 ± 2.595  |  19.26 ± 2.595  |     0.04796 ± 0.02398     |    0.3415 ± 0.05208     |
| Bin20  |      0 ± 0      | 17.57 ± 2.436  |  17.57 ± 2.436  |     0.08394 ± 0.03173     |    0.2224 ± 0.04202     |
| Bin21  |   27.9 ± 27.9   | 20.61 ± 2.639  |  48.5 ± 28.02   |     0.1439 ± 0.04154      |    0.3733 ± 0.05445     |
| Bin22  |      0 ± 0      | 25.34 ± 2.926  |  25.34 ± 2.926  |     0.07195 ± 0.02937     |    0.4289 ± 0.05836     |
| Bin23  |      0 ± 0      | 21.62 ± 2.703  |  21.62 ± 2.703  |     0.1079 ± 0.03597      |    0.3971 ± 0.05616     |
| Bin24  |  -27.9 ± 27.9   |  20.95 ± 2.66  | -6.949 ± 28.02  |     0.05996 ± 0.02681     |     0.548 ± 0.06597     |
| Bin25  |      0 ± 0      | 24.32 ± 2.867  |  24.32 ± 2.867  |     0.03597 ± 0.02077     |     0.413 ± 0.05727     |
| Bin26  |    0 ± 39.45    | 24.66 ± 2.887  |  24.66 ± 39.56  |     0.02398 ± 0.01696     |    0.5003 ± 0.06304     |
| Bin27  |   27.9 ± 27.9   | 22.97 ± 2.786  |  50.87 ± 28.03  |     0.05996 ± 0.02681     |    0.6512 ± 0.07192     |
| Bin28  |    0 ± 39.45    | 26.69 ± 3.003  |  26.69 ± 39.56  |     0.08394 ± 0.03173     |    0.9292 ± 0.08591     |
| Bin29  |   27.9 ± 27.9   | 28.72 ± 3.115  |  56.61 ± 28.07  |     0.08394 ± 0.03173     |     1.644 ± 0.1143      |
| Bin30  |  83.69 ± 48.32  | 44.26 ± 3.867  |  127.9 ± 48.47  |     0.7554 ± 0.09518      |     17.92 ± 0.3772      |
| Bin31  |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
