+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin5   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin6   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin7   |  195.3 ± 160.2  |  73.31 ± 4.977  |  268.6 ± 160.3  |     0.07195 ± 0.02937     |    0.7148 ± 0.07534     |
| Bin8   |  557.9 ± 162.7  |  81.76 ± 5.256  |  639.7 ± 162.7  |     0.1919 ± 0.04796      |     0.683 ± 0.07365     |
| Bin9   |  362.6 ± 169.7  |  90.54 ± 5.531  |  453.2 ± 169.8  |     0.3238 ± 0.06231      |     0.8736 ± 0.0833     |
| Bin10  |   279 ± 152.8   |  100.7 ± 5.852  |  379.6 ± 152.9  |     0.3597 ± 0.06568      |     1.112 ± 0.09397     |
| Bin11  |  251.1 ± 127.8  |  88.18 ± 5.458  |  339.2 ± 127.9  |     0.5876 ± 0.08394      |     2.001 ± 0.1261      |
| Bin12  |   530 ± 174.2   |  83.45 ± 5.31   |  613.5 ± 174.3  |      1.679 ± 0.1419       |     3.296 ± 0.1618      |
| Bin13  |  223.2 ± 147.6  |  77.37 ± 5.112  |  300.5 ± 147.7  |      1.847 ± 0.1488       |      4.17 ± 0.182       |
| Bin14  |   27.9 ± 108    |  65.54 ± 4.706  |  93.44 ± 108.1  |      1.235 ± 0.1217       |     3.645 ± 0.1702      |
| Bin15  |  223.2 ± 104.4  |   59.8 ± 4.52   |   283 ± 104.5   |     0.3837 ± 0.06783      |     2.804 ± 0.1492      |
| Bin16  |  83.69 ± 100.6  |  40.54 ± 3.701  |  124.2 ± 100.6  |     0.2158 ± 0.05087      |     3.089 ± 0.1566      |
| Bin17  |  55.79 ± 78.9   |  36.82 ± 3.527  |  92.62 ± 78.98  |     0.1319 ± 0.03977      |     3.645 ± 0.1702      |
| Bin18  | -83.69 ± 83.69  |  22.97 ± 2.827  | -60.71 ± 83.73  |     0.2038 ± 0.04944      |     4.106 ± 0.1806      |
| Bin19  |    0 ± 55.79    |  22.3 ± 2.745   |  22.3 ± 55.86   |     0.1919 ± 0.04796      |     4.328 ± 0.1854      |
| Bin20  |  139.5 ± 62.38  |  17.57 ± 2.436  |   157 ± 62.42   |     0.1559 ± 0.04323      |      3.55 ± 0.1679      |
| Bin21  |  -27.9 ± 62.38  |  16.89 ± 2.389  |   -11 ± 62.42   |     0.08394 ± 0.03173     |      1.843 ± 0.121      |
| Bin22  |   27.9 ± 27.9   |  13.51 ± 2.189  |  41.41 ± 27.98  |     0.04796 ± 0.02398     |    0.8498 ± 0.08215     |
| Bin23  |    0 ± 55.79    |  8.446 ± 1.689  |  8.446 ± 55.82  |     0.01199 ± 0.01199     |     0.278 ± 0.04699     |
| Bin24  |      0 ± 0      |   7.77 ± 1.62   |   7.77 ± 1.62   |     0.02398 ± 0.01696     |    0.1509 ± 0.03462     |
| Bin25  |  -27.9 ± 48.32  |  6.419 ± 1.473  | -21.48 ± 48.34  |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin26  |  -27.9 ± 27.9   |  4.054 ± 1.17   | -23.84 ± 27.92  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin27  |  83.69 ± 48.32  |  3.378 ± 1.068  |  87.07 ± 48.33  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin28  |   27.9 ± 27.9   |  2.703 ± 1.068  |  30.6 ± 27.92   |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin29  |   27.9 ± 27.9   |  3.041 ± 1.014  |  30.94 ± 27.91  |     0.02398 ± 0.01696     |   0.007942 ± 0.007942   |
| Bin30  |      0 ± 0      | 1.014 ± 0.5852  | 1.014 ± 0.5852  |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin31  |    0 ± 39.45    |  8.784 ± 1.723  |  8.784 ± 39.49  |     0.07195 ± 0.02937     |    0.2303 ± 0.04277     |
+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
