+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |  55.79 ± 68.33  |  55.41 ± 4.326   |  111.2 ± 68.47   |     0.03597 ± 0.02077     |    0.01588 ± 0.01123    |
| Bin3   |   613.7 ± 240   |  282.1 ± 9.762   |  895.8 ± 240.2   |     0.2638 ± 0.05624      |    0.5401 ± 0.06549     |
| Bin4   |  585.8 ± 217.9  |  217.6 ± 8.587   |   803.4 ± 218    |     0.8274 ± 0.09961      |      1.7 ± 0.1162       |
| Bin5   |   809 ± 221.4   |   141.9 ± 6.94   |  950.9 ± 221.5   |      1.079 ± 0.1138       |     2.772 ± 0.1484      |
| Bin6   |   279 ± 162.7   |  86.49 ± 5.427   |  365.4 ± 162.7   |      1.151 ± 0.1175       |     3.796 ± 0.1736      |
| Bin7   |  195.3 ± 127.8  |  58.11 ± 4.456   |  253.4 ± 127.9   |      0.9233 ± 0.1052      |     3.733 ± 0.1722      |
| Bin8   |  167.4 ± 118.4  |  33.78 ± 3.412   |  201.2 ± 118.4   |     0.5996 ± 0.08479      |     3.717 ± 0.1718      |
| Bin9   |  27.9 ± 92.52   |   20.95 ± 2.66   |  48.84 ± 92.56   |     0.4677 ± 0.07488      |     3.629 ± 0.1698      |
| Bin10  |  55.79 ± 39.45  |  13.85 ± 2.163   |  69.64 ± 39.51   |     0.4796 ± 0.07584      |     3.375 ± 0.1637      |
| Bin11  |  55.79 ± 55.79  |   7.77 ± 1.62    |  63.56 ± 55.81   |     0.5036 ± 0.07771      |     3.129 ± 0.1576      |
| Bin12  |  83.69 ± 62.38  |  6.757 ± 1.511   |  90.44 ± 62.39   |     0.3238 ± 0.06231      |      2.43 ± 0.1389      |
| Bin13  |  -27.9 ± 27.9   |  5.068 ± 1.308   |  -22.83 ± 27.93  |     0.2998 ± 0.05996      |     2.303 ± 0.1352      |
| Bin14  |  55.79 ± 39.45  |  2.703 ± 0.9556  |  58.49 ± 39.46   |     0.1679 ± 0.04487      |      1.843 ± 0.121      |
| Bin15  |   27.9 ± 27.9   |  1.351 ± 0.6757  |   29.25 ± 27.9   |     0.1559 ± 0.04323      |      1.525 ± 0.11       |
| Bin16  | -55.79 ± 55.79  | 0.6757 ± 0.4778  |  -55.12 ± 55.79  |     0.1319 ± 0.03977      |     1.271 ± 0.1005      |
| Bin17  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1199 ± 0.03792      |      1.04 ± 0.0909      |
| Bin18  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.08394 ± 0.03173     |     0.961 ± 0.08736     |
| Bin19  |   27.9 ± 27.9   | 0.6757 ± 0.4778  |   28.57 ± 27.9   |     0.08394 ± 0.03173     |    0.7942 ± 0.07942     |
| Bin20  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |    0.6115 ± 0.06969     |
| Bin21  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |    0.4606 ± 0.06048     |
| Bin22  |   27.9 ± 27.9   |      0 ± 0       |   27.9 ± 27.9    |           0 ± 0           |    0.3494 ± 0.05268     |
| Bin23  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.3494 ± 0.05268     |
| Bin24  |  -27.9 ± 27.9   |      0 ± 0       |   -27.9 ± 27.9   |     0.02398 ± 0.01696     |    0.2859 ± 0.04765     |
| Bin25  |  -27.9 ± 27.9   |      0 ± 0       |   -27.9 ± 27.9   |     0.01199 ± 0.01199     |     0.2383 ± 0.0435     |
| Bin26  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1668 ± 0.03639     |
| Bin27  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1747 ± 0.03725     |
| Bin28  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin29  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin31  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.1906 ± 0.03891     |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
