+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin4   |  1032 ± 285.8   |  373.3 ± 11.25   |   1405 ± 286.1   |     0.6115 ± 0.08563      |     2.089 ± 0.1288      |
| Bin5   |  697.4 ± 247.9  |   247.3 ± 9.14   |  944.7 ± 248.1   |     0.8154 ± 0.09888      |      3.51 ± 0.167       |
| Bin6   |  418.4 ± 182.9  |  133.4 ± 6.731   |   551.9 ± 183    |     0.7794 ± 0.09668      |     4.162 ± 0.1818      |
| Bin7   |  334.7 ± 157.8  |  70.27 ± 4.896   |   405 ± 157.9    |      0.8873 ± 0.1032      |     4.686 ± 0.1929      |
| Bin8   |  251.1 ± 133.8  |  40.88 ± 3.716   |  291.9 ± 133.8   |     0.6595 ± 0.08893      |     3.685 ± 0.1711      |
| Bin9   |    0 ± 68.33    |  19.93 ± 2.595   |  19.93 ± 68.38   |     0.6235 ± 0.08647      |     3.629 ± 0.1698      |
| Bin10  |  167.4 ± 88.21  |  16.22 ± 2.389   |  183.6 ± 88.25   |     0.4677 ± 0.07488      |      3.28 ± 0.1614      |
| Bin11  | -55.79 ± 39.45  |  14.19 ± 2.189   |  -41.6 ± 39.51   |     0.5276 ± 0.07954      |     2.891 ± 0.1515      |
| Bin12  |  -27.9 ± 48.32  |  6.757 ± 1.511   |  -21.14 ± 48.34  |     0.3717 ± 0.06676      |     2.391 ± 0.1378      |
| Bin13  |  55.79 ± 39.45  |   4.054 ± 1.17   |  59.85 ± 39.47   |     0.4557 ± 0.07392      |     1.978 ± 0.1253      |
| Bin14  |   27.9 ± 27.9   |   4.054 ± 1.17   |  31.95 ± 27.92   |     0.2638 ± 0.05624      |      1.636 ± 0.114      |
| Bin15  |  -27.9 ± 27.9   |  1.351 ± 0.6757  |  -26.54 ± 27.9   |     0.2758 ± 0.05751      |     1.326 ± 0.1026      |
| Bin16  |   27.9 ± 27.9   |  1.689 ± 0.7554  |  29.58 ± 27.91   |     0.2398 ± 0.05363      |     1.183 ± 0.09694     |
| Bin17  |      0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.1559 ± 0.04323      |    0.8577 ± 0.08254     |
| Bin18  |  55.79 ± 39.45  | 0.3378 ± 0.3378  |  56.13 ± 39.45   |     0.1199 ± 0.03792      |    0.7704 ± 0.07822     |
| Bin19  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.08394 ± 0.03173     |     0.691 ± 0.07408     |
| Bin20  |  -27.9 ± 27.9   | 0.6757 ± 0.4778  |  -27.22 ± 27.9   |     0.07195 ± 0.02937     |    0.6512 ± 0.07192     |
| Bin21  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.3574 ± 0.05328     |
| Bin22  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.08394 ± 0.03173     |    0.3336 ± 0.05147     |
| Bin23  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.07195 ± 0.02937     |     0.2383 ± 0.0435     |
| Bin24  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |    0.3177 ± 0.05023     |
| Bin25  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.1668 ± 0.03639     |
| Bin26  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.2224 ± 0.04202     |
| Bin27  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |    0.1191 ± 0.03076     |
| Bin28  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.04796 ± 0.02398     |    0.07942 ± 0.02511    |
| Bin29  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.1191 ± 0.03076     |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin31  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.1827 ± 0.03809     |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
