+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |  669.5 ± 284.5  |  343.2 ± 10.77   |   1013 ± 284.7   |      0.9353 ± 0.1059      |     1.271 ± 0.1005      |
| Bin4   |  1562 ± 315.6   |  401.4 ± 11.68   |   1964 ± 315.8   |      1.199 ± 0.1199       |     2.065 ± 0.1281      |
| Bin5   |   1004 ± 230    |  297.3 ± 10.02   |   1302 ± 230.3   |      1.583 ± 0.1378       |      1.906 ± 0.123      |
| Bin6   |  613.7 ± 233.4  |  232.4 ± 8.862   |  846.1 ± 233.6   |      1.199 ± 0.1199       |     2.367 ± 0.1371      |
| Bin7   |  781.1 ± 201.2  |   173 ± 7.644    |  954.1 ± 201.3   |      1.151 ± 0.1175       |     2.764 ± 0.1482      |
| Bin8   |    0 ± 167.4    |  112.8 ± 6.174   |  112.8 ± 167.5   |      0.8394 ± 0.1003      |     2.716 ± 0.1469      |
| Bin9   |   279 ± 130.8   |  83.11 ± 5.342   |   362.1 ± 131    |     0.8154 ± 0.09888      |     2.494 ± 0.1407      |
| Bin10  |  390.5 ± 142.2  |  49.32 ± 4.082   |  439.9 ± 142.3   |     0.6235 ± 0.08647      |     2.891 ± 0.1515      |
| Bin11  |  55.79 ± 118.4  |  37.84 ± 3.639   |  93.63 ± 118.4   |     0.5276 ± 0.07954      |     2.621 ± 0.1443      |
| Bin12  |  167.4 ± 88.21  |  33.11 ± 3.344   |  200.5 ± 88.28   |     0.6715 ± 0.08973      |     3.193 ± 0.1592      |
| Bin13  |  111.6 ± 111.6  |    25 ± 2.906    |  136.6 ± 111.6   |     0.6475 ± 0.08812      |     3.177 ± 0.1588      |
| Bin14  |   279 ± 130.8   |   11.49 ± 1.97   |  290.4 ± 130.9   |     0.5996 ± 0.08479      |      2.573 ± 0.143      |
| Bin15  |  111.6 ± 78.9   |  14.19 ± 2.291   |  125.8 ± 78.93   |     0.4796 ± 0.07584      |      3.145 ± 0.158      |
| Bin16  |  111.6 ± 55.79  |  8.784 ± 1.723   |  120.4 ± 55.82   |     0.4557 ± 0.07392      |     2.494 ± 0.1407      |
| Bin17  |    0 ± 55.79    |  7.433 ± 1.585   |  7.433 ± 55.81   |     0.3597 ± 0.06568      |     2.367 ± 0.1371      |
| Bin18  |      0 ± 0      |   11.49 ± 1.97   |   11.49 ± 1.97   |     0.2638 ± 0.05624      |      2.128 ± 0.13       |
| Bin19  | -55.79 ± 68.33  |  6.081 ± 1.433   |  -49.71 ± 68.34  |     0.3597 ± 0.06568      |     2.589 ± 0.1434      |
| Bin20  | -55.79 ± 39.45  |  5.405 ± 1.351   |  -50.39 ± 39.47  |     0.3597 ± 0.06568      |      2.16 ± 0.131       |
| Bin21  |  55.79 ± 68.33  |  5.405 ± 1.351   |   61.2 ± 68.34   |     0.1679 ± 0.04487      |     2.065 ± 0.1281      |
| Bin22  | -55.79 ± 39.45  |  1.351 ± 0.6757  |  -54.44 ± 39.46  |     0.3118 ± 0.06114      |      2.573 ± 0.143      |
| Bin23  |      0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.2398 ± 0.05363      |     2.033 ± 0.1271      |
| Bin24  |      0 ± 0      |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.1919 ± 0.04796      |     1.954 ± 0.1246      |
| Bin25  |      0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.1679 ± 0.04487      |     1.747 ± 0.1178      |
| Bin26  | -55.79 ± 39.45  |  1.351 ± 0.6757  |  -54.44 ± 39.46  |     0.07195 ± 0.02937     |      1.906 ± 0.123      |
| Bin27  | -111.6 ± 55.79  |      0 ± 0       |  -111.6 ± 55.79  |     0.04796 ± 0.02398     |     1.763 ± 0.1183      |
| Bin28  |    0 ± 55.79    |      0 ± 0       |    0 ± 55.79     |     0.1679 ± 0.04487      |     1.541 ± 0.1106      |
| Bin29  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1439 ± 0.04154      |     1.509 ± 0.1095      |
| Bin30  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.2158 ± 0.05087      |     1.668 ± 0.1151      |
| Bin31  |    0 ± 78.9     |  1.351 ± 0.6757  |   1.351 ± 78.9   |      0.9833 ± 0.1086      |     19.54 ± 0.3939      |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
