+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |  1060 ± 388.5   |  573.7 ± 13.92  |  1634 ± 388.8   |      2.734 ± 0.1811       |      6.433 ± 0.226      |
| Bin3   |  2678 ± 402.3   |  693.9 ± 15.37  |  3372 ± 402.6   |      3.693 ± 0.2104       |     11.29 ± 0.2995      |
| Bin4   |  892.7 ± 273.3  |  308.1 ± 10.22  |  1201 ± 273.5   |      2.158 ± 0.1609       |     9.149 ± 0.2696      |
| Bin5   |  502.1 ± 189.2  |  151.4 ± 7.151  |  653.5 ± 189.3  |      1.655 ± 0.1409       |     7.465 ± 0.2435      |
| Bin6   |  167.4 ± 142.2  |  79.73 ± 5.19   |  247.1 ± 142.3  |      1.319 ± 0.1258       |     7.227 ± 0.2396      |
| Bin7   |  111.6 ± 78.9   |  28.38 ± 3.096  |   140 ± 78.96   |      0.9113 ± 0.1045      |     5.575 ± 0.2104      |
| Bin8   |  55.79 ± 104.4  |  12.16 ± 2.027  |  67.95 ± 104.4  |     0.5996 ± 0.08479      |     4.749 ± 0.1942      |
| Bin9   |  167.4 ± 68.33  |  9.46 ± 1.788   |  176.8 ± 68.35  |     0.5756 ± 0.08308      |     4.559 ± 0.1903      |
| Bin10  |   279 ± 88.21   |  4.73 ± 1.264   |  283.7 ± 88.22  |     0.2638 ± 0.05624      |     3.987 ± 0.1779      |
| Bin11  | -55.79 ± 39.45  | 2.027 ± 0.8275  | -53.76 ± 39.46  |     0.3837 ± 0.06783      |     2.811 ± 0.1494      |
| Bin12  | -55.79 ± 39.45  |  5.405 ± 1.351  | -50.39 ± 39.47  |     0.2158 ± 0.05087      |     2.669 ± 0.1456      |
| Bin13  |  55.79 ± 39.45  | 2.027 ± 0.8275  |  57.82 ± 39.46  |     0.2398 ± 0.05363      |     1.858 ± 0.1215      |
| Bin14  |    0 ± 55.79    | 1.351 ± 0.6757  |  1.351 ± 55.8   |     0.2158 ± 0.05087      |      2.398 ± 0.138      |
| Bin15  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.1439 ± 0.04154      |     2.049 ± 0.1276      |
| Bin16  |      0 ± 0      | 1.351 ± 0.6757  | 1.351 ± 0.6757  |     0.1199 ± 0.03792      |     1.827 ± 0.1204      |
| Bin17  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.07195 ± 0.02937     |     1.302 ± 0.1017      |
| Bin18  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.1199 ± 0.03792      |    0.9213 ± 0.08554     |
| Bin19  |  55.79 ± 39.45  |      0 ± 0      |  55.79 ± 39.45  |     0.09593 ± 0.03392     |     1.112 ± 0.09397     |
| Bin20  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.04796 ± 0.02398     |    0.8895 ± 0.08405     |
| Bin21  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.02398 ± 0.01696     |    0.7148 ± 0.07534     |
| Bin22  |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |     0.6989 ± 0.0745     |
| Bin23  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.04796 ± 0.02398     |    0.4448 ± 0.05943     |
| Bin24  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.04796 ± 0.02398     |    0.5083 ± 0.06354     |
| Bin25  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.02398 ± 0.01696     |    0.4924 ± 0.06254     |
| Bin26  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.04796 ± 0.02398     |    0.2541 ± 0.04493     |
| Bin27  | -55.79 ± 39.45  |      0 ± 0      | -55.79 ± 39.45  |           0 ± 0           |    0.2224 ± 0.04202     |
| Bin28  |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |     0.2065 ± 0.0405     |
| Bin29  |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |    0.1906 ± 0.03891     |
| Bin30  |      0 ± 0      |      0 ± 0      |      0 ± 0      |     0.02398 ± 0.01696     |    0.1271 ± 0.03177     |
| Bin31  |      0 ± 0      |      0 ± 0      |      0 ± 0      |           0 ± 0           |     1.08 ± 0.09262      |
+--------+-----------------+-----------------+-----------------+---------------------------+-------------------------+
