+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |  251.1 ± 139.5  |  23.99 ± 2.847   |   275 ± 139.5   |     0.1919 ± 0.04796      |    0.7783 ± 0.07862     |
| Bin3   |  1088 ± 301.7   |  128.4 ± 6.603   |  1216 ± 301.8   |      1.223 ± 0.1211       |     6.552 ± 0.2281      |
| Bin4   |  697.4 ± 221.4  |  125.3 ± 6.507   |  822.7 ± 221.5  |      1.247 ± 0.1223       |     7.219 ± 0.2394      |
| Bin5   |  334.7 ± 147.6  |  120.3 ± 6.374   |   455 ± 147.7   |      1.115 ± 0.1156       |     6.274 ± 0.2232      |
| Bin6   |    0 ± 124.8    |  99.66 ± 5.822   |  99.66 ± 124.9  |      0.9713 ± 0.1079      |     4.638 ± 0.1919      |
| Bin7   | -55.79 ± 96.63  |  81.42 ± 5.266   |  25.63 ± 96.78  |     0.7075 ± 0.09211      |     3.391 ± 0.1641      |
| Bin8   |  83.69 ± 92.52  |  61.49 ± 4.558   |  145.2 ± 92.63  |     0.5996 ± 0.08479      |     2.613 ± 0.1441      |
| Bin9   |  83.69 ± 73.8   |  59.46 ± 4.482   |  143.1 ± 73.94  |     0.2758 ± 0.05751      |     2.017 ± 0.1266      |
| Bin10  |  139.5 ± 62.38  |  34.12 ± 3.395   |  173.6 ± 62.47  |     0.3477 ± 0.06457      |     1.858 ± 0.1215      |
| Bin11  |  -27.9 ± 48.32  |  33.45 ± 3.361   |  5.551 ± 48.43  |     0.1199 ± 0.03792      |     1.056 ± 0.09159     |
| Bin12  |   27.9 ± 27.9   |  29.05 ± 3.133   |  56.95 ± 28.07  |     0.1679 ± 0.04487      |    0.8657 ± 0.08292     |
| Bin13  |  -27.9 ± 27.9   |  20.61 ± 2.639   | -7.287 ± 28.02  |     0.1319 ± 0.03977      |    0.5956 ± 0.06878     |
| Bin14  |  111.6 ± 55.79  |  19.93 ± 2.595   |  131.5 ± 55.85  |     0.1199 ± 0.03792      |    0.5401 ± 0.06549     |
| Bin15  |  55.79 ± 39.45  |  16.55 ± 2.365   |  72.35 ± 39.52  |     0.04796 ± 0.02398     |    0.4527 ± 0.05996     |
| Bin16  |  83.69 ± 48.32  |  11.82 ± 1.999   |  95.51 ± 48.36  |     0.08394 ± 0.03173     |     0.413 ± 0.05727     |
| Bin17  |   27.9 ± 27.9   |   10.14 ± 1.85   |  38.03 ± 27.96  |     0.05996 ± 0.02681     |    0.3336 ± 0.05147     |
| Bin18  |      0 ± 0      |   9.46 ± 1.788   |  9.46 ± 1.788   |     0.05996 ± 0.02681     |    0.2541 ± 0.04493     |
| Bin19  |      0 ± 0      |  4.392 ± 1.218   |  4.392 ± 1.218  |     0.07195 ± 0.02937     |    0.2224 ± 0.04202     |
| Bin20  |  -27.9 ± 27.9   |   7.77 ± 1.689   | -20.13 ± 27.95  |     0.04796 ± 0.02398     |    0.1112 ± 0.02972     |
| Bin21  |  55.79 ± 39.45  |  5.405 ± 1.351   |  61.2 ± 39.47   |           0 ± 0           |    0.1191 ± 0.03076     |
| Bin22  |      0 ± 0      |  3.041 ± 1.014   |  3.041 ± 1.014  |     0.05996 ± 0.02681     |    0.1747 ± 0.03725     |
| Bin23  |      0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068  |     0.04796 ± 0.02398     |     0.135 ± 0.03275     |
| Bin24  |      0 ± 0      |   3.041 ± 1.12   |  3.041 ± 1.12   |           0 ± 0           |    0.1032 ± 0.02864     |
| Bin25  |      0 ± 0      |  2.365 ± 0.8938  | 2.365 ± 0.8938  |     0.03597 ± 0.02077     |    0.0953 ± 0.02751     |
| Bin26  |   27.9 ± 27.9   |  1.689 ± 0.7554  |  29.58 ± 27.91  |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin27  |      0 ± 0      |  2.703 ± 0.9556  | 2.703 ± 0.9556  |     0.02398 ± 0.01696     |    0.03971 ± 0.01776    |
| Bin28  |      0 ± 0      |  3.041 ± 1.014   |  3.041 ± 1.014  |     0.03597 ± 0.02077     |    0.07148 ± 0.02383    |
| Bin29  |      0 ± 0      |  2.703 ± 0.9556  | 2.703 ± 0.9556  |     0.02398 ± 0.01696     |    0.06354 ± 0.02246    |
| Bin30  |    0 ± 39.45    | 0.3378 ± 0.3378  | 0.3378 ± 39.45  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin31  |    0 ± 39.45    |  11.82 ± 1.999   |  11.82 ± 39.5   |     0.07195 ± 0.02937     |    0.4527 ± 0.05996     |
+--------+-----------------+------------------+-----------------+---------------------------+-------------------------+
