+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |  418.4 ± 191.2  |  120.6 ± 6.383   |   539 ± 191.3    |     0.7794 ± 0.09668      |     5.051 ± 0.2003      |
| Bin3   |  1506 ± 339.4   |  303.4 ± 10.15   |   1810 ± 339.5   |      2.938 ± 0.1877       |     15.98 ± 0.3562      |
| Bin4   |  502.1 ± 201.2  |  157.4 ± 7.309   |  659.6 ± 201.3   |      1.583 ± 0.1378       |      8.26 ± 0.2561      |
| Bin5   |  223.2 ± 124.8  |  104.7 ± 5.948   |  327.9 ± 124.9   |      0.8754 ± 0.1025      |     4.805 ± 0.1953      |
| Bin6   |  55.79 ± 111.6  |   63.18 ± 4.62   |   119 ± 111.7    |     0.6115 ± 0.08563      |     2.549 ± 0.1423      |
| Bin7   | -55.79 ± 68.33  |  45.61 ± 3.954   |  -10.18 ± 68.44  |     0.2878 ± 0.05874      |     1.612 ± 0.1132      |
| Bin8   |    0 ± 55.79    |  30.41 ± 3.205   |  30.41 ± 55.88   |     0.2518 ± 0.05495      |     0.961 ± 0.08736     |
| Bin9   |   27.9 ± 27.9   |   27.7 ± 3.059   |   55.6 ± 28.06   |     0.1199 ± 0.03792      |    0.5639 ± 0.06692     |
| Bin10  |  55.79 ± 39.45  |  13.85 ± 2.163   |  69.64 ± 39.51   |     0.03597 ± 0.02077     |    0.4606 ± 0.06048     |
| Bin11  |    0 ± 39.45    |  10.81 ± 1.911   |   10.81 ± 39.5   |     0.04796 ± 0.02398     |     0.3097 ± 0.0496     |
| Bin12  |      0 ± 0      |  9.797 ± 1.819   |  9.797 ± 1.819   |     0.05996 ± 0.02681     |    0.2144 ± 0.04127     |
| Bin13  |  -27.9 ± 27.9   |  7.433 ± 1.585   |  -20.46 ± 27.94  |     0.08394 ± 0.03173     |    0.1509 ± 0.03462     |
| Bin14  |  83.69 ± 48.32  |  6.757 ± 1.511   |  90.44 ± 48.34   |     0.03597 ± 0.02077     |    0.08736 ± 0.02634    |
| Bin15  |      0 ± 0      |  8.108 ± 1.655   |  8.108 ± 1.655   |     0.02398 ± 0.01696     |    0.1191 ± 0.03076     |
| Bin16  |   27.9 ± 27.9   |  2.703 ± 0.9556  |   30.6 ± 27.91   |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin17  |  55.79 ± 39.45  |  5.405 ± 1.351   |   61.2 ± 39.47   |     0.01199 ± 0.01199     |    0.07148 ± 0.02383    |
| Bin18  |      0 ± 0      |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.02398 ± 0.01696     |    0.03971 ± 0.01776    |
| Bin19  |      0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.02398 ± 0.01696     |   0.007942 ± 0.007942   |
| Bin20  |      0 ± 0      |  1.351 ± 0.8275  |  1.351 ± 0.8275  |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin21  |   27.9 ± 27.9   |  1.689 ± 0.7554  |  29.58 ± 27.91   |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin22  |      0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.01199 ± 0.01199     |    0.04765 ± 0.01945    |
| Bin23  |      0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin24  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin25  |      0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin26  |   27.9 ± 27.9   |      0 ± 0       |   27.9 ± 27.9    |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin27  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin28  |      0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |   0.007942 ± 0.007942   |
| Bin30  |    0 ± 39.45    | 0.3378 ± 0.3378  |  0.3378 ± 39.45  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |    0 ± 39.45    |  2.365 ± 0.8938  |  2.365 ± 39.46   |     0.02398 ± 0.01696     |    0.06354 ± 0.02246    |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
