+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin4   | 446.3 ± 226.6  |  250.7 ± 9.215   |   697 ± 226.8    |     0.6235 ± 0.08647      |      2.47 ± 0.1401      |
| Bin5   |   1004 ± 240   |  214.2 ± 8.533   |   1218 ± 240.1   |      0.9353 ± 0.1059      |      3.471 ± 0.166      |
| Bin6   |  836.9 ± 230   |  143.2 ± 6.973   |  980.1 ± 230.1   |      0.9473 ± 0.1066      |     3.931 ± 0.1767      |
| Bin7   | 195.3 ± 174.2  |   102.7 ± 5.89   |   298 ± 174.3    |     0.6835 ± 0.09053      |     3.733 ± 0.1722      |
| Bin8   | 167.4 ± 142.2  |  68.58 ± 4.814   |   236 ± 142.3    |      0.6355 ± 0.0873      |      3.59 ± 0.1688      |
| Bin9   | 55.79 ± 88.21  |    50 ± 4.11     |  105.8 ± 88.31   |     0.5996 ± 0.08479      |      3.264 ± 0.161      |
| Bin10  |  167.4 ± 78.9  |  30.74 ± 3.223   |  198.1 ± 78.97   |      0.6355 ± 0.0873      |      3.145 ± 0.158      |
| Bin11  | 83.69 ± 62.38  |  24.32 ± 2.867   |   108 ± 62.44    |     0.5516 ± 0.08133      |     2.669 ± 0.1456      |
| Bin12  | -83.69 ± 73.8  |  19.59 ± 2.573   |  -64.09 ± 73.85  |     0.4437 ± 0.07294      |      2.502 ± 0.141      |
| Bin13  | -27.9 ± 48.32  |   9.46 ± 1.85    |  -18.44 ± 48.35  |     0.2998 ± 0.05996      |     2.049 ± 0.1276      |
| Bin14  | 83.69 ± 48.32  |  5.405 ± 1.351   |  89.09 ± 48.34   |     0.1799 ± 0.04644      |     1.763 ± 0.1183      |
| Bin15  |     0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.2638 ± 0.05624      |     1.406 ± 0.1057      |
| Bin16  |     0 ± 0      |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.2278 ± 0.05227      |     1.215 ± 0.09824     |
| Bin17  |     0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.2038 ± 0.04944      |    0.9927 ± 0.08879     |
| Bin18  |   0 ± 39.45    |  2.027 ± 0.8275  |  2.027 ± 39.46   |     0.1199 ± 0.03792      |    0.8974 ± 0.08442     |
| Bin19  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.1079 ± 0.03597      |    0.7783 ± 0.07862     |
| Bin20  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.05996 ± 0.02681     |    0.5639 ± 0.06692     |
| Bin21  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.05996 ± 0.02681     |    0.4765 ± 0.06152     |
| Bin22  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.07195 ± 0.02937     |    0.5321 ± 0.06501     |
| Bin23  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |    0.3971 ± 0.05616     |
| Bin24  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.03597 ± 0.02077     |    0.2859 ± 0.04765     |
| Bin25  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.278 ± 0.04699     |
| Bin26  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |    0.1906 ± 0.03891     |
| Bin27  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.278 ± 0.04699     |
| Bin28  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.143 ± 0.03369     |
| Bin29  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.143 ± 0.03369     |
| Bin30  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.0953 ± 0.02751     |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.05996 ± 0.02681     |    0.3494 ± 0.05268     |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
