+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |  2120 ± 404.2   |  356.8 ± 10.99   |   2477 ± 404.4   |      2.782 ± 0.1826       |     11.47 ± 0.3018      |
| Bin2   | -55.79 ± 88.21  |  33.78 ± 3.412   |  -22.01 ± 88.28  |     0.07195 ± 0.02937     |    0.1191 ± 0.03076     |
| Bin3   |  139.5 ± 73.8   |  36.49 ± 3.543   |   176 ± 73.89    |     0.05996 ± 0.02681     |    0.1985 ± 0.03971     |
| Bin4   |  83.69 ± 73.8   |  46.96 ± 3.983   |  130.6 ± 73.91   |     0.08394 ± 0.03173     |    0.1906 ± 0.03891     |
| Bin5   |  55.79 ± 88.21  |  39.19 ± 3.639   |  94.98 ± 88.29   |     0.05996 ± 0.02681     |     0.143 ± 0.03369     |
| Bin6   |  55.79 ± 68.33  |  41.55 ± 3.747   |  97.35 ± 68.43   |     0.03597 ± 0.02077     |     0.2065 ± 0.0405     |
| Bin7   | -55.79 ± 55.79  |  43.92 ± 3.852   |  -11.87 ± 55.92  |     0.07195 ± 0.02937     |    0.2859 ± 0.04765     |
| Bin8   |  223.2 ± 78.9   |  45.27 ± 3.911   |    268.4 ± 79    |     0.02398 ± 0.01696     |    0.2859 ± 0.04765     |
| Bin9   |  83.69 ± 62.38  |  43.92 ± 3.882   |   127.6 ± 62.5   |     0.1079 ± 0.03597      |    0.2939 ± 0.04831     |
| Bin10  |  111.6 ± 88.21  |  37.84 ± 3.575   |  149.4 ± 88.29   |     0.1079 ± 0.03597      |    0.3256 ± 0.05085     |
| Bin11  |  111.6 ± 68.33  |  38.18 ± 3.591   |  149.8 ± 68.42   |     0.1799 ± 0.04644      |    0.4845 ± 0.06203     |
| Bin12  |  -27.9 ± 73.8   |  33.78 ± 3.412   |  5.889 ± 73.88   |     0.1439 ± 0.04154      |    0.6274 ± 0.07059     |
| Bin13  |  111.6 ± 55.79  |  31.42 ± 3.258   |   143 ± 55.89    |     0.1559 ± 0.04323      |    0.7704 ± 0.07822     |
| Bin14  |  55.79 ± 39.45  |  28.04 ± 3.078   |  83.83 ± 39.57   |     0.1799 ± 0.04644      |     1.239 ± 0.0992      |
| Bin15  |    0 ± 55.79    |  16.55 ± 2.365   |  16.55 ± 55.84   |     0.2278 ± 0.05227      |     1.382 ± 0.1048      |
| Bin16  | -55.79 ± 39.45  |  18.92 ± 2.528   |  -36.87 ± 39.53  |     0.2758 ± 0.05751      |     1.858 ± 0.1215      |
| Bin17  |    0 ± 55.79    |  12.84 ± 2.083   |  12.84 ± 55.83   |     0.3238 ± 0.06231      |     2.454 ± 0.1396      |
| Bin18  |   27.9 ± 27.9   |  10.81 ± 1.911   |  38.71 ± 27.96   |     0.4317 ± 0.07195      |     2.597 ± 0.1436      |
| Bin19  |  -27.9 ± 27.9   |  6.757 ± 1.511   |  -21.14 ± 27.94  |     0.4437 ± 0.07294      |      3.145 ± 0.158      |
| Bin20  |    0 ± 39.45    |  5.405 ± 1.351   |  5.405 ± 39.47   |     0.5756 ± 0.08308      |     2.708 ± 0.1467      |
| Bin21  |  -27.9 ± 27.9   |  5.068 ± 1.308   |  -22.83 ± 27.93  |     0.4317 ± 0.07195      |     2.978 ± 0.1538      |
| Bin22  |      0 ± 0      |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.2998 ± 0.05996      |     2.462 ± 0.1398      |
| Bin23  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.3358 ± 0.06345      |      2.097 ± 0.129      |
| Bin24  |      0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.2158 ± 0.05087      |     1.588 ± 0.1123      |
| Bin25  |      0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1199 ± 0.03792      |    0.9213 ± 0.08554     |
| Bin26  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.1079 ± 0.03597      |    0.5003 ± 0.06304     |
| Bin27  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.02398 ± 0.01696     |     0.2383 ± 0.0435     |
| Bin28  |      0 ± 0      |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin29  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |      0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+-----------------+------------------+------------------+---------------------------+-------------------------+
