+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS      |     ttbar      |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
| Bin0   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin2   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin3   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin4   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin5   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin6   |      0 ± 0      |     0 ± 0      |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin7   |  725.3 ± 261.7  | 194.9 ± 8.115  |  920.2 ± 261.8  |     0.5396 ± 0.08044      |     1.747 ± 0.1178      |
| Bin8   |  948.4 ± 233.4  | 186.8 ± 7.945  |  1135 ± 233.5   |     0.4796 ± 0.07584      |      1.874 ± 0.122      |
| Bin9   |  474.2 ± 238.3  | 200.3 ± 8.241  |  674.6 ± 238.5  |     0.5756 ± 0.08308      |     2.327 ± 0.1359      |
| Bin10  |  585.8 ± 217.9  | 182.1 ± 7.858  |   767.9 ± 218   |      0.8754 ± 0.1025      |      3.304 ± 0.162      |
| Bin11  |  418.4 ± 178.6  | 180.7 ± 7.829  |  599.2 ± 178.8  |      1.427 ± 0.1308       |     6.322 ± 0.2241      |
| Bin12  |  1004 ± 233.4   | 164.5 ± 7.471  |  1169 ± 233.5   |       3.238 ± 0.197       |      11.3 ± 0.2996      |
| Bin13  |  446.3 ± 197.3  | 139.5 ± 6.882  |  585.9 ± 197.4  |      3.837 ± 0.2145       |     13.57 ± 0.3283      |
| Bin14  |  111.6 ± 147.6  | 117.2 ± 6.293  |  228.8 ± 147.7  |      2.302 ± 0.1662       |     10.04 ± 0.2824      |
| Bin15  |  502.1 ± 152.8  | 106.8 ± 6.025  |  608.9 ± 152.9  |     0.8274 ± 0.09961      |      5.448 ± 0.208      |
| Bin16  |  55.79 ± 111.6  |  67.91 ± 4.79  |  123.7 ± 111.7  |     0.3717 ± 0.06676      |     4.527 ± 0.1896      |
| Bin17  |  55.79 ± 118.4  |  63.18 ± 4.62  |   119 ± 118.4   |     0.2278 ± 0.05227      |     4.384 ± 0.1866      |
| Bin18  | -111.6 ± 118.4  | 38.85 ± 3.654  | -72.73 ± 118.4  |     0.2758 ± 0.05751      |     4.773 ± 0.1947      |
| Bin19  |  27.9 ± 83.69   | 42.91 ± 3.807  |  70.8 ± 83.77   |     0.2758 ± 0.05751      |     5.107 ± 0.2014      |
| Bin20  |  111.6 ± 68.33  |  32.43 ± 3.31  |   144 ± 68.41   |     0.1919 ± 0.04796      |     4.249 ± 0.1837      |
| Bin21  |   27.9 ± 73.8   | 30.07 ± 3.187  |  57.96 ± 73.87  |     0.1439 ± 0.04154      |     2.232 ± 0.1331      |
| Bin22  |  55.79 ± 55.79  | 21.28 ± 2.724  |  77.08 ± 55.86  |     0.08394 ± 0.03173     |     1.056 ± 0.09159     |
| Bin23  |  55.79 ± 68.33  | 18.24 ± 2.483  |  74.03 ± 68.37  |     0.04796 ± 0.02398     |    0.3892 ± 0.05559     |
| Bin24  |   27.9 ± 73.8   | 15.54 ± 2.291  |  43.44 ± 73.84  |     0.02398 ± 0.01696     |    0.1906 ± 0.03891     |
| Bin25  |    0 ± 55.79    | 16.55 ± 2.365  |  16.55 ± 55.84  |     0.03597 ± 0.02077     |    0.1588 ± 0.03552     |
| Bin26  |  55.79 ± 55.79  | 10.47 ± 1.941  |  66.26 ± 55.82  |     0.02398 ± 0.01696     |    0.1112 ± 0.02972     |
| Bin27  |  139.5 ± 62.38  |  10.14 ± 1.85  |  149.6 ± 62.4   |     0.01199 ± 0.01199     |    0.07942 ± 0.02511    |
| Bin28  |  55.79 ± 39.45  | 9.122 ± 1.819  |  64.91 ± 39.49  |           0 ± 0           |    0.1032 ± 0.02864     |
| Bin29  |   27.9 ± 27.9   | 8.108 ± 1.655  |   36 ± 27.94    |     0.03597 ± 0.02077     |    0.03971 ± 0.01776    |
| Bin30  |  55.79 ± 39.45  | 5.068 ± 1.308  |  60.86 ± 39.47  |     0.03597 ± 0.02077     |    0.04765 ± 0.01945    |
| Bin31  |    0 ± 55.79    | 33.45 ± 3.361  |  33.45 ± 55.89  |     0.1319 ± 0.03977      |    0.5718 ± 0.06739     |
+--------+-----------------+----------------+-----------------+---------------------------+-------------------------+
