+--------+----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+-----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | 446.3 ± 167.4  |   154.7 ± 7.23   |  601.1 ± 167.5  |     0.1919 ± 0.04796      |     5.377 ± 0.2066      |
| Bin2   | 641.6 ± 221.4  |  189.2 ± 7.995   |  830.8 ± 221.6  |     0.2158 ± 0.05087      |     3.359 ± 0.1633      |
| Bin3   | 167.4 ± 189.2  |  165.9 ± 7.517   |  333.3 ± 189.3  |     0.2518 ± 0.05495      |     2.676 ± 0.1458      |
| Bin4   | 502.1 ± 167.4  |  144.3 ± 6.981   |  646.4 ± 167.5  |     0.3358 ± 0.06345      |     2.192 ± 0.1319      |
| Bin5   |  530 ± 178.6   |  133.8 ± 6.774   |  663.8 ± 178.7  |     0.3238 ± 0.06231      |     2.287 ± 0.1348      |
| Bin6   | 83.69 ± 155.3  |  113.5 ± 6.211   |  197.2 ± 155.4  |     0.2398 ± 0.05363      |     2.224 ± 0.1329      |
| Bin7   |  279 ± 162.7   |  107.8 ± 6.034   |  386.7 ± 162.8  |     0.3717 ± 0.06676      |     1.866 ± 0.1217      |
| Bin8   | 139.5 ± 160.2  |  93.92 ± 5.653   |  233.4 ± 160.3  |     0.2278 ± 0.05227      |     1.914 ± 0.1233      |
| Bin9   |  306.9 ± 165   |  72.64 ± 4.977   |  379.5 ± 165.1  |     0.3477 ± 0.06457      |      1.97 ± 0.1251      |
| Bin10  | 446.3 ± 162.7  |  73.31 ± 4.977   |  519.6 ± 162.7  |     0.3597 ± 0.06568      |     1.914 ± 0.1233      |
| Bin11  | 195.3 ± 121.6  |   62.5 ± 4.595   |  257.8 ± 121.7  |     0.4077 ± 0.06992      |     1.739 ± 0.1175      |
| Bin12  | 306.9 ± 127.8  |   54.73 ± 4.3    |  361.6 ± 127.9  |     0.2758 ± 0.05751      |     1.668 ± 0.1151      |
| Bin13  | 111.6 ± 96.63  |  62.16 ± 4.583   |  173.7 ± 96.74  |     0.3957 ± 0.06888      |     1.922 ± 0.1235      |
| Bin14  | 306.9 ± 127.8  |  59.12 ± 4.469   |   366 ± 127.9   |     0.3477 ± 0.06457      |     2.001 ± 0.1261      |
| Bin15  | 139.5 ± 121.6  |  51.35 ± 4.165   |  190.8 ± 121.7  |     0.5876 ± 0.08394      |     1.993 ± 0.1258      |
| Bin16  | 195.3 ± 121.6  |  51.35 ± 4.165   |  246.6 ± 121.7  |     0.2998 ± 0.05996      |     2.033 ± 0.1271      |
| Bin17  | 55.79 ± 118.4  |   40.2 ± 3.685   |  95.99 ± 118.4  |     0.3358 ± 0.06345      |     2.073 ± 0.1283      |
| Bin18  |  83.69 ± 108   |   39.87 ± 3.67   |  123.6 ± 108.1  |     0.4437 ± 0.07294      |     2.089 ± 0.1288      |
| Bin19  | 139.5 ± 100.6  |  35.81 ± 3.478   |  175.3 ± 100.6  |     0.4197 ± 0.07094      |     2.001 ± 0.1261      |
| Bin20  | 55.79 ± 96.63  |  31.42 ± 3.258   |  87.21 ± 96.69  |     0.3597 ± 0.06568      |     2.319 ± 0.1357      |
| Bin21  |  279 ± 96.63   |  26.69 ± 3.041   |  305.6 ± 96.68  |     0.5996 ± 0.08479      |     2.621 ± 0.1443      |
| Bin22  |   0 ± 68.33    |   31.08 ± 3.24   |  31.08 ± 68.41  |     0.5756 ± 0.08308      |     2.661 ± 0.1454      |
| Bin23  | 111.6 ± 111.6  |    25 ± 2.906    |  136.6 ± 111.6  |     0.5996 ± 0.08479      |      2.74 ± 0.1475      |
| Bin24  |   0 ± 55.79    |  19.59 ± 2.617   |  19.59 ± 55.85  |     0.6715 ± 0.08973      |      2.986 ± 0.154      |
| Bin25  |  55.79 ± 78.9  |  19.26 ± 2.551   |  75.05 ± 78.94  |     0.5396 ± 0.08044      |     3.256 ± 0.1608      |
| Bin26  |  83.69 ± 73.8  |  12.84 ± 2.083   |  96.52 ± 73.83  |      0.8394 ± 0.1003      |     3.352 ± 0.1631      |
| Bin27  |  167.4 ± 78.9  |   12.5 ± 2.055   |  179.9 ± 78.93  |      0.9713 ± 0.1079      |     4.193 ± 0.1825      |
| Bin28  | 83.69 ± 48.32  |  6.081 ± 1.433   |  89.77 ± 48.34  |      1.163 ± 0.1181       |      4.4 ± 0.1869       |
| Bin29  |  -27.9 ± 27.9  |  5.068 ± 1.308   | -22.83 ± 27.93  |       1.475 ± 0.133       |     5.385 ± 0.2068      |
| Bin30  |  -27.9 ± 27.9  | 0.6757 ± 0.4778  |  -27.22 ± 27.9  |      1.847 ± 0.1488       |     6.743 ± 0.2314      |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+------------------+-----------------+---------------------------+-------------------------+
