+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin2   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin3   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.1588 ± 0.03552     |
| Bin4   |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.04796 ± 0.02398     |     1.295 ± 0.1014      |
| Bin5   |    0 ± 0     |  7.095 ± 1.548   |  7.095 ± 1.548   |     0.08394 ± 0.03173     |     2.303 ± 0.1352      |
| Bin6   |    0 ± 0     |  10.14 ± 1.911   |  10.14 ± 1.911   |     0.08394 ± 0.03173     |     2.279 ± 0.1345      |
| Bin7   |    0 ± 0     |  8.784 ± 1.723   |  8.784 ± 1.723   |     0.09593 ± 0.03392     |     2.105 ± 0.1293      |
| Bin8   |    0 ± 0     |  5.743 ± 1.393   |  5.743 ± 1.393   |     0.04796 ± 0.02398     |     1.811 ± 0.1199      |
| Bin9   |    0 ± 0     |  6.419 ± 1.473   |  6.419 ± 1.473   |     0.03597 ± 0.02077     |      1.469 ± 0.108      |
| Bin10  | 27.9 ± 27.9  |  7.095 ± 1.548   |  34.99 ± 27.94   |     0.04796 ± 0.02398     |      1.04 ± 0.0909      |
| Bin11  | 27.9 ± 27.9  |  2.703 ± 0.9556  |   30.6 ± 27.91   |     0.01199 ± 0.01199     |    0.8418 ± 0.08177     |
| Bin12  |    0 ± 0     |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.01199 ± 0.01199     |    0.6195 ± 0.07014     |
| Bin13  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.02398 ± 0.01696     |    0.3812 ± 0.05502     |
| Bin14  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |           0 ± 0           |    0.3256 ± 0.05085     |
| Bin15  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |     0.2065 ± 0.0405     |
| Bin16  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.1906 ± 0.03891     |
| Bin17  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.1906 ± 0.03891     |
| Bin18  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin19  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin20  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin21  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin22  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin23  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin24  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin25  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin26  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin27  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |          0 ± 0          |
| Bin28  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin30  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |          0 ± 0          |
| Bin31  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.04765 ± 0.01945    |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
