+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin2   |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.5321 ± 0.06501     |
| Bin3   |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.01199 ± 0.01199     |    0.8895 ± 0.08405     |
| Bin4   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.04796 ± 0.02398     |     1.183 ± 0.09694     |
| Bin5   |    0 ± 0     |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.02398 ± 0.01696     |     1.152 ± 0.09563     |
| Bin6   |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |     1.025 ± 0.0902      |
| Bin7   |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.03597 ± 0.02077     |      0.953 ± 0.087      |
| Bin8   |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.04796 ± 0.02398     |    0.7704 ± 0.07822     |
| Bin9   |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.02398 ± 0.01696     |    0.3653 ± 0.05387     |
| Bin10  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.01199 ± 0.01199     |    0.3256 ± 0.05085     |
| Bin11  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.03597 ± 0.02077     |    0.1668 ± 0.03639     |
| Bin12  |    0 ± 0     |   3.378 ± 1.17   |   3.378 ± 1.17   |     0.01199 ± 0.01199     |     0.143 ± 0.03369     |
| Bin13  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin14  |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin15  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin16  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin17  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin18  |    0 ± 0     |   4.054 ± 1.17   |   4.054 ± 1.17   |           0 ± 0           |    0.04765 ± 0.01945    |
| Bin19  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.01199 ± 0.01199     |     0.135 ± 0.03275     |
| Bin20  |    0 ± 0     |  6.419 ± 1.473   |  6.419 ± 1.473   |           0 ± 0           |    0.1271 ± 0.03177     |
| Bin21  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.02398 ± 0.01696     |    0.2939 ± 0.04831     |
| Bin22  |    0 ± 0     |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.02398 ± 0.01696     |     0.413 ± 0.05727     |
| Bin23  |    0 ± 0     |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.02398 ± 0.01696     |    0.5956 ± 0.06878     |
| Bin24  | 27.9 ± 27.9  |  2.027 ± 0.8275  |  29.92 ± 27.91   |     0.07195 ± 0.02937     |     1.128 ± 0.09464     |
| Bin25  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.03597 ± 0.02077     |     1.247 ± 0.09951     |
| Bin26  | 27.9 ± 27.9  |  1.351 ± 0.6757  |   29.25 ± 27.9   |     0.01199 ± 0.01199     |     1.223 ± 0.09856     |
| Bin27  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |     1.255 ± 0.09983     |
| Bin28  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.03597 ± 0.02077     |     0.9054 ± 0.0848     |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.6671 ± 0.07279     |
| Bin30  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.1112 ± 0.02972     |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
