+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   | 55.79 ± 39.45  |  60.14 ± 4.533   |  115.9 ± 39.71   |     0.4197 ± 0.07094      |     10.34 ± 0.2866      |
| Bin2   |     0 ± 0      |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |      1.35 ± 0.1036      |
| Bin3   |     0 ± 0      |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.03597 ± 0.02077     |    0.5877 ± 0.06832     |
| Bin4   |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.5718 ± 0.06739     |
| Bin5   |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.02398 ± 0.01696     |    0.3256 ± 0.05085     |
| Bin6   |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.3256 ± 0.05085     |
| Bin7   |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.2541 ± 0.04493     |
| Bin8   |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.1985 ± 0.03971     |
| Bin9   |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |     0.143 ± 0.03369     |
| Bin10  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.135 ± 0.03275     |
| Bin11  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.02398 ± 0.01696     |    0.1827 ± 0.03809     |
| Bin12  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin13  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin14  |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.1271 ± 0.03177     |
| Bin15  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin16  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin17  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.1112 ± 0.02972     |
| Bin18  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |     0.143 ± 0.03369     |
| Bin19  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |    0.08736 ± 0.02634    |
| Bin20  |     0 ± 0      | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin21  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.143 ± 0.03369     |
| Bin22  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin23  |     0 ± 0      |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin24  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin25  |     0 ± 0      |  10.81 ± 1.911   |  10.81 ± 1.911   |     0.03597 ± 0.02077     |    0.3812 ± 0.05502     |
| Bin26  |     0 ± 0      |  9.122 ± 1.755   |  9.122 ± 1.755   |     0.01199 ± 0.01199     |     0.413 ± 0.05727     |
| Bin27  |     0 ± 0      |  12.84 ± 2.137   |  12.84 ± 2.137   |     0.04796 ± 0.02398     |    0.5242 ± 0.06452     |
| Bin28  |     0 ± 0      |  12.16 ± 2.027   |  12.16 ± 2.027   |     0.04796 ± 0.02398     |    0.7307 ± 0.07618     |
| Bin29  |  27.9 ± 27.9   |   13.18 ± 2.11   |  41.07 ± 27.98   |     0.04796 ± 0.02398     |     1.382 ± 0.1048      |
| Bin30  |  27.9 ± 27.9   |  16.55 ± 2.365   |    44.45 ± 28    |     0.3837 ± 0.06783      |     12.91 ± 0.3202      |
| Bin31  |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
