+--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 0      |      0 ± 0       |      0 ± 0       |     0.09593 ± 0.03392     |    0.06354 ± 0.02246    |
| Bin2   |     0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.04796 ± 0.02398     |    0.1588 ± 0.03552     |
| Bin3   |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.04796 ± 0.02398     |    0.1906 ± 0.03891     |
| Bin4   |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.04796 ± 0.02398     |    0.1747 ± 0.03725     |
| Bin5   |     0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.07195 ± 0.02937     |    0.3812 ± 0.05502     |
| Bin6   |     0 ± 0      |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.07195 ± 0.02937     |    0.2224 ± 0.04202     |
| Bin7   |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.04796 ± 0.02398     |     0.2383 ± 0.0435     |
| Bin8   |     0 ± 0      |  6.757 ± 1.511   |  6.757 ± 1.511   |     0.02398 ± 0.01696     |    0.1747 ± 0.03725     |
| Bin9   |     0 ± 0      |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.04796 ± 0.02398     |    0.2859 ± 0.04765     |
| Bin10  |     0 ± 0      |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.04796 ± 0.02398     |    0.8577 ± 0.08254     |
| Bin11  | 55.79 ± 39.45  |   9.46 ± 1.788   |  65.25 ± 39.49   |     0.02398 ± 0.01696     |     19.63 ± 0.3949      |
| Bin12  | 55.79 ± 39.45  |  12.84 ± 2.083   |  68.63 ± 39.51   |     0.04796 ± 0.02398     |     9.101 ± 0.2689      |
| Bin13  |     0 ± 0      |   10.14 ± 1.85   |   10.14 ± 1.85   |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin14  |     0 ± 0      |   4.054 ± 1.17   |   4.054 ± 1.17   |           0 ± 0           |          0 ± 0          |
| Bin15  |     0 ± 0      |   10.14 ± 1.85   |   10.14 ± 1.85   |     0.02398 ± 0.01696     |    0.04765 ± 0.01945    |
| Bin16  |     0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin17  |     0 ± 0      |  7.433 ± 1.585   |  7.433 ± 1.585   |           0 ± 0           |          0 ± 0          |
| Bin18  |     0 ± 0      |  8.108 ± 1.655   |  8.108 ± 1.655   |           0 ± 0           |          0 ± 0          |
| Bin19  |     0 ± 0      |   4.054 ± 1.17   |   4.054 ± 1.17   |           0 ± 0           |          0 ± 0          |
| Bin20  |     0 ± 0      |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin21  |     0 ± 0      |  5.405 ± 1.511   |  5.405 ± 1.511   |           0 ± 0           |          0 ± 0          |
| Bin22  |     0 ± 0      |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin23  |     0 ± 0      |  2.703 ± 0.9556  |  2.703 ± 0.9556  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin24  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |           0 ± 0           |          0 ± 0          |
| Bin25  |     0 ± 0      |  2.027 ± 0.8275  |  2.027 ± 0.8275  |           0 ± 0           |          0 ± 0          |
| Bin26  |     0 ± 0      |  2.703 ± 0.9556  |  2.703 ± 0.9556  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin27  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin28  |     0 ± 0      |  3.378 ± 1.068   |  3.378 ± 1.068   |           0 ± 0           |          0 ± 0          |
| Bin29  |     0 ± 0      | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |          0 ± 0          |
| Bin30  |     0 ± 0      |  1.351 ± 0.6757  |  1.351 ± 0.6757  |           0 ± 0           |          0 ± 0          |
| Bin31  |     0 ± 0      |   10.14 ± 1.85   |   10.14 ± 1.85   |     0.3597 ± 0.06568      |    0.0953 ± 0.02751     |
+--------+----------------+------------------+------------------+---------------------------+-------------------------+
