+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin3   |    0 ± 0     |  8.108 ± 1.655   |  8.108 ± 1.655   |     0.04796 ± 0.02398     |     2.025 ± 0.1268      |
| Bin4   | 27.9 ± 27.9  |   9.46 ± 1.788   |  37.36 ± 27.95   |     0.07195 ± 0.02937     |     2.581 ± 0.1432      |
| Bin5   |    0 ± 0     |  7.433 ± 1.585   |  7.433 ± 1.585   |     0.05996 ± 0.02681     |     2.359 ± 0.1369      |
| Bin6   |    0 ± 0     |  8.784 ± 1.723   |  8.784 ± 1.723   |     0.09593 ± 0.03392     |     1.946 ± 0.1243      |
| Bin7   | 27.9 ± 27.9  |  7.095 ± 1.548   |  34.99 ± 27.94   |     0.03597 ± 0.02077     |     1.406 ± 0.1057      |
| Bin8   |    0 ± 0     |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.08394 ± 0.03173     |     1.183 ± 0.09694     |
| Bin9   |    0 ± 0     |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.01199 ± 0.01199     |    0.8418 ± 0.08177     |
| Bin10  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.02398 ± 0.01696     |    0.8577 ± 0.08254     |
| Bin11  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.01199 ± 0.01199     |    0.4606 ± 0.06048     |
| Bin12  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |     0.413 ± 0.05727     |
| Bin13  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.02398 ± 0.01696     |    0.2541 ± 0.04493     |
| Bin14  |    0 ± 0     |  2.365 ± 1.014   |  2.365 ± 1.014   |     0.01199 ± 0.01199     |    0.2541 ± 0.04493     |
| Bin15  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |    0.1985 ± 0.03971     |
| Bin16  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |           0 ± 0           |    0.1509 ± 0.03462     |
| Bin17  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |     0.135 ± 0.03275     |
| Bin18  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.08736 ± 0.02634    |
| Bin19  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |     0.143 ± 0.03369     |
| Bin20  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.02398 ± 0.01696     |    0.04765 ± 0.01945    |
| Bin21  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin22  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin23  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.05559 ± 0.02101    |
| Bin24  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin25  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin26  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin27  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin28  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.01588 ± 0.01123    |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin30  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.03971 ± 0.01776    |
| Bin31  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.02398 ± 0.01696     |    0.1191 ± 0.03076     |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
