+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin2   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin3   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin4   |    0 ± 0     |  10.47 ± 1.941   |  10.47 ± 1.941   |     0.09593 ± 0.03392     |      2.43 ± 0.1389      |
| Bin5   |    0 ± 0     |  6.419 ± 1.473   |  6.419 ± 1.473   |     0.07195 ± 0.02937     |      1.89 ± 0.1225      |
| Bin6   |    0 ± 0     |  5.743 ± 1.393   |  5.743 ± 1.393   |     0.05996 ± 0.02681     |     1.708 ± 0.1165      |
| Bin7   |    0 ± 0     |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.03597 ± 0.02077     |      1.43 ± 0.1066      |
| Bin8   |    0 ± 0     |  7.095 ± 1.548   |  7.095 ± 1.548   |     0.02398 ± 0.01696     |     1.255 ± 0.09983     |
| Bin9   | 27.9 ± 27.9  |   4.054 ± 1.17   |  31.95 ± 27.92   |     0.03597 ± 0.02077     |     1.223 ± 0.09856     |
| Bin10  |    0 ± 0     |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.04796 ± 0.02398     |    0.8021 ± 0.07982     |
| Bin11  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |     0.03597 ± 0.02077     |    0.7942 ± 0.07942     |
| Bin12  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |           0 ± 0           |    0.6036 ± 0.06924     |
| Bin13  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.03597 ± 0.02077     |    0.4527 ± 0.05996     |
| Bin14  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.01199 ± 0.01199     |     0.405 ± 0.05672     |
| Bin15  |    0 ± 0     |  3.378 ± 1.068   |  3.378 ± 1.068   |           0 ± 0           |    0.4606 ± 0.06048     |
| Bin16  |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.01199 ± 0.01199     |    0.4289 ± 0.05836     |
| Bin17  |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |           0 ± 0           |     0.3097 ± 0.0496     |
| Bin18  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |    0.1985 ± 0.03971     |
| Bin19  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.01199 ± 0.01199     |    0.1747 ± 0.03725     |
| Bin20  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |           0 ± 0           |     0.143 ± 0.03369     |
| Bin21  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |    0.08736 ± 0.02634    |
| Bin22  | 27.9 ± 27.9  |  1.689 ± 0.7554  |  29.58 ± 27.91   |           0 ± 0           |    0.0953 ± 0.02751     |
| Bin23  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.1112 ± 0.02972     |
| Bin24  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.0953 ± 0.02751     |
| Bin25  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.01199 ± 0.01199     |    0.1271 ± 0.03177     |
| Bin26  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.06354 ± 0.02246    |
| Bin27  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin28  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin29  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin30  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |    0.03177 ± 0.01588    |
| Bin31  |    0 ± 0     |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.03597 ± 0.02077     |    0.3892 ± 0.05559     |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
