+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |  12.16 ± 2.083   |  12.16 ± 2.083   |     0.1079 ± 0.03597      |    0.8339 ± 0.08138     |
| Bin2   |    0 ± 0     |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin3   |    0 ± 0     |  4.392 ± 1.218   |  4.392 ± 1.218   |     0.01199 ± 0.01199     |    0.0953 ± 0.02751     |
| Bin4   |    0 ± 0     |  6.419 ± 1.473   |  6.419 ± 1.473   |     0.01199 ± 0.01199     |    0.05559 ± 0.02101    |
| Bin5   |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.01199 ± 0.01199     |    0.06354 ± 0.02246    |
| Bin6   |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.01199 ± 0.01199     |    0.06354 ± 0.02246    |
| Bin7   |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |    0.07148 ± 0.02383    |
| Bin8   |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.01199 ± 0.01199     |    0.1112 ± 0.02972     |
| Bin9   |    0 ± 0     |  5.068 ± 1.308   |  5.068 ± 1.308   |     0.01199 ± 0.01199     |    0.08736 ± 0.02634    |
| Bin10  | 27.9 ± 27.9  |  4.392 ± 1.218   |  32.29 ± 27.92   |           0 ± 0           |    0.07942 ± 0.02511    |
| Bin11  |    0 ± 0     |   4.73 ± 1.264   |   4.73 ± 1.264   |     0.02398 ± 0.01696     |    0.2303 ± 0.04277     |
| Bin12  |    0 ± 0     |   3.716 ± 1.12   |   3.716 ± 1.12   |     0.02398 ± 0.01696     |    0.2621 ± 0.04562     |
| Bin13  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.02398 ± 0.01696     |    0.3574 ± 0.05328     |
| Bin14  | 27.9 ± 27.9  |  3.041 ± 1.014   |  30.94 ± 27.91   |     0.03597 ± 0.02077     |    0.5083 ± 0.06354     |
| Bin15  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.01199 ± 0.01199     |     0.6989 ± 0.0745     |
| Bin16  |    0 ± 0     |  2.027 ± 0.8275  |  2.027 ± 0.8275  |     0.01199 ± 0.01199     |    0.9451 ± 0.08664     |
| Bin17  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.07195 ± 0.02937     |     1.223 ± 0.09856     |
| Bin18  |    0 ± 0     |  1.014 ± 0.5852  |  1.014 ± 0.5852  |     0.02398 ± 0.01696     |     1.398 ± 0.1054      |
| Bin19  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.03597 ± 0.02077     |     1.541 ± 0.1106      |
| Bin20  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |     1.453 ± 0.1074      |
| Bin21  |    0 ± 0     | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |     0.03597 ± 0.02077     |     1.422 ± 0.1063      |
| Bin22  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |     1.382 ± 0.1048      |
| Bin23  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |           0 ± 0           |     1.088 ± 0.09296     |
| Bin24  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.02398 ± 0.01696     |    0.8657 ± 0.08292     |
| Bin25  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |    0.5401 ± 0.06549     |
| Bin26  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.01199 ± 0.01199     |     0.3097 ± 0.0496     |
| Bin27  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |     0.143 ± 0.03369     |
| Bin28  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin30  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
