+--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin#   |    DYJETS    |      ttbar       |      Total       | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------+------------------+------------------+---------------------------+-------------------------+
| Bin0   |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
| Bin1   |    0 ± 0     |   13.18 ± 2.11   |   13.18 ± 2.11   |     0.01199 ± 0.01199     |      3.471 ± 0.166      |
| Bin2   |    0 ± 0     |   17.91 ± 2.46   |   17.91 ± 2.46   |     0.03597 ± 0.02077     |     1.715 ± 0.1167      |
| Bin3   |    0 ± 0     |  11.15 ± 1.999   |  11.15 ± 1.999   |     0.04796 ± 0.02398     |     1.318 ± 0.1023      |
| Bin4   |    0 ± 0     |   13.18 ± 2.11   |   13.18 ± 2.11   |     0.05996 ± 0.02681     |    0.8816 ± 0.08367     |
| Bin5   |    0 ± 0     |  12.16 ± 2.083   |  12.16 ± 2.083   |     0.02398 ± 0.01696     |     1.048 ± 0.09125     |
| Bin6   |    0 ± 0     |  8.446 ± 1.689   |  8.446 ± 1.689   |     0.03597 ± 0.02077     |     0.8736 ± 0.0833     |
| Bin7   |    0 ± 0     |   7.77 ± 1.62    |   7.77 ± 1.62    |     0.03597 ± 0.02077     |    0.6751 ± 0.07322     |
| Bin8   |    0 ± 0     |  6.081 ± 1.433   |  6.081 ± 1.433   |     0.02398 ± 0.01696     |     0.826 ± 0.08099     |
| Bin9   | 27.9 ± 27.9  |   4.73 ± 1.264   |  32.63 ± 27.92   |     0.01199 ± 0.01199     |    0.7942 ± 0.07942     |
| Bin10  | 27.9 ± 27.9  |   7.77 ± 1.62    |  35.67 ± 27.94   |     0.03597 ± 0.02077     |    0.7624 ± 0.07782     |
| Bin11  |    0 ± 0     |  2.703 ± 0.9556  |  2.703 ± 0.9556  |     0.03597 ± 0.02077     |    0.6115 ± 0.06969     |
| Bin12  |    0 ± 0     |  5.743 ± 1.393   |  5.743 ± 1.393   |     0.03597 ± 0.02077     |    0.4606 ± 0.06048     |
| Bin13  |    0 ± 0     |  5.405 ± 1.351   |  5.405 ± 1.351   |     0.02398 ± 0.01696     |    0.7624 ± 0.07782     |
| Bin14  | 27.9 ± 27.9  |   4.054 ± 1.17   |  31.95 ± 27.92   |     0.01199 ± 0.01199     |    0.5877 ± 0.06832     |
| Bin15  |    0 ± 0     |   4.054 ± 1.17   |   4.054 ± 1.17   |     0.02398 ± 0.01696     |    0.7068 ± 0.07492     |
| Bin16  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |           0 ± 0           |    0.7307 ± 0.07618     |
| Bin17  |    0 ± 0     |  5.068 ± 1.308   |  5.068 ± 1.308   |     0.02398 ± 0.01696     |     0.691 ± 0.07408     |
| Bin18  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.02398 ± 0.01696     |    0.6512 ± 0.07192     |
| Bin19  | 27.9 ± 27.9  |  2.365 ± 0.8938  |  30.26 ± 27.91   |     0.01199 ± 0.01199     |    0.7148 ± 0.07534     |
| Bin20  |    0 ± 0     |  1.689 ± 0.7554  |  1.689 ± 0.7554  |     0.02398 ± 0.01696     |    0.6671 ± 0.07279     |
| Bin21  |    0 ± 0     |  3.041 ± 1.014   |  3.041 ± 1.014   |     0.04796 ± 0.02398     |    0.8657 ± 0.08292     |
| Bin22  |    0 ± 0     |  2.365 ± 0.8938  |  2.365 ± 0.8938  |     0.01199 ± 0.01199     |    0.8498 ± 0.08215     |
| Bin23  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.05996 ± 0.02681     |    0.7863 ± 0.07902     |
| Bin24  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.01199 ± 0.01199     |    0.9213 ± 0.08554     |
| Bin25  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.07195 ± 0.02937     |      1.04 ± 0.0909      |
| Bin26  |    0 ± 0     |  1.351 ± 0.6757  |  1.351 ± 0.6757  |     0.05996 ± 0.02681     |     1.167 ± 0.09629     |
| Bin27  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.01199 ± 0.01199     |      1.469 ± 0.108      |
| Bin28  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.04796 ± 0.02398     |     1.382 ± 0.1048      |
| Bin29  |    0 ± 0     |      0 ± 0       |      0 ± 0       |     0.1079 ± 0.03597      |     1.858 ± 0.1215      |
| Bin30  |    0 ± 0     | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |     0.1439 ± 0.04154      |     2.669 ± 0.1456      |
| Bin31  |    0 ± 0     |      0 ± 0       |      0 ± 0       |           0 ± 0           |          0 ± 0          |
+--------+--------------+------------------+------------------+---------------------------+-------------------------+
