+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |  7.867e+04 ± 2142  |   7305 ± 49.92   |  8.597e+04 ± 2142  |      18.21 ± 0.4673       |     36.02 ± 0.5349      |
| Bin2   | 1.074e+04 ± 773.6  |   2799 ± 30.85   | 1.354e+04 ± 774.2  |      1.967 ± 0.1536       |      4.217 ± 0.183      |
| Bin3   |    3599 ± 512.1    |   1657 ± 23.77   |    5256 ± 512.6    |      1.847 ± 0.1488       |     3.828 ± 0.1744      |
| Bin4   |    3236 ± 417.5    |   950 ± 17.98    |    4186 ± 417.9    |      1.643 ± 0.1404       |     3.574 ± 0.1685      |
| Bin5   |    1841 ± 322.9    |  572.6 ± 13.97   |    2414 ± 323.2    |      1.559 ± 0.1367       |     3.328 ± 0.1626      |
| Bin6   |    1283 ± 255.7    |  361.5 ± 11.08   |    1645 ± 255.9    |      1.163 ± 0.1181       |     3.407 ± 0.1645      |
| Bin7   |    334.7 ± 205     |  252.4 ± 9.246   |   587.1 ± 205.2    |      1.115 ± 0.1156       |     3.328 ± 0.1626      |
| Bin8   |    530 ± 178.6     |  185.1 ± 7.923   |   715.2 ± 178.8    |      0.9233 ± 0.1052      |     3.415 ± 0.1647      |
| Bin9   |   502.1 ± 167.4    |  134.1 ± 6.748   |   636.2 ± 167.5    |     0.7554 ± 0.09518      |     3.042 ± 0.1554      |
| Bin10  |   195.3 ± 144.9    |  82.43 ± 5.277   |    277.7 ± 145     |     0.7554 ± 0.09518      |     3.042 ± 0.1554      |
| Bin11  |   223.2 ± 96.63    |  71.96 ± 4.931   |   295.1 ± 96.76    |      0.8514 ± 0.101       |     3.089 ± 0.1566      |
| Bin12  |   55.79 ± 118.4    |  43.58 ± 3.837   |   99.37 ± 118.4    |     0.5876 ± 0.08394      |     2.708 ± 0.1467      |
| Bin13  |    27.9 ± 92.52    |  42.91 ± 3.807   |    70.8 ± 92.6     |     0.6475 ± 0.08812      |     2.764 ± 0.1482      |
| Bin14  |    111.6 ± 78.9    |  30.41 ± 3.205   |    142 ± 78.97     |     0.4796 ± 0.07584      |     2.621 ± 0.1443      |
| Bin15  |    83.69 ± 73.8    |  21.28 ± 2.682   |    105 ± 73.85     |     0.6235 ± 0.08647      |     2.565 ± 0.1427      |
| Bin16  |    27.9 ± 48.32    |  19.26 ± 2.551   |   47.15 ± 48.38    |     0.5756 ± 0.08308      |     2.343 ± 0.1364      |
| Bin17  |       0 ± 0        |  15.54 ± 2.291   |   15.54 ± 2.291    |     0.3837 ± 0.06783      |     1.938 ± 0.1241      |
| Bin18  |   55.79 ± 39.45    |   7.77 ± 1.62    |   63.56 ± 39.48    |     0.3837 ± 0.06783      |     2.089 ± 0.1288      |
| Bin19  |    27.9 ± 62.38    |  11.15 ± 1.941   |   39.04 ± 62.41    |     0.4437 ± 0.07294      |      1.874 ± 0.122      |
| Bin20  |    27.9 ± 27.9     |  6.081 ± 1.433   |   33.98 ± 27.93    |     0.3238 ± 0.06231      |     1.708 ± 0.1165      |
| Bin21  |   55.79 ± 39.45    |   4.054 ± 1.17   |   59.85 ± 39.47    |     0.2638 ± 0.05624      |     1.374 ± 0.1045      |
| Bin22  |     0 ± 39.45      |  3.041 ± 1.014   |   3.041 ± 39.46    |     0.2158 ± 0.05087      |     1.445 ± 0.1071      |
| Bin23  |     0 ± 39.45      |  2.365 ± 1.014   |   2.365 ± 39.46    |     0.09593 ± 0.03392     |     1.088 ± 0.09296     |
| Bin24  |    27.9 ± 27.9     |   3.716 ± 1.12   |   31.61 ± 27.92    |     0.1319 ± 0.03977      |     1.048 ± 0.09125     |
| Bin25  |   55.79 ± 39.45    | 0.6757 ± 0.4778  |   56.47 ± 39.45    |     0.1079 ± 0.03597      |    0.9689 ± 0.08772     |
| Bin26  |       0 ± 0        |  2.365 ± 0.8938  |   2.365 ± 0.8938   |     0.1199 ± 0.03792      |     0.6989 ± 0.0745     |
| Bin27  |       0 ± 0        |  1.014 ± 0.5852  |   1.014 ± 0.5852   |     0.1079 ± 0.03597      |    0.7227 ± 0.07576     |
| Bin28  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.1439 ± 0.04154      |     0.548 ± 0.06597     |
| Bin29  |       0 ± 0        | 0.3378 ± 0.3378  |  0.3378 ± 0.3378   |     0.05996 ± 0.02681     |    0.5003 ± 0.06304     |
| Bin30  |       0 ± 0        |  1.351 ± 0.6757  |   1.351 ± 0.6757   |     0.03597 ± 0.02077     |    0.3494 ± 0.05268     |
| Bin31  |    27.9 ± 27.9     |   4.73 ± 1.264   |   32.63 ± 27.92    |     0.4197 ± 0.07094      |     2.391 ± 0.1378      |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
