+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |     ttbar      |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |     0 ± 0      |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |     0 ± 39.45      |     0 ± 0      |     0 ± 39.45      |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
| Bin2   |   669.5 ± 212.4    | 14.19 ± 2.189  |   683.7 ± 212.5    |     0.09593 ± 0.03392     |     0.143 ± 0.03369     |
| Bin3   |    6025 ± 571.7    | 197.6 ± 8.199  |    6223 ± 571.7    |     0.6475 ± 0.08812      |     1.573 ± 0.1118      |
| Bin4   |  1.693e+04 ± 1029  |  1152 ± 19.81  |  1.808e+04 ± 1029  |      3.525 ± 0.2056       |     9.499 ± 0.2747      |
| Bin5   |  2.594e+04 ± 1217  |  2248 ± 27.67  |  2.819e+04 ± 1218  |      6.739 ± 0.2843       |     18.34 ± 0.3816      |
| Bin6   |  1.713e+04 ± 1040  |  2401 ± 28.59  |  1.953e+04 ± 1040  |      6.835 ± 0.2863       |     18.14 ± 0.3796      |
| Bin7   | 1.096e+04 ± 815.7  |  2025 ± 26.27  | 1.299e+04 ± 816.1  |      5.432 ± 0.2552       |     14.84 ± 0.3433      |
| Bin8   |    8285 ± 666.6    |  1657 ± 23.8   |     9942 ± 667     |      3.789 ± 0.2132       |      11.94 ± 0.308      |
| Bin9   |    5300 ± 546.6    |  1307 ± 21.11  |     6607 ± 547     |      2.842 ± 0.1846       |     8.879 ± 0.2656      |
| Bin10  |    3543 ± 431.3    |  1008 ± 18.5   |    4551 ± 431.7    |      2.182 ± 0.1618       |     6.076 ± 0.2197      |
| Bin11  |    2455 ± 355.1    |  699 ± 15.46   |    3154 ± 355.4    |      1.427 ± 0.1308       |     4.257 ± 0.1839      |
| Bin12  |    1478 ± 280.3    | 521.3 ± 13.31  |    2000 ± 280.7    |      1.199 ± 0.1199       |     2.605 ± 0.1438      |
| Bin13  |    1088 ± 247.9    | 365.5 ± 11.14  |    1453 ± 248.2    |     0.6715 ± 0.08973      |      1.874 ± 0.122      |
| Bin14  |   362.6 ± 178.6    | 259.1 ± 9.381  |   621.8 ± 178.9    |     0.3597 ± 0.06568      |     1.231 ± 0.09888     |
| Bin15  |   390.5 ± 162.7    | 185.8 ± 7.937  |   576.4 ± 162.9    |     0.3837 ± 0.06783      |    0.6354 ± 0.07104     |
| Bin16  |   251.1 ± 121.6    | 120.6 ± 6.401  |   371.7 ± 121.8    |     0.1439 ± 0.04154      |    0.4209 ± 0.05782     |
| Bin17  |   334.7 ± 111.6    |  101.7 ± 5.9   |   436.4 ± 111.7    |     0.1439 ± 0.04154      |    0.2541 ± 0.04493     |
| Bin18  |   139.5 ± 83.69    | 72.97 ± 4.988  |   212.5 ± 83.84    |     0.09593 ± 0.03392     |    0.2144 ± 0.04127     |
| Bin19  |   83.69 ± 48.32    | 54.39 ± 4.287  |   138.1 ± 48.51    |     0.01199 ± 0.01199     |    0.1509 ± 0.03462     |
| Bin20  |   111.6 ± 68.33    | 34.12 ± 3.395  |   145.7 ± 68.41    |     0.04796 ± 0.02398     |    0.1191 ± 0.03076     |
| Bin21  |    83.69 ± 73.8    |  27.7 ± 3.059  |   111.4 ± 73.87    |     0.02398 ± 0.01696     |    0.03971 ± 0.01776    |
| Bin22  |       0 ± 0        | 20.27 ± 2.617  |   20.27 ± 2.617    |     0.03597 ± 0.02077     |    0.06354 ± 0.02246    |
| Bin23  |     0 ± 39.45      | 20.61 ± 2.639  |   20.61 ± 39.54    |     0.02398 ± 0.01696     |    0.01588 ± 0.01123    |
| Bin24  |       0 ± 0        | 14.87 ± 2.241  |   14.87 ± 2.241    |     0.03597 ± 0.02077     |    0.06354 ± 0.02246    |
| Bin25  |    -27.9 ± 27.9    |  13.18 ± 2.11  |   -14.72 ± 27.98   |     0.01199 ± 0.01199     |    0.03177 ± 0.01588    |
| Bin26  |       0 ± 0        | 8.108 ± 1.655  |   8.108 ± 1.655    |     0.02398 ± 0.01696     |          0 ± 0          |
| Bin27  |   55.79 ± 39.45    |  7.77 ± 1.62   |   63.56 ± 39.48    |     0.01199 ± 0.01199     |    0.01588 ± 0.01123    |
| Bin28  |   55.79 ± 39.45    |  9.46 ± 1.85   |   65.25 ± 39.49    |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin29  |    27.9 ± 27.9     |  3.716 ± 1.12  |   31.61 ± 27.92    |           0 ± 0           |    0.02383 ± 0.01376    |
| Bin30  |       0 ± 0        | 6.419 ± 1.473  |   6.419 ± 1.473    |           0 ± 0           |          0 ± 0          |
| Bin31  |    55.79 ± 78.9    | 37.16 ± 3.543  |   92.95 ± 78.98    |     0.1919 ± 0.04796      |    0.5639 ± 0.06692     |
+--------+--------------------+----------------+--------------------+---------------------------+-------------------------+
