+--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |     ttbar      |     Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   | 55.79 ± 39.45  | 61.49 ± 4.558  | 117.3 ± 39.71  |      2.674 ± 0.1791       |     7.648 ± 0.2465      |
| Bin2   |  530 ± 203.1   | 189.2 ± 7.995  | 719.2 ± 203.2  |      4.053 ± 0.2205       |     35.91 ± 0.5341      |
| Bin3   |  3459 ± 451.5  | 319.9 ± 10.41  |  3779 ± 451.6  |      3.178 ± 0.1952       |     28.42 ± 0.4751      |
| Bin4   |  6304 ± 586.5  | 433.8 ± 12.13  |  6738 ± 586.6  |      2.338 ± 0.1674       |     17.04 ± 0.3678      |
| Bin5   |  7113 ± 658.4  |  521 ± 13.29   |  7634 ± 658.5  |      1.583 ± 0.1378       |     10.14 ± 0.2838      |
| Bin6   |  8676 ± 701.8  | 595.6 ± 14.19  |   9271 ± 702   |      1.235 ± 0.1217       |     6.099 ± 0.2201      |
| Bin7   |  8201 ± 694.6  |  697 ± 15.35   |  8898 ± 694.8  |      1.055 ± 0.1125       |     3.574 ± 0.1685      |
| Bin8   |  8257 ± 706.8  | 751.7 ± 15.98  |   9009 ± 707   |       1.367 ± 0.128       |     2.581 ± 0.1432      |
| Bin9   |  8508 ± 674.7  |  774 ± 16.22   |  9282 ± 674.9  |      1.031 ± 0.1112       |     1.708 ± 0.1165      |
| Bin10  |  7420 ± 654.2  | 826.7 ± 16.76  |  8247 ± 654.4  |      0.9833 ± 0.1086      |     1.358 ± 0.1039      |
| Bin11  |  5495 ± 601.5  | 839.5 ± 16.86  |  6335 ± 601.8  |      1.007 ± 0.1099       |     1.009 ± 0.0895      |
| Bin12  |  5579 ± 583.8  | 903.1 ± 17.51  |  6482 ± 584.1  |      1.583 ± 0.1378       |    0.8657 ± 0.08292     |
| Bin13  |  5691 ± 555.1  | 908.1 ± 17.56  |  6599 ± 555.4  |      1.487 ± 0.1335       |    0.6354 ± 0.07104     |
| Bin14  |  5440 ± 562.8  | 932.1 ± 17.85  |  6372 ± 563.1  |      1.547 ± 0.1362       |     0.7465 ± 0.077      |
| Bin15  |  3292 ± 503.7  | 907.8 ± 17.62  |   4199 ± 504   |      1.775 ± 0.1459       |    0.7227 ± 0.07576     |
| Bin16  |  4017 ± 492.7  | 891.9 ± 17.44  |   4909 ± 493   |      1.943 ± 0.1526       |    0.5956 ± 0.06878     |
| Bin17  |   4268 ± 484   |  873 ± 17.31   |  5141 ± 484.3  |       2.23 ± 0.1635       |    0.5798 ± 0.06786     |
| Bin18  |   4184 ± 488   | 908.8 ± 17.61  |  5093 ± 488.3  |      2.027 ± 0.1559       |    0.6354 ± 0.07104     |
| Bin19  |  3850 ± 465.1  | 862.5 ± 17.16  |  4712 ± 465.4  |      1.919 ± 0.1517       |    0.6195 ± 0.07014     |
| Bin20  |  1032 ± 263.2  | 541.6 ± 13.64  |  1574 ± 263.5  |      1.223 ± 0.1211       |     0.278 ± 0.04699     |
| Bin21  |  223.2 ± 78.9  | 344.6 ± 10.84  | 567.8 ± 79.64  |     0.7075 ± 0.09211      |    0.1668 ± 0.03639     |
| Bin22  |  27.9 ± 27.9   | 210.1 ± 8.547  |  238 ± 29.18   |     0.5156 ± 0.07863      |    0.1509 ± 0.03462     |
| Bin23  |  27.9 ± 27.9   | 135.8 ± 6.857  | 163.7 ± 28.73  |     0.3837 ± 0.06783      |    0.08736 ± 0.02634    |
| Bin24  |  27.9 ± 27.9   |  94.6 ± 5.753  | 122.5 ± 28.48  |     0.1439 ± 0.04154      |    0.07942 ± 0.02511    |
| Bin25  |     0 ± 0      | 57.43 ± 4.431  | 57.43 ± 4.431  |     0.1199 ± 0.03792      |    0.05559 ± 0.02101    |
| Bin26  |     0 ± 0      | 36.82 ± 3.559  | 36.82 ± 3.559  |     0.09593 ± 0.03392     |    0.05559 ± 0.02101    |
| Bin27  | 55.79 ± 39.45  |  17.91 ± 2.46  |  73.7 ± 39.53  |     0.04796 ± 0.02398     |    0.03177 ± 0.01588    |
| Bin28  |  27.9 ± 27.9   | 11.82 ± 2.055  | 39.72 ± 27.97  |     0.04796 ± 0.02398     |          0 ± 0          |
| Bin29  |     0 ± 0      | 6.757 ± 1.511  | 6.757 ± 1.511  |     0.03597 ± 0.02077     |          0 ± 0          |
| Bin30  |     0 ± 0      | 3.041 ± 1.014  | 3.041 ± 1.014  |           0 ± 0           |   0.007942 ± 0.007942   |
| Bin31  |     0 ± 0      | 3.378 ± 1.068  | 3.378 ± 1.068  |     0.01199 ± 0.01199     |   0.007942 ± 0.007942   |
+--------+----------------+----------------+----------------+---------------------------+-------------------------+
