+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin#   |       DYJETS       |      ttbar       |       Total        | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
| Bin0   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin1   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin2   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin3   |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin4   |    27.9 ± 48.32    | 0.6757 ± 0.4778  |   28.57 ± 48.32    |           0 ± 0           |          0 ± 0          |
| Bin5   |     0 ± 68.33      |  7.095 ± 1.548   |   7.095 ± 68.35    |     0.04796 ± 0.02398     |   0.007942 ± 0.007942   |
| Bin6   |   474.2 ± 139.5    |  25.68 ± 2.945   |   499.9 ± 139.5    |     0.1319 ± 0.03977      |    0.1827 ± 0.03809     |
| Bin7   |   613.7 ± 201.2    |  82.43 ± 5.299   |   696.1 ± 201.2    |     0.3477 ± 0.06457      |    0.3494 ± 0.05268     |
| Bin8   |    1953 ± 313.1    |  158.8 ± 7.371   |    2111 ± 313.2    |     0.4077 ± 0.06992      |    0.5718 ± 0.06739     |
| Bin9   |    2483 ± 375.3    |   301 ± 10.15    |    2784 ± 375.4    |     0.5396 ± 0.08044      |     0.8736 ± 0.0833     |
| Bin10  |    4631 ± 491.2    |  501.4 ± 13.07   |    5132 ± 491.3    |     0.7075 ± 0.09211      |     1.827 ± 0.1204      |
| Bin11  |     5607 ± 571     |   799.3 ± 16.5   |    6406 ± 571.2    |      1.331 ± 0.1263       |     3.923 ± 0.1765      |
| Bin12  |     7113 ± 656     |   1052 ± 18.95   |    8165 ± 656.3    |      2.398 ± 0.1696       |      6.91 ± 0.2343      |
| Bin13  |    8954 ± 718.3    |   1316 ± 21.19   | 1.027e+04 ± 718.6  |      3.154 ± 0.1945       |     9.618 ± 0.2764      |
| Bin14  |    9680 ± 740.7    |   1493 ± 22.53   |  1.117e+04 ± 741   |      4.281 ± 0.2266       |      12.98 ± 0.321      |
| Bin15  | 1.032e+04 ± 778.1  |   1576 ± 23.1    |  1.19e+04 ± 778.4  |      4.629 ± 0.2356       |     13.91 ± 0.3324      |
| Bin16  |  1.015e+04 ± 791   |   1548 ± 22.93   |  1.17e+04 ± 791.3  |        5 ± 0.2449         |     14.37 ± 0.3379      |
| Bin17  | 1.063e+04 ± 759.4  |   1469 ± 22.36   |  1.21e+04 ± 759.7  |      4.245 ± 0.2256       |      12.3 ± 0.3126      |
| Bin18  |    8954 ± 713.9    |   1368 ± 21.63   | 1.032e+04 ± 714.3  |      3.358 ± 0.2007       |     9.792 ± 0.2789      |
| Bin19  |    7030 ± 645.8    |   1024 ± 18.69   |    8054 ± 646.1    |      2.482 ± 0.1725       |     6.504 ± 0.2273      |
| Bin20  |    4352 ± 571.7    |  803.4 ± 16.55   |    5155 ± 571.9    |      1.739 ± 0.1444       |     3.915 ± 0.1763      |
| Bin21  |    4380 ± 507.5    |  515.5 ± 13.27   |    4895 ± 507.7    |     0.7794 ± 0.09668      |      1.89 ± 0.1225      |
| Bin22  |     2036 ± 354     |   284.5 ± 9.85   |    2321 ± 354.1    |     0.5396 ± 0.08044      |     0.961 ± 0.08736     |
| Bin23  |    1534 ± 306.9    |  155.7 ± 7.348   |    1690 ± 306.9    |     0.3477 ± 0.06457      |    0.6195 ± 0.07014     |
| Bin24  |    334.7 ± 205     |  81.08 ± 5.234   |   415.8 ± 205.1    |     0.3238 ± 0.06231      |    0.3415 ± 0.05208     |
| Bin25  |   418.4 ± 150.2    |  22.64 ± 2.765   |   441.1 ± 150.2    |     0.1079 ± 0.03597      |    0.1588 ± 0.03552     |
| Bin26  |   55.79 ± 55.79    |  8.784 ± 1.723   |   64.58 ± 55.82    |     0.04796 ± 0.02398     |    0.02383 ± 0.01376    |
| Bin27  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin28  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin29  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin30  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
| Bin31  |       0 ± 0        |      0 ± 0       |       0 ± 0        |           0 ± 0           |          0 ± 0          |
+--------+--------------------+------------------+--------------------+---------------------------+-------------------------+
