+--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     DYJETS     |     ttbar      |     Total      | VBSOSWWH_C2V_32 [10.00x]  | VBSWZH_C2V_33 [10.00x]  |
|--------+----------------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |   0 ± 96.63    |  4.054 ± 1.17  | 4.054 ± 96.64  |     0.05996 ± 0.02681     |    0.1827 ± 0.03809     |
| Bin2   | 836.9 ± 162.7  | 21.62 ± 2.703  | 858.5 ± 162.7  |     0.5756 ± 0.08308      |     1.771 ± 0.1186      |
| Bin3   | 753.2 ± 228.3  | 49.32 ± 4.082  | 802.5 ± 228.4  |      0.9353 ± 0.1059      |     3.622 ± 0.1696      |
| Bin4   |  1562 ± 287.2  | 86.83 ± 5.416  |  1649 ± 287.3  |      1.499 ± 0.1341       |     5.456 ± 0.2082      |
| Bin5   |  2650 ± 366.9  | 154.1 ± 7.262  |   2804 ± 367   |      2.314 ± 0.1666       |     7.227 ± 0.2396      |
| Bin6   |  1730 ± 384.5  |  170.9 ± 7.63  |  1900 ± 384.6  |      2.158 ± 0.1609       |     6.441 ± 0.2262      |
| Bin7   |  3766 ± 498.2  | 289.5 ± 9.936  |  4055 ± 498.3  |      2.146 ± 0.1604       |     6.385 ± 0.2252      |
| Bin8   |  4938 ± 521.1  | 409.5 ± 11.77  |  5347 ± 521.3  |      1.775 ± 0.1459       |     5.536 ± 0.2097      |
| Bin9   |  3013 ± 453.2  | 467.6 ± 12.63  |  3480 ± 453.4  |      1.247 ± 0.1223       |     3.606 ± 0.1692      |
| Bin10  |  4324 ± 480.7  | 632.4 ± 14.68  |   4956 ± 481   |      1.187 ± 0.1193       |     2.724 ± 0.1471      |
| Bin11  |  5216 ± 541.6  |  826 ± 16.78   |  6042 ± 541.9  |      0.9953 ± 0.1092      |     2.057 ± 0.1278      |
| Bin12  |  4324 ± 543.1  | 889.5 ± 17.41  |  5213 ± 543.3  |      1.007 ± 0.1099       |      1.843 ± 0.121      |
| Bin13  |  4993 ± 550.2  |  1062 ± 19.02  |  6055 ± 550.5  |      0.8993 ± 0.1038      |     1.596 ± 0.1126      |
| Bin14  |  4463 ± 555.1  |  1105 ± 19.38  |  5569 ± 555.5  |      0.9353 ± 0.1059      |     1.612 ± 0.1132      |
| Bin15  |  6388 ± 585.8  |  1111 ± 19.48  |  7499 ± 586.1  |      1.007 ± 0.1099       |     1.739 ± 0.1175      |
| Bin16  |  6025 ± 577.1  |  1138 ± 19.66  |  7163 ± 577.4  |     0.7674 ± 0.09593      |     1.588 ± 0.1123      |
| Bin17  |  4659 ± 562.8  |  1113 ± 19.47  |  5771 ± 563.1  |      0.8754 ± 0.1025      |      1.7 ± 0.1162       |
| Bin18  |  5607 ± 565.5  |  1075 ± 19.13  |  6682 ± 565.9  |      0.9233 ± 0.1052      |     1.604 ± 0.1129      |
| Bin19  |  4882 ± 544.5  |  916.9 ± 17.7  |  5799 ± 544.8  |      0.8993 ± 0.1038      |      1.906 ± 0.123      |
| Bin20  |  4631 ± 552.3  | 820.3 ± 16.71  |  5451 ± 552.6  |      0.8873 ± 0.1032      |     2.271 ± 0.1343      |
| Bin21  |   4770 ± 506   |  608.8 ± 14.4  |  5379 ± 506.2  |      1.163 ± 0.1181       |     2.589 ± 0.1434      |
| Bin22  |  4547 ± 467.6  | 451.4 ± 12.42  |  4998 ± 467.8  |      1.391 ± 0.1291       |     3.566 ± 0.1683      |
| Bin23  |  4882 ± 537.3  | 398.7 ± 11.69  |  5280 ± 537.4  |      1.823 ± 0.1478       |     4.694 ± 0.1931      |
| Bin24  |  4770 ± 485.6  | 304.1 ± 10.16  |  5074 ± 485.7  |      1.823 ± 0.1478       |     5.941 ± 0.2172      |
| Bin25  |  3041 ± 395.5  | 189.9 ± 8.009  |  3230 ± 395.6  |      2.038 ± 0.1563       |     6.473 ± 0.2267      |
| Bin26  |  1925 ± 351.7  | 140.5 ± 6.957  |  2065 ± 351.8  |      2.182 ± 0.1618       |     7.084 ± 0.2372      |
| Bin27  |  1646 ± 299.1  | 78.38 ± 5.168  |  1724 ± 299.2  |      1.643 ± 0.1404       |     5.194 ± 0.2031      |
| Bin28  | 864.8 ± 224.9  | 52.03 ± 4.247  | 916.8 ± 224.9  |      1.127 ± 0.1163       |     3.526 ± 0.1673      |
| Bin29  |  557.9 ± 172   | 22.97 ± 2.786  |  580.9 ± 172   |     0.5756 ± 0.08308      |     1.858 ± 0.1215      |
| Bin30  | -27.9 ± 48.32  | 4.392 ± 1.218  | -23.5 ± 48.33  |     0.08394 ± 0.03173     |    0.2462 ± 0.04422     |
| Bin31  |     0 ± 0      |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+----------------+---------------------------+-------------------------+
